符合條件商品
資料日期：2022年  1月 20日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-20 20:28 符合檔數(1446)
209	,2002.TW,中鋼,34.15,0.29,23376,0.7,0.7,0.68,0.6,0.6,0.42
210	,2006.TW,東和鋼鐵,69,1.47,5948,0.68,0.66,0.78,0.68,0.59,0.49
211	,2007.TW,燁興,18.45,1.65,1408,0.68,0.74,0.44,0,0.73,0.54
212	,2008.TW,高興昌,19.15,0.52,28,0.64,0.58,0.21,0,0.52,0.47
213	,2009.TW,第一銅,42.15,1.57,2485,0.72,0.6,0.48,0,0.62,0.56
214	,2010.TW,春源,22.4,1.13,836,0.8,0.42,0.58,0.07,0.6,0.48
215	,2012.TW,春雨,29.85,0,155,0.67,0.48,0.55,0,0.64,0.54
216	,2013.TW,中鋼構,62,2.14,1930,0.76,0.5,0.75,0,0.48,0.46
217	,2014.TW,中鴻,39.25,2.61,9543,0.74,0.56,0.58,0.56,0.66,0.46
218	,2015.TW,豐興,83.3,0.97,384,0.6,0.58,0.65,0.33,0.34,0.42
219	,2017.TW,官田鋼,18.2,1.39,887,0.64,0.46,0.53,0.07,0.74,0.54
220	,2020.TW,美亞,30.6,0.33,200,0.7,0.56,0.49,0,0.49,0.5
221	,2023.TW,燁輝,22.95,2.46,6052,0.54,0.58,0.66,0.3,0.72,0.48
222	,2024.TW,志聯,18.5,0,97,0.56,0.51,0.24,0,0.47,0.56
223	,2027.TW,大成鋼,45.45,4,17049,0.72,0.62,0.68,0.69,0.72,0.48
224	,2028.TW,威致,37.45,3.03,1305,0.83,0.44,0.74,0,0.71,0.62
225	,2029.TW,盛餘,29.6,1.02,618,0.44,0.56,0.66,0.13,0.56,0.54
226	,2030.TW,彰源,28.45,3.83,10185,0.74,0.44,0.54,0.07,0.51,0.5
227	,2031.TW,新光鋼,54.3,1.12,1278,0.64,0.62,0.76,0.41,0.69,0.58
228	,2032.TW,新鋼,21.85,3.07,827,0.66,0.44,0.33,0,0.67,0.55
229	,2033.TW,佳大,16.2,1.57,152,0.52,0.46,0.47,0,0.52,0.49
230	,2034.TW,允強,30.65,2,1583,0.56,0.64,0.76,0.06,0.43,0.48
231	,2035.TW,唐榮,35.3,1.44,37,0.4,0.43,0,0,0,0.27
232	,2038.TW,海光,31.25,1.96,1384,0.72,0.56,0.5,0,0.71,0.6
233	,2049.TW,上銀,272.5,-0.91,1678,0.46,0.8,0.73,0.63,0.54,0.46
234	,2059.TW,川湖,467.5,-1.99,94,0.44,0.61,0.54,0.48,0.52,0.42
235	,2062.TW,橋椿,27.8,0.72,121,0.46,0.66,0.25,0,0.25,0.48
236	,2063.TW,世鎧,36.3,0.14,10,0.49,0.46,0.33,0,0,0.13
237	,2064.TW,晉椿,18,-0.55,6,0.49,0.4,0,0,0,0
238	,2065.TW,世豐,46.8,-0.53,48,0.55,0.6,0.31,0,0.13,0.48
239	,2066.TW,世德,59.5,-0.83,47,0.41,0.51,0.14,0,0,0.36
240	,2069.TW,運錩,33.25,3.26,2570,0.68,0.58,0.49,0,0.63,0.5
241	,2070.TW,精湛,37.2,3.05,136,0.57,0.38,0,0,0,0.14
242	,2101.TW,南港,40.45,1.76,1434,0.54,0.56,0.55,0.15,0.51,0.32
243	,2102.TW,泰豐,27.5,2.61,1081,0.52,0.56,0.74,0.2,0.63,0.42
244	,2103.TW,台橡,38.65,1.98,4095,0.74,0.64,0.56,0.29,0.61,0.48
245	,2104.TW,國際中橡,25.7,0.19,1624,0.62,0.58,0.68,0.14,0.56,0.46
246	,2105.TW,正新,35.45,0.28,1676,0.44,0.62,0.64,0.52,0.39,0.52
247	,2106.TW,建大,30.4,0.66,472,0.5,0.64,0.53,0.38,0.32,0.56
248	,2107.TW,厚生,22.6,0,160,0.38,0.58,0.57,0.15,0.15,0.48
249	,2108.TW,南帝,85,0.83,1097,0.58,0.7,0.48,0.59,0.56,0.48
250	,2109.TW,華豐,16.1,0.31,35,0.41,0.69,0.43,0,0.18,0.55
251	,2114.TW,鑫永銓,120.5,-0.41,27,0.55,0.6,0.57,0.08,0.22,0.49
252	,2115.TW,六暉-KY,40,-0.12,49,0.5,0.57,0.19,0,0,0.37
253	,2201.TW,裕隆,42,0.48,1735,0.66,0.68,0.6,0.47,0.5,0.44
254	,2204.TW,中華,62.7,-0.32,279,0.5,0.66,0.64,0.49,0.4,0.42
255	,2206.TW,三陽工業,27.25,0.37,356,0.42,0.74,0.63,0.25,0.33,0.52
256	,2207.TW,和泰車,604,-0.49,164,0.32,0.84,0.49,0.48,0,0.44
