符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-10-31 18:49 符合檔數(1740)
387	,2436.TW,偉詮電,81.1,-1.7,10973,21.39
388	,2438.TW,翔耀,13.2,10,600,57.82
389	,2439.TW,美律,82.2,-1.08,1579,25.12
390	,2440.TW,太空梭,14.85,4.95,1081,63.43
391	,2441.TW,超豐,79.5,-0.75,1596,72.3
392	,2442.TW,新美齊,11.6,-1.28,1612,53.37
393	,2443.TW,億麗,3,2.04,74,45.54
394	,2444.TW,兆勁,11,-0.45,112,21.29
395	,2449.TW,京元電子,39.75,-1.61,6967,65.62
396	,2450.TW,神腦,31.85,-0.78,198,77.93
397	,2451.TW,創見,67.5,-0.44,549,66.59
398	,2453.TW,凌群,23.5,0.21,171,55.14
399	,2454.TW,聯發科,913,-2.46,5550,68.89
400	,2455.TW,全新,140.5,-2.43,14579,49.17
401	,2456.TW,奇力新,86.1,-1.03,716,32.73
402	,2457.TW,飛宏,36.8,1.38,22271,27.23
403	,2458.TW,義隆,167,-0.6,3243,44.85
404	,2459.TW,敦吉,57,0,61,41.54
405	,2460.TW,建通,23.5,0.86,623,58.62
406	,2461.TW,光群雷,20.1,-0.99,333,29.99
407	,2462.TW,良得電,30.95,6.72,2372,58.39
408	,2464.TW,盟立,41.8,0.12,356,27.16
409	,2465.TW,麗臺,65,5.52,4197,2.56
410	,2466.TW,冠西電,36.9,-0.14,98,92.4
411	,2467.TW,志聖,45.35,-0.77,448,44.55
412	,2468.TW,華經,13.25,1.15,252,69.17
413	,2471.TW,資通,23,2.22,55,14.87
414	,2472.TW,立隆電,63.9,-0.16,355,47.61
415	,2474.TW,可成,161,-1.53,5130,60.2
416	,2476.TW,鉅祥,66.3,5.74,27139,43.6
417	,2477.TW,美隆電,28,-0.71,172,68.26
418	,2478.TW,大毅,63.5,-0.47,308,42.11
419	,2480.TW,敦陽科,70.7,-0.42,100,20.07
420	,2481.TW,強茂,112.5,4.65,60430,60.52
421	,2482.TW,連宇,14.1,5.22,1232,47.66
422	,2483.TW,百容,25.4,2.42,317,54.87
423	,2484.TW,希華,33.55,-1.32,3819,14.37
424	,2485.TW,兆赫,19.7,-0.51,4276,22.45
425	,2486.TW,一詮,58.7,0,28366,31.09
426	,2488.TW,漢平,28.3,1.62,178,35.52
427	,2491.TW,吉祥全,22.5,0,722,61.6
428	,2492.TW,華新科,151,-1.63,2646,55.65
429	,2493.TW,揚博,38.3,-0.91,108,38.34
430	,2495.TW,普安,14.35,-1.71,368,56.84
431	,2496.TW,卓越,49.25,-0.1,23,28.38
432	,2497.TW,怡利電,38.2,3.8,2357,58.05
433	,2498.TW,宏達電,65.6,9.88,22285,41.48
434	,2501.TW,國建,19.5,-0.51,366,80.02
435	,2504.TW,國產,25.7,2.8,8731,65.91
436	,2505.TW,國揚,24,-0.41,558,66.08
437	,2506.TW,太設,9.83,0.2,172,72.75
438	,2509.TW,全坤建,18.4,-0.27,105,64.91
439	,2511.TW,太子,13.25,-0.38,1149,76.15
440	,2514.TW,龍邦,17.9,-0.56,739,86.45
441	,2515.TW,中工,8.78,-0.57,2418,41.69
442	,2516.TW,新建,5.66,0.35,101,47.42
443	,2520.TW,冠德,38.4,0.26,1559,66.21
444	,2524.TW,京城,36.5,-0.27,82,90.58
445	,2527.TW,宏璟,29.9,-2.61,1121,75.91
446	,2528.TW,皇普,21.7,-0.23,8,84.94
447	,2530.TW,華建,14.9,-0.67,472,79.12
448	,2534.TW,宏盛,24.15,-0.41,946,62.76
449	,2535.TW,達欣工,30.35,-0.49,220,42.58
450	,2536.TW,宏普,21.75,-0.91,234,69.51
451	,2537.TW,聯上發,9.75,0.52,629,53.27
452	,2538.TW,基泰,13.1,-1.5,2201,53.28
453	,2539.TW,櫻花建,31.4,-0.32,157,86.98
454	,2540.TW,愛山林,77.8,-1.39,44,93.72
455	,2542.TW,興富發,44.95,-0.33,1910,63.85
456	,2543.TW,皇昌,7.68,2.13,6,82.48
457	,2545.TW,皇翔,36.55,-0.27,235,73.11
458	,2546.TW,根基,47.05,-0.21,45,56.63
459	,2547.TW,日勝生,10.5,0.48,946,59.9
460	,2548.TW,華固,91,0,675,55.06
461	,2596.TW,綠意,24.95,0.2,116,58.04
462	,2597.TW,潤弘,124,-2.36,287,77.43
463	,2601.TW,益航,12.8,0.79,11332,26.74
464	,2603.TW,長榮,99.5,6.76,226596,56.72
465	,2605.TW,新興,27.7,1.09,14762,34.45
466	,2606.TW,裕民,52.6,2.53,15644,54.2
467	,2607.TW,榮運,27.05,1.5,5750,69.2
468	,2608.TW,嘉里大榮,43.35,1.05,1037,73.99
469	,2609.TW,陽明,96.5,6.51,149099,56.77
470	,2610.TW,華航,17.2,1.47,78118,58.03
471	,2611.TW,志信,21.7,2.12,4516,49.75
472	,2612.TW,中航,56.2,1.26,3401,63.09
473	,2613.TW,中櫃,26.1,1.95,1030,65.73
474	,2614.TW,東森,31.75,5.66,22749,38.41
475	,2615.TW,萬海,160,4.23,50008,84.81
476	,2616.TW,山隆,35.25,0,45,54.06
477	,2617.TW,台航,35.05,1.3,4584,53.7
478	,2618.TW,長榮航,18.85,1.34,38264,61.75
479	,2630.TW,亞航,17.65,0.57,97,77.14
480	,2633.TW,台灣高鐵,29.05,0,5399,84.51
481	,2634.TW,漢翔,28.2,-0.53,1182,55.88
482	,2636.TW,台驊投控,129,3.2,5819,38.96
483	,2637.TW,慧洋-KY,65.3,1.08,9391,61.84
484	,2640.TW,大車隊,72.6,1.11,30,58.23
485	,2641.TW,正德,24,3.67,9223,30.16
486	,2642.TW,宅配通,72.4,4.62,1763,60.38
487	,2643.TW,捷迅,68.2,2.87,79,54.19
488	,2701.TW,萬企,12.15,-0.41,84,85.73
489	,2702.TW,華園,23.1,0.22,116,70.6
490	,2704.TW,國賓,30.25,0,135,85.68
491	,2705.TW,六福,18.05,-0.28,159,63.08
492	,2706.TW,第一店,14.45,-0.34,239,83.42
493	,2707.TW,晶華,148.5,-1,158,57.39
