符合條件商品
資料日期：2023年  5月  5日
策略,	周大於70
序號,	代碼,	商品,	成交,	漲幅%,	總量,	70
執行時間：2023-05-07 13:04 符合檔數(1772)
235	,6191.TW,精成科,36.45,-2.28,24225,15
236	,6203.TW,海韻電,74.7,5.96,1232,15
237	,6263.TW,普萊德,128,2.81,203,15
238	,6414.TW,樺漢,256.5,0.2,284,15
239	,6506.TW,雙邦,19.65,-0.25,19,15
240	,6609.TW,瀧澤科,37.85,-0.79,111,15
241	,8064.TW,東捷,19.6,-0.51,222,15
242	,8150.TW,南茂,38.1,1.46,2378,15
243	,8271.TW,宇瞻,50.2,-0.79,532,15
244	,9958.TW,世紀鋼,114,-2.98,2966,15
245	,1229.TW,聯華,61.9,-1.28,1484,14
246	,1258.TW,其祥-KY,26.8,0,4,14
247	,1303.TW,南亞,77.5,-0.13,2421,14
248	,1457.TW,宜進,18.7,0.27,151,14
249	,1473.TW,台南,23.2,-1.07,170,14
250	,1615.TW,大山,37.35,-0.8,117,14
251	,1707.TW,葡萄王,186,1.09,486,14
252	,1817.TW,凱撒衛,38.85,0,303,14
253	,2064.TW,晉椿,18,-1.1,91,14
254	,2204.TW,中華,76.4,-2.05,3354,14
255	,2377.TW,微星,142.5,-2.06,3177,14
256	,2382.TW,廣達,89.6,0.67,16082,14
257	,2414.TW,精技,34.85,0.58,68,14
258	,2421.TW,建準,61.6,10,13780,14
259	,2451.TW,創見,71.2,-0.28,219,14
260	,2459.TW,敦吉,57,1.06,59,14
261	,2511.TW,太子,12.25,0.41,620,14
262	,2535.TW,達欣工,32.4,1.25,1044,14
263	,2539.TW,櫻花建,37.8,-0.13,200,14
264	,2732.TW,六角,192,5.49,5772,14
265	,2753.TW,八方雲集,176.5,-1.94,566,14
266	,2904.TW,匯僑,20.4,0,19,14
267	,3011.TW,今皓,29.9,3.46,2110,14
268	,3209.TW,全科,42.6,0,1066,14
269	,3218.TW,大學光,409,0.86,185,14
270	,3266.TW,昇陽,12.8,0.39,34,14
