符合條件商品
資料日期：2023年  5月  8日
策略,	漲2次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲2次數
執行時間：2023-05-08 23:59 符合檔數(1777)
169	,3552.TW,同致,143,-0.69,275,55
170	,3564.TW,其陽,34.9,0,236,55
171	,3701.TW,大眾控,61.3,2.85,2093,55
172	,4572.TW,駐龍,176,2.92,2311,55
173	,4770.TW,上品,283.5,0,377,55
174	,5222.TW,全訊,206,-4.19,5776,55
175	,5272.TW,笙科,28.2,-1.74,150,55
176	,6113.TW,亞矽,17.45,0.58,51,55
177	,6411.TW,晶焱,107,-0.93,459,55
178	,6469.TW,大樹,434.5,3.95,547,55
179	,6541.TW,泰福-KY,81.8,4.6,297,55
180	,8077.TW,洛碁,39.95,3.77,0,55
181	,8086.TW,宏捷科,81,1.12,1151,55
182	,8255.TW,朋程,174.5,0.58,395,55
183	,2302.TW,麗正,20.05,0.75,484,54
184	,2338.TW,光罩,79.8,-0.99,1863,54
185	,2727.TW,王品,331.5,1.22,3331,54
186	,2929.TW,淘帝-KY,13.2,0.76,452,54
187	,3017.TW,奇鋐,181.5,0.28,20066,54
188	,3047.TW,訊舟,15.8,0.32,1357,54
189	,4102.TW,永日,30.35,-2.88,994,54
190	,4148.TW,全宇生技-KY,63,-0.94,182,54
191	,4804.TW,大略-KY,6.17,-0.32,179,54
192	,4934.TW,太極,30.95,-2.98,1875,54
193	,5351.TW,鈺創,40.75,0.49,2392,54
194	,6146.TW,耕興,256.5,-2.29,410,54
195	,6150.TW,撼訊,71.6,-0.42,124,54
196	,6167.TW,久正,18,-1.37,5046,54
197	,1213.TW,大飲,6.77,0.15,10,53
198	,1513.TW,中興電,110.5,2.31,38503,53
199	,2465.TW,麗臺,36.2,-0.28,246,53
200	,2486.TW,一詮,27.8,-0.54,1453,53
201	,2603.TW,長榮,151,-0.33,12044,53
202	,2719.TW,燦星旅,43,0.23,15,53
203	,2723.TW,美食-KY,154.5,-2.52,836,53
204	,2734.TW,易飛網,33.65,1.51,290,53
205	,3006.TW,晶豪科,77.1,2.8,8660,53
206	,3011.TW,今皓,30.4,1.67,4591,53
207	,3138.TW,耀登,152,-0.33,207,53
208	,3289.TW,宜特,84.3,-1.63,1322,53
209	,3515.TW,華擎,134,1.52,238,53
210	,3532.TW,台勝科,151.5,1,818,53
211	,3587.TW,閎康,191,-0.78,415,53
212	,3617.TW,碩天,127,1.2,693,53
213	,3687.TW,歐買尬,93.7,3.54,1977,53
214	,4131.TW,晶宇,28.85,4.72,10,53
215	,4153.TW,鈺緯,48.25,1.15,405,53
216	,4543.TW,萬在,27.6,1.1,142,53
217	,4967.TW,十銓,73.6,-2.13,7821,53
218	,5251.TW,天鉞電,21.3,-0.7,93,53
219	,6129.TW,普誠,33.3,-0.75,2128,53
220	,6134.TW,萬旭,23.6,-0.63,539,53
221	,6488.TW,環球晶,479.5,0.1,1016,53
222	,6715.TW,嘉基,141.5,-2.41,226,53
223	,8097.TW,常珵,48.85,1.88,883,53
224	,2359.TW,所羅門,35.1,1.89,10907,52
225	,2443.TW,昶虹,3.61,3.14,319,52
226	,2745.TW,五福,42,0,122,52
227	,2748.TW,雲品,81.8,-0.61,1013,52
228	,2753.TW,八方雲集,176.5,0,329,52
229	,3089.TW,億杰,69.1,-3.49,219,52
230	,3308.TW,聯德,40.5,9.91,2961,52
231	,3322.TW,建舜電,21.8,0,503,52
232	,3419.TW,譁裕,21.65,-1.14,3523,52
233	,3527.TW,聚積,113,0.89,85,52
234	,3588.TW,通嘉,57.3,2.32,415,52
235	,3594.TW,磐儀,49.65,1.53,1232,52
236	,6103.TW,合邦,39.55,3.4,1,52
237	,6233.TW,旺玖,25.85,-0.77,221,52
238	,6492.TW,生華科,51,-2.67,117,52
239	,6556.TW,勝品,132,1.93,91,52
240	,8028.TW,昇陽半導體,57.7,-0.35,649,52
241	,8040.TW,九暘,45,-1.42,239,52
242	,8084.TW,巨虹,103.5,-3.72,677,52
243	,1319.TW,東陽,48.8,-3.94,8616,51
244	,1336.TW,台翰,27.35,0.92,391,51
245	,1342.TW,八貫,140,0.36,791,51
246	,1591.TW,駿吉-KY,27.3,-3.53,441,51
247	,2231.TW,為升,174,0.29,529,51
248	,2379.TW,瑞昱,369,0.82,3212,51
249	,2492.TW,華新科,99.8,-2.16,9496,51
250	,2615.TW,萬海,59.4,-0.17,5330,51
251	,3508.TW,位速,31.45,-0.47,145,51
252	,3592.TW,瑞鼎,381.5,1.6,512,51
253	,4171.TW,瑞基,57.5,-1.88,167,51
254	,5475.TW,德宏,15.7,-0.32,615,51
255	,6111.TW,大宇資,93.9,0.54,13947,51
256	,6243.TW,迅杰,40.8,9.97,5046,51
257	,6477.TW,安集,55.3,0.18,1827,51
258	,6683.TW,雍智科技,190,-1.04,109,51
259	,8409.TW,商之器,23.9,1.27,101,51
260	,8923.TW,時報,20.35,0,2,51
261	,2360.TW,致茂,191,0.53,1620,50
262	,2606.TW,裕民,52.6,1.35,2347,50
263	,3013.TW,晟銘電,24.15,4.09,11055,50
264	,3066.TW,李洲,22.6,-0.66,20,50
265	,3152.TW,璟德,209.5,-0.48,49,50
266	,3224.TW,三顧,53.5,-1.65,627,50
267	,3252.TW,海灣,18.1,-0.55,67,50
268	,3356.TW,奇偶,39.85,-0.25,1716,50
269	,3479.TW,安勤,119,1.71,8020,50
270	,3521.TW,鴻翊,23.85,0,162,50
271	,3591.TW,艾笛森,25.55,2,7297,50
272	,4157.TW,太景*-KY,15.4,-2.22,1236,50
273	,4609.TW,唐鋒,8,0,0,50
274	,5314.TW,世紀,23.1,-4.55,63,50
275	,5345.TW,天揚,4.9,-7.37,31,50
276	,5706.TW,鳳凰,61.6,-1.12,636,50
