符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-09 01:25 符合檔數(1736)
163	,2636.TW,台驊投控,75.5,-1.82,506,141.5,56.3,151.33
164	,5351.TW,鈺創,40.75,0.49,2392,73.2,29.15,151.11
165	,6485.TW,點序,104,4,1594,138,55.1,150.45
166	,4129.TW,聯合,61.2,-0.65,1401,68.8,27.5,150.18
167	,2236.TW,百達-KY,40.4,1.76,269,49.65,19.85,150.13
168	,3078.TW,僑威,55.5,2.21,9224,58.8,23.55,149.68
169	,6531.TW,愛普*,283,0,5710,342,137,149.64
170	,3004.TW,豐達科,100.5,2.03,1106,124,49.7,149.5
171	,6706.TW,惠特,83.9,-2.78,416,185.5,74.5,148.99
172	,4153.TW,鈺緯,48.25,1.15,405,60.9,24.5,148.57
173	,6733.TW,博晟生醫,40,-2.44,1433,47.4,19.1,148.17
174	,3362.TW,先進光,91.1,-1.19,1694,125.5,50.7,147.53
175	,6461.TW,益得,34.65,-1.42,546,46.75,18.9,147.35
176	,3035.TW,智原,168.5,-0.88,8020,292.5,118.5,146.84
177	,4131.TW,晶宇,28.85,4.72,10,32.3,13.1,146.56
178	,2642.TW,宅配通,46.4,-0.32,57,96.1,39,146.41
179	,2007.TW,燁興,10.55,-0.47,257,21.3,8.65,146.24
180	,3687.TW,歐買尬,93.7,3.54,1977,163,66.2,146.22
181	,2014.TW,中鴻,24.4,-0.2,4184,47.5,19.35,145.48
182	,6234.TW,高僑,37.8,-1.69,5562,41.5,16.95,144.84
183	,3675.TW,德微,295.5,-0.51,722,367,150,144.67
184	,6829.TW,千附精密,140,-0.36,2281,156.5,64,144.53
185	,3558.TW,神準,286,0.7,1497,379.5,155.5,144.05
186	,3025.TW,星通,32.2,3.21,5958,38.25,15.7,143.63
187	,5608.TW,四維航,23.4,-4.1,5151,51.9,21.35,143.09
188	,4432.TW,銘旺實,21.9,-1.13,78,33.6,13.85,142.6
189	,5904.TW,寶雅,568,-0.35,239,627,259,142.08
190	,1503.TW,士電,121,7.08,28429,123,50.9,141.65
191	,6616.TW,特昇-KY,14.35,0,10,31.4,13,141.54
192	,8087.TW,華鎂鑫,34,0.44,82,57,23.6,141.53
193	,2032.TW,新鋼,18.65,0.54,79,38.5,15.95,141.38
194	,1799.TW,易威,21.75,8.21,52,22.45,9.32,140.88
195	,2064.TW,晉椿,17.65,-1.94,8,33.7,14,140.71
196	,2009.TW,第一銅,32.6,-2.69,1712,47,19.55,140.41
197	,3293.TW,鈊象,556,2.96,1457,796,331.5,140.12
198	,6231.TW,系微,124,1.64,852,149.5,62.4,139.58
199	,9945.TW,潤泰新,35.8,0.56,4857,80.7,33.75,139.11
200	,6593.TW,台灣銘板,54.5,-1.45,49,69.7,29.15,139.11
201	,6560.TW,欣普羅,35.3,-0.42,22,72.3,30.25,139.01
202	,2028.TW,威致,25.65,-0.58,179,48.6,20.4,138.24
203	,6457.TW,紘康,53.4,-1.29,52,125,52.5,138.1
204	,2438.TW,翔耀,24.8,-1.78,200,27.5,11.55,138.1
205	,2031.TW,新光鋼,46.4,-1.38,1569,77.7,32.65,137.98
206	,3617.TW,碩天,127,1.2,693,138,58.1,137.52
207	,5536.TW,聖暉*,138.5,0.73,223,216,91,137.36
208	,6118.TW,建達,32.3,0,224,49.25,20.75,137.35
209	,1612.TW,宏泰,22.45,6.9,6518,31.65,13.35,137.08
210	,2603.TW,長榮,151,-0.33,12044,186,78.5,136.94
211	,2243.TW,宏旭-KY,19.65,0,177,25.35,10.7,136.92
