符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-08 23:20 符合檔數(1769)
234	,2603.TW,長榮,151,-0.33,12044,186,78.5,136.94
235	,9919.TW,康那香,18.35,1.38,5231,34.35,14.5,136.9
236	,4755.TW,三福化,127.5,-4.85,1295,241.5,102,136.76
237	,3324.TW,雙鴻,250,3.95,12954,265,112,136.61
238	,1810.TW,和成,26,-3.53,9907,23.35,9.87,136.58
239	,1708.TW,東鹼,40.3,-2.3,3410,73.1,30.9,136.57
240	,5353.TW,台林,48.3,-2.42,1593,43.9,18.6,136.02
241	,4558.TW,寶緯,29.75,2.94,124,50.5,21.4,135.98
242	,1342.TW,八貫,140,0.36,791,141,59.9,135.39
243	,2375.TW,凱美,70.2,-0.14,657,108,46.15,134.02
244	,6683.TW,雍智科技,190,-1.04,109,331,142,133.1
245	,6716.TW,應廣,110.5,9.95,75,175.5,75.3,133.07
246	,2481.TW,強茂,66.8,0.3,1186,114,48.95,132.89
247	,2383.TW,台光電,172,1.18,2245,298,128,132.81
248	,2429.TW,銘旺科,21.55,-0.69,122,20.9,8.99,132.48
249	,3691.TW,碩禾,105.5,-0.94,190,219.5,94.5,132.28
250	,6689.TW,伊雲谷,140,3.32,1884,181.5,78.2,132.1
251	,2754.TW,亞洲藏壽司,170,0.89,560,162,69.8,132.09
252	,1721.TW,三晃,16.4,-2.09,2711,29,12.5,132
253	,2614.TW,東森,19.55,-1.51,1917,42.8,18.45,131.98
254	,2390.TW,云辰,12.3,-1.6,334,25.5,11,131.82
255	,2540.TW,愛山林,76.5,0.53,46,156.5,67.6,131.51
256	,6558.TW,興能高,28.8,1.41,319,37.95,16.4,131.4
257	,3625.TW,西勝,13.75,-1.08,118,27.3,11.8,131.36
258	,1529.TW,樂事綠能,41.5,1.1,14597,35.5,15.35,131.27
259	,8111.TW,立碁,21.8,-1.8,552,33.5,14.5,131.03
260	,3257.TW,虹冠電,61,0.83,433,79.8,34.6,130.64
261	,2033.TW,佳大,15.2,0,98,26.15,11.35,130.4
262	,9958.TW,世紀鋼,109,-4.39,8149,138,59.9,130.38
263	,8933.TW,愛地雅,11.85,-0.42,651,24.95,10.85,129.95
264	,3432.TW,台端,13.4,-0.74,244,29.3,12.75,129.8
265	,3373.TW,熱映,22.85,0.22,27,42.5,18.5,129.73
266	,2406.TW,國碩,18.75,-0.79,1294,36.75,16,129.69
267	,3666.TW,光耀,23.45,5.63,1424,38.1,16.6,129.52
268	,8054.TW,安國,32.45,2.04,277,67.8,29.55,129.44
269	,3527.TW,聚積,113,0.89,85,196.5,85.8,129.02
270	,2611.TW,志信,12.85,-1.15,235,27,11.8,128.81
271	,6589.TW,台康生技,125,-1.96,7802,163.5,71.6,128.35
272	,2454.TW,聯發科,675,0,3132,1215,533,127.95
273	,3521.TW,鴻翊,23.85,0,162,29.6,13,127.69
274	,2399.TW,映泰,15.3,0.66,446,25.35,11.15,127.35
275	,6546.TW,正基,83,0,119,158,69.5,127.34
276	,3288.TW,點晶,26.1,9.89,212,26.3,11.6,126.72
277	,6613.TW,朋億*,99.5,-0.2,80,180,79.4,126.7
278	,3443.TW,創意,1125,-1.32,5903,822,364,125.82
279	,6654.TW,天正國際,50,0,5,92.8,41.1,125.79
280	,8358.TW,金居,55.6,0.18,4664,78.4,34.75,125.61
281	,4529.TW,淳紳,10.2,-0.97,32,19.15,8.5,125.29
282	,3661.TW,世芯-KY,1260,0,4950,1230,546,125.27
283	,4956.TW,光鋐,15.85,-1.55,210,29.8,13.25,124.91
284	,6651.TW,全宇昕,82.4,0.12,41,123.5,55,124.55
285	,3138.TW,耀登,152,-0.33,207,242.5,108,124.54
286	,3131.TW,弘塑,338,-2.45,503,385,171.5,124.49
287	,5215.TW,科嘉-KY,47.9,0.63,43,79,35.25,124.11
288	,6245.TW,立端,117,1.3,10025,112,50,124
289	,8420.TW,明揚,92.7,1.53,904,84,37.5,124
290	,6465.TW,威潤,22.6,-7.76,397,35.45,15.85,123.66
291	,6578.TW,達邦蛋白,18.1,0.28,272,28.85,12.9,123.64
292	,5011.TW,久陽,28.9,3.21,2361,44.5,19.9,123.62
293	,6462.TW,神盾,83,-0.6,63,122.5,54.8,123.54
294	,8489.TW,三貝德,23.6,0,47,44.7,20,123.5
295	,3530.TW,晶相光,77.6,0,53,138.5,62,123.39
296	,6015.TW,宏遠證,9.85,0.41,421,19.3,8.64,123.38
297	,5474.TW,聰泰,84.5,-1.05,17,130,58.3,122.98
