符合條件商品
資料日期：2023年  5月  8日
策略,	紅K次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	紅K次數
執行時間：2023-05-09 00:17 符合檔數(1736)
251	,2467.TW,志聖,47.85,0.42,57,121
252	,2504.TW,國產,28.85,0,3405,121
253	,2754.TW,亞洲藏壽司,170,0.89,560,121
254	,2816.TW,旺旺保,16.6,0.91,133,121
255	,2886.TW,兆豐金,34.3,0.15,8493,121
256	,2890.TW,永豐金,17.2,0.88,20656,121
257	,2891.TW,中信金,23.35,1.3,28740,121
258	,2923.TW,鼎固-KY,22.95,-0.86,4,121
259	,3017.TW,奇鋐,181.5,0.28,20066,121
260	,3218.TW,大學光,404,-1.22,163,121
261	,3228.TW,金麗科,167,-2.34,509,121
262	,3388.TW,崇越電,74.5,0.54,34,121
263	,4104.TW,佳醫,94.7,1.28,881,121
264	,4113.TW,聯上,16.4,0.61,257,121
265	,4138.TW,曜亞,101,9.66,981,121
266	,4536.TW,拓凱,206.5,0.98,645,121
267	,4770.TW,上品,283.5,0,377,121
268	,4934.TW,太極,30.95,-2.98,1875,121
269	,4999.TW,鑫禾,37.4,-0.13,42,121
270	,6024.TW,群益期,44.95,1.01,560,121
271	,6246.TW,臺龍,13.85,-0.36,3,121
272	,6269.TW,台郡,95.2,2.81,2069,121
273	,6415.TW,矽力*-KY,478,2.47,1229,121
274	,6464.TW,台數科,91,1.34,15,121
275	,6486.TW,互動,72.6,0.69,81,121
276	,6767.TW,台微醫,44.6,0.9,337,121
277	,8048.TW,德勝,40.5,1.25,119,121
278	,8068.TW,全達,31.65,-0.31,305,121
279	,9933.TW,中鼎,41,-3.76,7771,121
280	,9945.TW,潤泰新,35.8,0.56,4857,121
281	,1305.TW,華夏,23.95,-0.83,1282,120
282	,1473.TW,台南,22.95,-1.08,127,120
283	,1513.TW,中興電,110.5,2.31,38503,120
284	,1777.TW,生泰,90.5,-5.73,654,120
285	,2067.TW,嘉鋼,12.65,-1.17,4,120
286	,2305.TW,全友,22,-0.68,129,120
287	,2362.TW,藍天,30.5,0.16,671,120
288	,2408.TW,南亞科,64.8,-2.85,9260,120
289	,2535.TW,達欣工,32.7,0.93,1079,120
290	,2545.TW,皇翔,46.85,0.11,326,120
291	,3209.TW,全科,42.7,0.23,873,120
292	,3492.TW,長盛,20.85,0.24,65,120
293	,4102.TW,永日,30.35,-2.88,994,120
294	,4164.TW,承業醫,71.9,-0.96,4243,120
295	,6121.TW,新普,316,0.48,407,120
296	,6123.TW,上奇,70.2,-0.85,145,120
297	,6161.TW,捷波,33.25,-4.32,1343,120
298	,6170.TW,統振,39.3,0,413,120
299	,6216.TW,居易,26.4,0,145,120
300	,6530.TW,創威,26.95,-0.19,93,120
301	,6570.TW,維田,63.4,1.44,176,120
302	,6664.TW,群翊,113,0,100,120
303	,6703.TW,軒郁,190.5,-0.78,283,120
304	,8042.TW,金山電,40.25,0.5,99,120
305	,8081.TW,致新,179.5,1.99,225,120
306	,8112.TW,至上,44.55,-0.22,1482,120
307	,8279.TW,生展,185,1.65,35,120
308	,8349.TW,恒耀,65,1.09,360,120
