符合條件商品
資料日期：2023年  4月 21日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-04-23 03:20 符合檔數(1711)
234	,8932.TW,宏大,49.9,2.46,438,50.8,18.95,168.07
235	,2375.TW,凱美,70.3,-3.96,1704,123.5,46.15,167.61
236	,1721.TW,三晃,14.2,-1.39,2083,33.45,12.5,167.6
237	,2460.TW,建通,23,0.66,1215,32.5,12.15,167.49
238	,8121.TW,越峰,28.65,-3.54,2071,60.7,22.7,167.4
239	,5299.TW,杰力,130,-3.7,344,227,85,167.06
240	,4148.TW,全宇生技-KY,61.6,-5.23,546,98.8,37,167.03
241	,3085.TW,新零售,20.95,-0.24,0,22.7,8.51,166.75
242	,3217.TW,優群,104,-1.89,2262,150,56.3,166.43
243	,6111.TW,大宇資,65,-2.99,2488,112.5,42.3,165.96
244	,2457.TW,飛宏,72.5,-2.82,46421,79.8,30.05,165.56
245	,1515.TW,力山,28.65,-1.72,550,68.8,26,164.62
246	,2340.TW,台亞,36.15,-2.3,2319,80.4,30.4,164.47
247	,8080.TW,永利聯合,11.05,-5.15,65,18.5,7,164.29
248	,5536.TW,聖暉*,134,-1.47,632,240,91,163.74
249	,3504.TW,揚明光,78.5,-2.61,1253,154,58.5,163.25
250	,1560.TW,中砂,113.5,0.89,9646,183,69.6,162.93
251	,6127.TW,九豪,21.85,-4.38,728,32.05,12.2,162.7
252	,3034.TW,聯詠,436,-2.02,3743,546,208,162.5
253	,3714.TW,富采,51,-2.49,4680,104,39.7,161.96
254	,6598.TW,ABC-KY,27.9,-0.53,115,60.7,23.2,161.64
255	,3041.TW,揚智,19.85,-2.93,1526,44.3,16.95,161.36
256	,3305.TW,昇貿,49.7,-4.61,2004,92.4,35.4,161.02
257	,5215.TW,科嘉-KY,48.1,-1.43,72,92,35.25,160.99
258	,4945.TW,陞達科技,51.7,0.19,88,108,41.4,160.87
259	,8155.TW,博智,150.5,-4.14,3865,216.5,83,160.84
260	,3685.TW,元創精密,20.85,-2.34,132,47.5,18.25,160.27
261	,4153.TW,鈺緯,47.35,-7.52,1439,60.9,23.4,160.26
262	,6266.TW,泰詠,45,-2.6,5872,48.9,18.8,160.11
263	,6461.TW,益得,34.1,-3.54,733,46.75,18,159.72
264	,2731.TW,雄獅,170.5,-2.01,2716,192,74,159.46
265	,5340.TW,建榮,42.4,-3.31,841,57,22,159.09
266	,2642.TW,宅配通,45.5,-2.26,227,101,39,158.97
267	,2498.TW,宏達電,58.1,-2.52,13726,97.3,37.6,158.78
268	,2413.TW,環科,38.6,-3.38,3917,44.75,17.3,158.67
269	,8093.TW,保銳,13.3,2.7,284,15,5.8,158.62
270	,4976.TW,佳凌,49.05,-0.1,1081,83.4,32.25,158.6
271	,4304.TW,勝昱,9.99,0.1,88,15.8,6.12,158.17
272	,6593.TW,台灣銘板,54.8,-6.16,360,69.7,27.05,157.67
273	,6690.TW,安碁資訊,192,-7.47,2637,237,92,157.61
274	,1752.TW,南光,75.6,-2.58,9005,83.8,32.6,157.06
275	,2492.TW,華新科,97.1,-4.8,5738,184,71.6,156.98
276	,3466.TW,致振,35,-6.42,2992,38.5,15,156.67
277	,3672.TW,康聯訊,29.5,-0.67,39,51.3,20,156.5
278	,4903.TW,聯光通,20.1,-1.71,236,22.15,8.65,156.07
279	,6672.TW,騰輝電子-KY,85,-3.19,461,145,56.7,155.73
280	,2379.TW,瑞昱,367,-4.68,5613,594,232.5,155.48
281	,2481.TW,強茂,66.8,-3.47,5253,125,48.95,155.36
282	,3629.TW,地心引力,77.6,9.92,2182,77.6,30.4,155.26
283	,3272.TW,東碩,44.55,-1.22,756,58.3,22.85,155.14
284	,6026.TW,福邦證,11.9,-1.65,4543,24,9.41,155.05
285	,5274.TW,信驊,2610,-0.95,358,3675,1445,154.33
286	,3563.TW,牧德,182.5,-3.18,243,286,112.5,154.22
287	,2014.TW,中鴻,25.55,-0.78,16129,49.15,19.35,154.01
288	,3661.TW,世芯-KY,1195,-9.13,7421,1385,546,153.66
289	,1236.TW,宏亞,23.55,-0.21,132,35.25,13.9,153.6
290	,3294.TW,英濟,17.95,-4.52,679,39.95,15.8,152.85
291	,8358.TW,金居,55.2,-2.47,2693,87.8,34.75,152.66
292	,3530.TW,晶相光,81,-3.11,213,156.5,62,152.42
293	,3293.TW,鈊象,505,-4.17,2230,836,331.5,152.19
294	,2915.TW,潤泰全,56,-0.71,4997,124,49.2,152.03
295	,7402.TW,邑錡,67.6,-6.89,1457,85.8,34.05,151.98
296	,2399.TW,映泰,15,-2.91,1229,28,11.15,151.12
297	,3499.TW,環天科,21.6,-2.92,1000,30,11.95,151.05
298	,2415.TW,錩新,24.45,-2.4,109,50,19.95,150.63
299	,4760.TW,勤凱,64.5,-1.23,78,109,43.5,150.57
300	,4114.TW,健喬,45.2,-2.8,10828,55.8,22.3,150.22
301	,4129.TW,聯合,59.3,-4.97,3382,68.8,27.5,150.18
302	,2236.TW,百達-KY,41.35,-5.49,812,49.65,19.85,150.13
303	,5245.TW,智晶,49.7,-3.5,258,109.5,43.8,150
304	,2388.TW,威盛,76.7,-1.41,9155,103.5,41.4,150
305	,8016.TW,矽創,229.5,-2.96,2046,340,136,150
306	,8442.TW,威宏-KY,76.2,-2.93,369,92.6,37.05,149.93
307	,3078.TW,僑威,51.5,-5.85,19892,58.8,23.55,149.68
308	,2369.TW,菱生,14.85,-1.33,1042,29.45,11.8,149.58
309	,3004.TW,豐達科,113.5,-1.73,3326,124,49.7,149.5
310	,3483.TW,力致,68,-4.9,2184,108,43.3,149.42
311	,6747.TW,亨泰光,256,-0.19,327,405.5,163,148.77
312	,5608.TW,四維航,25.5,-3.04,3685,53.1,21.35,148.71
313	,1612.TW,宏泰,20.45,-1.68,1344,33.15,13.35,148.31
314	,6733.TW,博晟生醫,41.6,-3.59,11208,47.4,19.1,148.17
315	,3555.TW,重鵬,27,-1.64,4,49.7,20.05,147.88
316	,6509.TW,聚和,44.3,-3.38,2020,82.9,33.45,147.83
317	,3362.TW,先進光,92.9,-3.23,3456,125.5,50.7,147.53
318	,8940.TW,新天地,23.9,-4.59,1194,29.95,12.1,147.52
319	,6182.TW,合晶,44.1,-2.33,6100,89.5,36.2,147.24
320	,3321.TW,同泰,6.3,-0.16,72,15.1,6.11,147.14
321	,1316.TW,上曜,13.35,-1.48,1334,27.75,11.25,146.67
322	,6134.TW,萬旭,25,-9.91,4294,36.5,14.8,146.62
323	,6462.TW,神盾,81.8,-2.04,260,135,54.8,146.35
324	,1708.TW,東鹼,41.3,-1.67,2903,73.1,29.8,145.3
325	,3037.TW,欣興,136.5,0.74,22922,261,106.5,145.07
326	,3675.TW,德微,296,-3.9,2846,367,150,144.67
327	,3138.TW,耀登,157.5,-6.25,1512,264,108,144.44
328	,8040.TW,九暘,48,-2.93,334,87.6,35.85,144.35
329	,3310.TW,佳穎,67.4,-0.15,115,70,28.65,144.33
330	,6703.TW,軒郁,173.5,-1.7,773,192.5,78.9,143.98
331	,8054.TW,安國,32.25,-2.71,419,72,29.55,143.65
332	,3025.TW,星通,30.85,-4.93,6813,38.25,15.7,143.63
333	,1725.TW,元禎,21.55,-0.92,15,44.4,18.25,143.29
334	,2609.TW,陽明,64.9,-2.26,27834,137.5,56.6,142.93
335	,4989.TW,榮科,26.25,-2.05,228,51.5,21.2,142.92
336	,3710.TW,連展投控,11.65,-2.51,2955,17.9,7.37,142.88
337	,4432.TW,銘旺實,21.9,-4.37,320,33.6,13.85,142.6
338	,6158.TW,禾昌,26.3,-2.05,176,58.2,24,142.5
339	,3484.TW,崧騰,47.4,0.74,1446,96,39.6,142.42
340	,6109.TW,亞元,16.7,-4.84,2176,20.6,8.5,142.35
341	,6698.TW,旭暉應材,35.3,-4.85,501,63,26,142.31
342	,5904.TW,寶雅,580,-1.19,327,627,259,142.08
343	,3081.TW,聯亞,122,-4.69,2385,217.5,90,141.67
344	,6233.TW,旺玖,25.6,-3.58,921,41.8,17.3,141.62
345	,6616.TW,特昇-KY,14.2,-1.39,68,31.4,13,141.54
346	,8087.TW,華鎂鑫,37.1,-0.4,94,57,23.6,141.53
347	,2032.TW,新鋼,18.75,-2.85,405,38.5,15.95,141.38
348	,6728.TW,上洋,155.5,-3.72,81,193.5,80.2,141.27
349	,5225.TW,東科-KY,37.4,-1.45,647,44.25,18.35,141.14
350	,1799.TW,易威,20.1,1.77,45,22.45,9.32,140.88
351	,2458.TW,義隆,95.4,-3.15,1781,181.5,75.4,140.72
352	,2064.TW,晉椿,17.45,-1.69,20,33.7,14,140.71
353	,8081.TW,致新,184.5,-3.4,656,273,113.5,140.53
354	,5285.TW,界霖,79.5,-2.69,832,141,58.7,140.2
355	,6231.TW,系微,121,-4.35,1493,149.5,62.4,139.58
356	,3016.TW,嘉晶,64.5,-4.59,2178,154.5,64.5,139.53
357	,9945.TW,潤泰新,35.15,0.29,4711,80.7,33.75,139.11
358	,6716.TW,應廣,102.5,-2.84,18,180,75.3,139.04
359	,2491.TW,吉祥全,12.5,0,154,26.4,11.05,138.91
360	,1773.TW,勝一,128.5,0.78,319,234.5,98.2,138.8
361	,2038.TW,海光,20.5,-2.84,649,40.8,17.1,138.6
362	,3339.TW,泰谷,13.7,-2.14,707,28.15,11.8,138.56
363	,3131.TW,弘塑,336.5,8.2,1246,409,171.5,138.48
364	,2028.TW,威致,26.25,-2.23,471,48.6,20.4,138.24
365	,4712.TW,南璋,4.55,-0.66,6,9.45,3.97,138.04
366	,1514.TW,亞力,48.1,-3.8,10899,54.5,22.9,137.99
367	,2031.TW,新光鋼,53.6,9.84,28288,77.7,32.65,137.98
368	,4303.TW,信立,17.2,-1.71,253,34.7,14.6,137.67
369	,8255.TW,朋程,177.5,-2.47,1230,297,125,137.6
370	,8050.TW,廣積,77.3,-3.01,3659,89.8,37.8,137.57
371	,3617.TW,碩天,122,-0.41,626,138,58.1,137.52
372	,3625.TW,西勝,14.2,0.35,317,28,11.8,137.29
373	,3092.TW,鴻碩,37,-3.52,2008,74.5,31.4,137.26
374	,3432.TW,台端,13.55,1.88,580,29.3,12.35,137.25
375	,2603.TW,長榮,166,-2.64,20588,186,78.5,136.94
376	,2243.TW,宏旭-KY,20.6,-2.14,450,25.35,10.7,136.92
377	,9919.TW,康那香,17.5,-2.78,2390,34.35,14.5,136.9
378	,2707.TW,晶華,286,-2.39,1557,338.5,143,136.71
379	,2438.TW,翔耀,27,3.05,1365,27.1,11.45,136.68
380	,1605.TW,華新,49.9,0.1,24600,59.4,25.1,136.65
381	,3438.TW,類比科,57.4,-1.88,398,99.5,42.05,136.62
382	,3324.TW,雙鴻,231.5,-3.14,6476,265,112,136.61
383	,6418.TW,詠昇,18.05,0.28,295,30.4,12.85,136.58
384	,2406.TW,國碩,19.5,-2.26,2286,37.7,16,135.63
385	,4154.TW,樂威科-KY,31.4,1.29,10,63.6,27,135.56
