符合條件商品
資料日期：2021年 12月 17日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-19 14:40 符合檔數(1449)
181	,1752.TW,南光,37.15,-2.24,193,59.03,1.13,3.32,18.46
182	,1760.TW,寶齡富錦,69.4,0.58,649,23.71,0.98,19.05,20.75
183	,1762.TW,中化生,65.3,-0.76,313,40.2,6.81,30.33,30.68
184	,1773.TW,勝一,139.5,-1.76,274,64.79,3.96,0.87,54.03
185	,1776.TW,展宇,21.2,-0.93,61,53.66,1.37,6.45,9.85
186	,1777.TW,生泰,64.5,0,83,48.69,0.14,2.04,29.77
187	,1783.TW,和康生,51.1,-1.92,383,55.44,8.32,18.28,24.57
188	,1784.TW,訊聯,39.8,-0.5,162,21.48,1.75,17.82,11.92
189	,1785.TW,光洋科,48.3,-0.72,2296,35.94,5.96,18.08,3.59
190	,1786.TW,科妍,50.2,0.6,55,44.16,0.51,5.64,17.18
191	,1788.TW,杏昌,140,0,20,42.28,11.12,0.09,30.45
192	,1789.TW,神隆,24.25,-1.02,293,75.99,3.88,2.25,64.44
193	,1795.TW,美時,95.3,-1.95,3578,67.72,74.68,17.22,57.52
194	,1802.TW,台玻,25.8,1.18,8742,81.97,9.97,3.59,30.16
195	,1806.TW,冠軍,12.1,-1.63,1005,70.5,11.16,8.67,15.46
196	,1808.TW,潤隆,59.1,-0.51,79,85,5.09,4.61,10.07
197	,1809.TW,中釉,15.5,-0.64,1369,49.26,5.32,11.41,16.95
198	,1810.TW,和成,17,-1.16,2332,68.3,6.55,30.46,10.06
199	,1813.TW,寶利徠,18.05,-0.55,27,27.21,10.17,1.42,16.57
200	,1815.TW,富喬,16.5,-1.2,1577,29.79,5.08,17.97,16.94
201	,1817.TW,凱撒衛,36.85,-0.41,53,46.86,2.83,11.27,16.96
202	,1903.TW,士紙,66.9,4.21,919,79.06,18.95,3.9,8.56
203	,1904.TW,正隆,33.9,0.59,1916,64.3,8.77,2.2,12.43
