符合條件商品
資料日期：2023年  4月 18日
策略,	10主力買比
87	,5880.TW,合庫金,26.6,0.19,4300,1.69
88	,4763.TW,材料-KY,454.5,-5.02,565,1.68
89	,6796.TW,晉弘,107,1.42,415,1.68
90	,3426.TW,台興,39.8,0,11,1.67
91	,3363.TW,上詮,36.2,9.86,19713,1.67
92	,2211.TW,長榮鋼,59.4,-0.5,943,1.66
93	,1786.TW,科妍,71.5,0.99,507,1.66
94	,8279.TW,生展,180,-0.55,55,1.65
95	,2382.TW,廣達,82.6,1.6,12185,1.64
96	,2314.TW,台揚,51.1,9.89,14842,1.64
97	,6799.TW,來頡,180.5,9.73,8516,1.64
98	,4109.TW,加捷生醫,15.8,4.64,2955,1.63
99	,6506.TW,雙邦,19.85,0,21,1.63
100	,6806.TW,森崴能源,121,10,29304,1.62
101	,5871.TW,中租-KY,230,0,1411,1.62
102	,6026.TW,福邦證,12.7,1.6,7418,1.62
103	,2887.TW,台新金,17.25,0.29,12544,1.61
104	,3552.TW,同致,154,0.33,504,1.61
105	,6588.TW,東典光電,30.35,0,19,1.6
106	,6807.TW,峰源-KY,31.2,0.65,66,1.58
107	,4119.TW,旭富,130,0.78,534,1.58
108	,2726.TW,雅茗-KY,28,0,45,1.58
109	,2905.TW,三商,15.4,0,188,1.57
110	,3567.TW,逸昌,29.65,-0.17,25,1.57
111	,2353.TW,宏碁,29.3,-0.34,7455,1.56
112	,1474.TW,弘裕,12.7,-0.78,189,1.56
113	,6541.TW,泰福-KY,80.5,0.75,217,1.55
114	,4106.TW,雃博,31.35,0.97,686,1.54
115	,3380.TW,明泰,38.4,2.54,9859,1.54
116	,2482.TW,連宇,72.5,-3.07,4320,1.54
117	,2851.TW,中再保,18.6,0.54,1733,1.54
118	,2705.TW,六福,17.85,0,862,1.52
119	,4942.TW,嘉彰,38.3,0,185,1.52
120	,8940.TW,新天地,25.65,0.59,762,1.52
121	,2331.TW,精英,23.75,0.85,6539,1.52
122	,2542.TW,興富發,42.1,0.12,2351,1.52
123	,6690.TW,安碁資訊,200,3.9,1566,1.51
124	,3066.TW,李洲,24.5,-0.2,61,1.5
125	,2731.TW,雄獅,177.5,-1.66,4971,1.5
126	,4198.TW,欣大健康,25.15,2.03,7,1.5
127	,4706.TW,大恭,17.35,-0.57,6,1.5
128	,6020.TW,大展證,18.8,0,13,1.5
129	,4127.TW,天良,17.5,9.72,2335,1.5
130	,3306.TW,鼎天,27.2,0,503,1.5
131	,5283.TW,禾聯碩,110,-0.45,74,1.49
132	,3592.TW,瑞鼎,444.5,4.47,4619,1.49
133	,6670.TW,復盛應用,219,-0.45,447,1.49
134	,8201.TW,無敵,13.35,-1.84,280,1.49
135	,2850.TW,新產,50.4,0.4,126,1.49
136	,3004.TW,豐達科,115.5,10,8919,1.48
137	,3576.TW,聯合再生,21.35,0.95,17869,1.48
138	,2890.TW,永豐金,16.8,0,14299,1.48
139	,2006.TW,東和鋼鐵,59.3,-0.17,886,1.48
140	,6241.TW,易通展,14.1,-1.05,68,1.48
141	,1533.TW,車王電,58.6,9.94,6885,1.47
142	,3234.TW,光環,25.85,3.61,5924,1.47
143	,5904.TW,寶雅,602,2.91,623,1.47
144	,8442.TW,威宏-KY,80,-1.36,86,1.47
145	,4979.TW,華星光,59.2,9.83,19967,1.47
146	,6129.TW,普誠,37.6,1.35,8903,1.47
147	,3557.TW,嘉威,70.7,4.59,548,1.47
148	,6561.TW,是方,411,5.93,440,1.47
149	,9914.TW,美利達,172.5,2.68,1004,1.46
150	,4406.TW,新昕纖,10.25,0,29,1.46
151	,8227.TW,巨有科技,176.5,2.32,286,1.45
152	,4743.TW,合一,278.5,1.27,4775,1.45
153	,3550.TW,聯穎,16.35,2.51,545,1.45
154	,2228.TW,劍麟,87.2,1.75,431,1.45
155	,9921.TW,巨大,191.5,1.86,1768,1.45
156	,2433.TW,互盛電,53.1,-0.38,41,1.45
157	,8068.TW,全達,29,3.57,570,1.44
158	,3537.TW,堡達,37.95,0,102,1.44
159	,6202.TW,盛群,74.5,0.68,683,1.43
160	,1714.TW,和桐,9.31,0.54,2715,1.43
161	,4741.TW,泓瀚,27.25,0.74,15,1.43
162	,2015.TW,豐興,69.9,0.87,211,1.43
163	,1541.TW,錩泰,36.1,-0.82,59,1.43
164	,8481.TW,政伸,58,0,13,1.43
165	,8271.TW,宇瞻,54.7,-0.55,1043,1.42
166	,6237.TW,驊訊,50.2,0,762,1.42
167	,6451.TW,訊芯-KY,86.2,0.94,412,1.41
168	,8464.TW,億豐,336,0.75,194,1.4
169	,2369.TW,菱生,15.7,0.64,2240,1.4
170	,3085.TW,新零售,21.4,0.71,9,1.4
171	,4987.TW,科誠,60.8,0,12,1.4
172	,3259.TW,鑫創,20.75,1.47,59,1.4
173	,2484.TW,希華,37.8,0.8,1642,1.39
174	,2491.TW,吉祥全,11.95,0.42,50,1.39
175	,3219.TW,倚強科,54.6,-0.91,15,1.39
176	,2303.TW,聯電,52.1,0.19,40633,1.39
177	,2347.TW,聯強,62.4,0.48,1660,1.38
178	,8111.TW,立碁,23.1,0.87,1188,1.38
179	,6015.TW,宏遠證,10.2,-0.49,1293,1.38
180	,4711.TW,永純,15.15,1,35,1.38
181	,1726.TW,永記,74.3,0.27,58,1.38
182	,6509.TW,聚和,47.4,1.28,6084,1.38
183	,5464.TW,霖宏,31.55,0.64,1219,1.38
184	,3022.TW,威強電,86.1,3.24,4763,1.37
185	,2478.TW,大毅,50.3,-0.4,319,1.37
186	,8044.TW,網家,63.9,3.4,1663,1.37
187	,1903.TW,士紙,44.45,-0.11,112,1.37
188	,8088.TW,品安,34,-2.16,2877,1.37
189	,1452.TW,宏益,17.7,0.28,49,1.37
190	,1467.TW,南緯,11.5,0,1870,1.36
191	,6733.TW,博晟生醫,35.7,2.15,2106,1.36
192	,6743.TW,安普新,61.6,10,2207,1.36
193	,4142.TW,國光生,40.75,1.12,2312,1.36
194	,6101.TW,寬魚國際,51.6,3.2,669,1.36
195	,8923.TW,時報,20.7,0.24,106,1.36
196	,1795.TW,美時,265.5,1.34,4211,1.36
197	,4540.TW,全球傳動,44.05,0.92,256,1.35
198	,6625.TW,必應,63.9,9.98,4743,1.35
199	,6277.TW,宏正,86.6,0.81,369,1.35
200	,6438.TW,迅得,111.5,-0.45,1723,1.35
201	,6505.TW,台塑化,86.5,-1.37,1400,1.35
202	,6151.TW,晉倫,28.8,0.17,56,1.35
203	,2022.TW,聚亨,8.38,0.36,842,1.35
204	,6191.TW,精成科,34.15,-1.16,2403,1.35
205	,6585.TW,鼎基,67.2,-0.74,150,1.35
206	,6418.TW,詠昇,18.65,1.63,397,1.34
207	,2612.TW,中航,40,-1.48,278,1.34
208	,5607.TW,遠雄港,74,3.5,1627,1.34
209	,2236.TW,百達-KY,46.15,-0.65,2257,1.34
210	,1702.TW,南僑,48.15,-0.72,353,1.34
211	,2882.TW,國泰金,43.1,-0.23,10599,1.34
212	,1409.TW,新纖,17.9,0.28,2529,1.34
213	,4908.TW,前鼎,36.6,4.42,2267,1.34
214	,2221.TW,大甲,44.45,0.57,399,1.34
215	,2387.TW,精元,44.65,-0.67,1127,1.34
216	,1736.TW,喬山,68.6,-0.29,375,1.34
217	,1528.TW,恩德,11.55,0.87,1722,1.34
218	,1108.TW,幸福,15.7,-1.26,1395,1.33
219	,1781.TW,合世,15.2,0.66,60,1.33
220	,6198.TW,瑞築,21.35,0,7,1.33
221	,6246.TW,臺龍,14,-0.71,9,1.33
222	,6728.TW,上洋,168.5,-0.88,26,1.33
223	,4183.TW,福永生技,19.85,0.51,25,1.33
224	,6556.TW,勝品,153,2,173,1.33
225	,4746.TW,台耀,83.9,-3.01,3969,1.33
226	,6606.TW,建德工業,31.8,9.84,2538,1.33
227	,6517.TW,保勝光學,155,-1.27,340,1.32
228	,3317.TW,尼克森,60.4,1.17,1230,1.32
229	,1777.TW,生泰,89,1.02,265,1.32
230	,3206.TW,志豐,36.2,9.04,5571,1.32
231	,2385.TW,群光,95.9,0.52,1404,1.32
232	,4102.TW,永日,30.95,1.64,1121,1.32
233	,3693.TW,營邦,194.5,5.14,1626,1.32
234	,4951.TW,精拓科,75.5,8.95,2584,1.32
235	,1599.TW,宏佳騰,39.05,-0.51,62,1.31
236	,1522.TW,堤維西,30.4,0.83,4127,1.31
237	,4554.TW,橙的,30.35,8.01,288,1.31
238	,2886.TW,兆豐金,34.2,2.24,22609,1.31
239	,6530.TW,創威,29.3,1.03,472,1.31
240	,6233.TW,旺玖,28.3,-0.35,1914,1.31
241	,4720.TW,德淵,14.7,1.38,337,1.3
242	,5312.TW,寶島科,65.5,0,47,1.3
243	,2535.TW,達欣工,33.7,-0.44,3988,1.3
244	,5213.TW,亞昕,26.7,-0.19,84,1.3
245	,6655.TW,科定,128,0,41,1.3
246	,2345.TW,智邦,313.5,0.16,2373,1.3
247	,1337.TW,再生-KY,7.28,1.53,1251,1.29
248	,5438.TW,東友,19.3,2.12,165,1.29
249	,6781.TW,AES-KY,732,1.24,553,1.29
250	,8085.TW,福華,24.1,7.83,4630,1.29
251	,1232.TW,大統益,149.5,0.67,34,1.29
252	,1707.TW,葡萄王,188,1.08,350,1.29
253	,6574.TW,霈方,55.3,-2.64,37,1.29
254	,2756.TW,聯發國際,150,-1.32,88,1.28
255	,1796.TW,金穎生技,117.5,2.17,783,1.28
256	,2495.TW,普安,26.7,9.88,12926,1.28
257	,2834.TW,臺企銀,13.9,-0.36,14359,1.28
258	,2727.TW,王品,316,3.78,5912,1.27
259	,6747.TW,亨泰光,267.5,-0.19,516,1.27
260	,5450.TW,南良,22.65,-0.44,424,1.27
261	,5903.TW,全家,216.5,-0.23,19,1.27
262	,4130.TW,健亞,28.1,0,619,1.27
263	,1709.TW,和益,26.1,0.38,2169,1.27
264	,3323.TW,加百裕,35.75,0.7,439,1.27
265	,8440.TW,綠電,50.2,0.2,5415,1.27
266	,2104.TW,國際中橡,20.15,0,1857,1.27
267	,3268.TW,海德威,23.3,0,67,1.27
268	,1215.TW,卜蜂,94.9,-0.11,3407,1.27
269	,3540.TW,曜越,43.5,2.35,2724,1.26
270	,6115.TW,鎰勝,46,1.77,621,1.26
271	,2467.TW,志聖,48.55,-0.21,102,1.26
272	,5905.TW,南仁湖,12,-0.83,553,1.26
273	,3152.TW,璟德,234,-0.64,74,1.26
274	,1515.TW,力山,29.75,-0.34,452,1.25
275	,5340.TW,建榮,46.7,0.11,629,1.25
276	,8182.TW,加高,32.5,1.56,113,1.25
277	,6175.TW,立敦,40.5,-0.86,1207,1.25
278	,4138.TW,曜亞,80.3,-0.99,114,1.25
279	,2496.TW,卓越,51.3,-0.19,45,1.25
280	,6789.TW,采鈺,246.5,1.23,1385,1.25
281	,3332.TW,幸康,47.65,-0.63,26,1.25
282	,6221.TW,晉泰,64.7,-1.07,96,1.24
283	,4128.TW,中天,66.6,0.15,3122,1.24
284	,1305.TW,華夏,26.75,-1.11,1226,1.24
285	,8284.TW,三竹,66.1,3.28,347,1.24
286	,3533.TW,嘉澤,928,-0.96,312,1.24
287	,1447.TW,力鵬,8.22,0.74,3869,1.24
288	,4911.TW,德英,71,4.72,997,1.24
289	,1301.TW,台塑,93,-1.06,4766,1.24
290	,8905.TW,裕國,25.75,-2.09,129,1.23
291	,8299.TW,群聯,400,-2.44,1741,1.23
292	,9917.TW,中保科,105.5,0,547,1.23
293	,4745.TW,合富-KY,27.25,0.37,49,1.23
294	,3036.TW,文曄,68.5,1.18,979,1.23
295	,4123.TW,晟德,48.05,-0.41,1698,1.23
296	,2504.TW,國產,28.05,0.54,2233,1.23
297	,6209.TW,今國光,33.5,1.52,8061,1.23
298	,4163.TW,鐿鈦,132,-0.38,581,1.23
299	,5381.TW,合正,19.25,2.94,1249,1.23
300	,6579.TW,研揚,93.5,0,42,1.22
301	,4538.TW,大詠城,21,0.96,24,1.22
302	,2476.TW,鉅祥,57,-1.72,3109,1.22
303	,3056.TW,總太,49.55,0.1,5588,1.22
304	,3057.TW,喬鼎,12.85,9.83,1358,1.21
305	,6109.TW,亞元,18.45,1.37,1790,1.21
306	,5291.TW,邑昇,34.55,0.14,37,1.21
307	,6804.TW,明係,64.1,3.05,375,1.21
308	,3498.TW,陽程,35.35,0.14,89,1.21
309	,1614.TW,三洋電,37.35,0.13,21,1.21
310	,1732.TW,毛寶,28.3,-0.53,145,1.21
311	,6284.TW,佳邦,60.6,-1.62,897,1.21
312	,4160.TW,創源,30.35,-0.65,75,1.21
313	,4939.TW,亞電,16.85,0.9,215,1.21
314	,8404.TW,百和興業-KY,26.65,-0.37,43,1.21
315	,2444.TW,兆勁,17.4,1.75,1817,1.21
316	,4581.TW,光隆精密-KY,52.6,-0.19,219,1.2
317	,6164.TW,華興,12.05,0.84,644,1.2
318	,3588.TW,通嘉,65.3,4.48,2638,1.2
319	,3666.TW,光耀,23.9,0.42,171,1.2
320	,3689.TW,湧德,39.15,0.64,371,1.2
321	,2596.TW,綠意,22.5,0.22,97,1.2
322	,5223.TW,安力-KY,40.8,0.12,13,1.2
323	,6542.TW,隆中,45.5,0.66,7,1.2
324	,8155.TW,博智,157,3.63,9207,1.2
325	,4953.TW,緯軟,124,-1.59,2995,1.2
326	,2230.TW,泰茂,82.6,-1.55,3772,1.2
327	,8367.TW,建新國際,49.05,0.62,89,1.2
328	,4938.TW,和碩,70.1,-0.85,1817,1.2
329	,6491.TW,晶碩,425.5,2.16,597,1.2
330	,8234.TW,新漢,43.85,1.86,1213,1.2
331	,3631.TW,晟楠,35.35,3.06,37,1.2
332	,8916.TW,光隆,54.6,-0.73,482,1.2
333	,6240.TW,松崗,25.85,0.39,98,1.19
334	,3563.TW,牧德,190.5,0.26,49,1.19
335	,3702.TW,大聯大,50.5,0.6,2364,1.19
336	,3033.TW,威健,30.7,-0.32,1278,1.19
337	,3030.TW,德律,65.3,-0.31,347,1.18
338	,6770.TW,力積電,32.9,0,13122,1.18
339	,2455.TW,全新,95.3,-0.31,2820,1.18
340	,6691.TW,洋基工程,293.5,-1.18,1036,1.18
341	,2373.TW,震旦行,80.8,1.25,151,1.18
342	,6712.TW,長聖,221.5,0.45,1656,1.18
343	,1419.TW,新紡,40.5,-0.12,121,1.18
344	,4523.TW,永彰,38.7,2.38,41,1.18
345	,8210.TW,勤誠,91.4,9.99,3824,1.18
346	,8908.TW,欣雄,71.3,0.56,23,1.18
347	,2754.TW,亞洲藏壽司,168.5,9.77,2108,1.18
348	,6469.TW,大樹,399.5,0.63,354,1.17
349	,6150.TW,撼訊,76.7,-0.9,365,1.17
350	,4714.TW,永捷,12.35,9.78,3577,1.17
351	,5234.TW,達興材料,89.4,-2.3,391,1.17
352	,1472.TW,三洋實業,27.9,-2.11,10,1.17
353	,4973.TW,廣穎,26.55,-0.19,531,1.17
354	,4121.TW,優盛,25.05,0.6,1838,1.17
355	,2359.TW,所羅門,35.15,-0.85,18733,1.17
356	,2459.TW,敦吉,57.3,0.35,97,1.16
357	,1568.TW,倉佑,24.6,0.2,396,1.16
358	,1720.TW,生達,68.6,7.19,10398,1.16
359	,6136.TW,富爾特,19.7,0.51,500,1.16
360	,2897.TW,王道銀行,10.3,0.98,13519,1.16
361	,6231.TW,系微,128.5,-2.65,2251,1.16
362	,2377.TW,微星,147.5,0,1823,1.16
363	,8454.TW,富邦媒,870,3.69,746,1.16
364	,5306.TW,桂盟,146.5,0.69,148,1.16
365	,1784.TW,訊聯,55.1,-2.65,2228,1.16
366	,6127.TW,九豪,24,0,1261,1.16
367	,6125.TW,廣運,31.5,0,5072,1.16
368	,4174.TW,浩鼎,88,-0.23,686,1.16
369	,1321.TW,大洋,37.95,1.07,308,1.15
370	,3308.TW,聯德,31,-1.74,843,1.15
371	,6666.TW,羅麗芬-KY,88.5,-1.01,255,1.15
372	,3530.TW,晶相光,86.6,-1.14,82,1.15
373	,3005.TW,神基,58.9,0.68,6710,1.15
374	,2723.TW,美食-KY,155.5,2.98,2138,1.15
375	,9934.TW,成霖,13.75,0,366,1.15
376	,5281.TW,大峽谷-KY,17.1,0,17,1.15
377	,6719.TW,力智,366,6.86,13311,1.15
