符合條件商品
資料日期：2021年 12月 24日
策略,	00主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2021-12-27 09:22 符合檔數(534)
169	,2884.TW,玉山金,27.95,0.18,7449,1.08
170	,2939.TW,凱羿-KY,37.9,-0.26,553,1.08
171	,3008.TW,大立光,2445,-0.61,852,1.07
172	,3380.TW,明泰,33.4,1.83,5046,1.07
173	,2374.TW,佳能,30.45,9.93,118813,1.07
174	,6209.TW,今國光,36.1,-0.14,936,1.07
175	,6150.TW,撼訊,187.5,0.27,3917,1.07
176	,3526.TW,凡甲,193,2.93,6441,1.06
177	,2406.TW,國碩,35.1,-1.4,6191,1.06
178	,5876.TW,上海商銀,47.4,0,1147,1.05
179	,2455.TW,全新,145.5,1.75,3163,1.05
180	,5483.TW,中美晶,228.5,-0.22,7101,1.05
181	,6568.TW,宏觀,382.5,1.73,1521,1.05
182	,3707.TW,漢磊,136,-1.45,4759,1.05
183	,2436.TW,偉詮電,95.4,-0.62,5498,1.05
184	,2881.TW,富邦金,75.2,0.53,12165,1.05
185	,3673.TW,TPK-KY,42.8,-0.35,998,1.04
186	,6499.TW,益安,97.2,1.25,4701,1.04
187	,3221.TW,台嘉碩,40.2,-1.11,1891,1.04
188	,6533.TW,晶心科,535,0.38,1600,1.04
189	,1714.TW,和桐,10.85,-0.46,1649,1.04
190	,2399.TW,映泰,26.55,-1.67,19421,1.04
191	,2426.TW,鼎元,29.7,2.41,22875,1.03
192	,2371.TW,大同,31.6,-0.16,14095,1.03
193	,2231.TW,為升,188.5,0,2744,1.03
194	,1304.TW,台聚,31.2,-0.16,4281,1.03
195	,6485.TW,點序,148,-0.67,1153,1.03
196	,3013.TW,晟銘電,15.95,3.91,5933,1.03
197	,6269.TW,台郡,104,-0.48,858,1.03
198	,1815.TW,富喬,17.75,1.43,15998,1.03
199	,3669.TW,圓展,61.2,3.38,14882,1.03
200	,2489.TW,瑞軒,17.35,-0.57,2237,1.02
201	,2476.TW,鉅祥,77.7,-0.26,32020,1.02
202	,2504.TW,國產,29,0,2974,1.02
203	,3017.TW,奇鋐,87.7,0.8,3644,1.02
204	,2408.TW,南亞科,75.7,-0.26,6948,1.02
205	,1721.TW,三晃,28.9,0.87,30938,1.02
206	,5227.TW,立凱-KY,83,7.1,5481,1.01
207	,2637.TW,慧洋-KY,82.8,-0.36,5630,1.01
208	,2367.TW,燿華,20.25,0.25,12628,1.01
209	,1447.TW,力鵬,10.25,0,1430,1.01
210	,2324.TW,仁寶,24.05,1.05,6456,1.01
211	,3390.TW,旭軟,27.35,2.43,3192,1
212	,8104.TW,錸寶,77.4,1.71,17698,1
213	,6274.TW,台燿,102.5,-0.49,795,1
214	,9904.TW,寶成,32.95,0.76,2550,0.99
215	,2451.TW,創見,73.8,-0.14,1625,0.99
216	,6170.TW,統振,46.75,-0.11,1451,0.99
217	,3049.TW,和鑫,16.25,5.18,73679,0.99
218	,6698.TW,旭暉應材,49.3,-3.33,1554,0.99
219	,3042.TW,晶技,106.5,-1.84,5501,0.99
220	,3297.TW,杭特,19.75,-1.25,144,0.98
221	,5347.TW,世界,156,0.32,3264,0.98
222	,8289.TW,泰藝,38.8,-0.51,1465,0.98
223	,3276.TW,宇環,21.15,9.02,5449,0.98
224	,1710.TW,東聯,22.1,-0.23,2555,0.98
225	,2208.TW,台船,21.45,0,900,0.97
226	,6770.TW,力積電,70.4,0.14,8174,0.97
227	,2497.TW,怡利電,86.1,6.3,23065,0.97
228	,1444.TW,力麗,11.2,0.45,2033,0.97
229	,6284.TW,佳邦,68.2,-0.58,1507,0.97
230	,1229.TW,聯華,59.8,0,1694,0.97
231	,6441.TW,廣錠,58.2,-0.34,342,0.96
232	,2031.TW,新光鋼,59,-1.67,2021,0.96
233	,2606.TW,裕民,62,-1.59,12164,0.96
234	,2347.TW,聯強,66.5,-1.77,6935,0.96
235	,2495.TW,普安,19.65,-1.75,7334,0.96
236	,3515.TW,華擎,277.5,3.74,6809,0.96
237	,3706.TW,神達,33.8,-0.59,3972,0.96
238	,4927.TW,泰鼎-KY,123,-4.65,15732,0.96
239	,2383.TW,台光電,276.5,-1.6,1754,0.96
240	,1434.TW,福懋,29.4,2.8,9529,0.95
241	,4721.TW,美琪瑪,157.5,-1.56,5468,0.95
242	,5386.TW,青雲,53.6,-8.22,2805,0.95
243	,6152.TW,百一,12.7,9.96,14348,0.94
244	,2421.TW,建準,42,-1.18,1496,0.94
245	,3583.TW,辛耘,81.7,-1.09,652,0.94
246	,3305.TW,昇貿,82.2,-3.29,27552,0.94
247	,6414.TW,樺漢,225,0,772,0.93
248	,1216.TW,統一,68.5,0.29,1501,0.93
249	,3231.TW,緯創,29.1,0.52,6088,0.93
250	,2633.TW,台灣高鐵,29.4,0.17,2095,0.93
251	,2801.TW,彰銀,16.75,0.3,4102,0.93
252	,6116.TW,彩晶,17.15,0,16478,0.92
253	,1326.TW,台化,80.4,0,1202,0.92
254	,3711.TW,日月光投控,105,1.45,10515,0.91
255	,1313.TW,聯成,21.45,0.47,2996,0.91
256	,2345.TW,智邦,259,-0.38,1079,0.91
257	,2615.TW,萬海,199,-0.5,25162,0.91
258	,3625.TW,西勝,26.15,-1.88,1745,0.91
259	,4739.TW,康普,147,-0.34,6776,0.9
