符合條件商品
資料日期：2022年  8月 11日
策略,	00買7654321
序號,	代碼,	商品,	成交,	漲幅%,	總量,	本比,	準確度
執行時間：2022-08-11 22:37 符合檔數(1442)
461	,3049.TW,和鑫,9.83,2.4,3691,10,自
462	,3088.TW,艾訊,59.7,1.53,1254,10,外
463	,3209.TW,全科,38.8,1.84,2108,10,外
464	,3234.TW,光環,27.15,-0.18,4190,10,外
465	,3537.TW,堡達,34.1,2.87,153,10,自
466	,4106.TW,雃博,25,-0.79,229,10,外
467	,4142.TW,國光生,37.35,1.22,1113,10,外
468	,6121.TW,新普,265,3.11,527,10,外
469	,6161.TW,捷波,27.4,0,471,10,外
470	,6176.TW,瑞儀,100.5,1.01,2302,10,自
471	,6180.TW,橘子,61.5,0,438,10,外
472	,6598.TW,ABC-KY,27.15,1.31,266,10,外
473	,6605.TW,帝寶,80.5,4.82,4312,10,外
474	,8390.TW,金益鼎,29.55,-3.27,1561,10,外
475	,8924.TW,大田,117,-0.85,781,10,外
476	,1568.TW,倉佑,28.05,-1.75,3470,9,融
477	,1717.TW,長興,32.3,0.31,1679,9,外
478	,1785.TW,光洋科,37.1,-0.13,1809,9,外
479	,1906.TW,寶隆,18.45,1.65,1822,9,融
480	,2002.TW,中鋼,28.45,1.61,28286,9,外
481	,2064.TW,晉椿,16.7,0.6,128,9,外
482	,2103.TW,台橡,27.6,-0.18,1065,9,外
483	,2208.TW,台船,18.45,0.54,516,9,外
484	,2308.TW,台達電,272.5,0.18,8694,9,外
485	,2354.TW,鴻準,50.6,1.61,4628,9,外
486	,2355.TW,敬鵬,29,-1.53,1725,9,外
487	,2504.TW,國產,24.65,-0.2,2665,9,外
488	,2915.TW,潤泰全,63.7,4.43,7334,9,自
489	,3093.TW,港建,106,-1.4,327,9,自
490	,3227.TW,原相,89.4,0.68,453,9,外
491	,3264.TW,欣銓,43.5,1.16,5155,9,外
