符合條件商品
資料日期：2022年  8月 11日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例
執行時間：2022-08-11 22:33 符合檔數(1487)
169	,4720.TW,德淵,14,1.82,187,22.46,3.25,0.42,0
170	,2465.TW,麗臺,34.5,1.62,636,22.41,1.45,0.64,0
171	,4746.TW,台耀,53.2,4.52,6603,22.37,2.31,1.24,0.01
172	,3294.TW,英濟,20.55,0,734,22.35,8.08,0.16,0
173	,3624.TW,光頡,51.1,-2.29,3038,22.31,42.46,0.85,1.82
174	,6411.TW,晶焱,106.5,0,1557,22.29,11.62,0.16,0.06
175	,4534.TW,慶騰,9.8,0,85,22.16,0.3,0.03,0
176	,8155.TW,博智,114,0.44,3173,22.16,9.43,1.44,6.25
177	,3707.TW,漢磊,99.6,1.12,14030,22.13,9.34,0.47,2.83
178	,4432.TW,銘旺實,26.25,-0.94,3260,22.13,1.16,0.55,0
179	,2371.TW,大同,33.45,1.06,5413,22.05,17.64,1.65,0.04
180	,8085.TW,福華,19.15,-1.03,222,21.93,0.86,0.01,0
181	,3092.TW,鴻碩,41.5,1.84,1142,21.9,2.71,0.03,0
182	,6190.TW,萬泰科,38.65,1.18,10225,21.74,3.49,0.06,0.06
183	,2641.TW,正德,21.1,-5.17,8644,21.63,1.22,0.14,0
184	,3490.TW,單井,23.4,0,129,21.3,2.64,0.61,0
185	,3550.TW,聯穎,14.85,0.34,163,21.22,1.52,0.23,0
186	,6642.TW,富致,52,0.19,10,21.22,2.88,0,0
187	,8028.TW,昇陽半導體,68.6,4.26,13963,21.17,18.05,0.35,7.65
188	,1795.TW,美時,143,-3.38,9011,21.12,65.86,0.57,8.02
189	,5425.TW,台半,80.2,-0.37,16561,21.1,10.11,0.61,10.86
190	,3128.TW,昇銳,19.6,0.51,325,21.09,2.06,0.19,0
191	,3055.TW,蔚華科,26,-0.57,43,21,1.44,0.06,0
192	,8928.TW,鉅明,39.25,-1.01,505,20.97,3.76,0,0.8
193	,6532.TW,瑞耘,45.15,0.33,56,20.95,1.65,0.36,0
194	,8050.TW,廣積,69.9,2.79,10793,20.95,5.15,0.36,6.68
195	,5353.TW,台林,29.6,0.34,11196,20.85,0.76,0,0
196	,4714.TW,永捷,12.6,-0.79,231,20.63,0.73,0.43,0
197	,6441.TW,廣錠,40.35,0,29,20.55,1.06,0.53,0
198	,2340.TW,台亞,39.7,2.06,2664,20.5,11.38,0.68,0
199	,2390.TW,云辰,14.5,-0.34,663,20.5,2.56,0.15,0
200	,3025.TW,星通,20.05,-1.96,410,20.47,1.7,0.39,0
201	,6417.TW,韋僑,73.8,0,1,20.37,11.6,0,0
202	,4139.TW,馬光-KY,49.45,0.82,394,20.32,24.67,0,0
203	,9958.TW,世紀鋼,99.1,-1.88,1766,20.29,10.42,0.05,2.23
204	,3406.TW,玉晶光,427,3.14,7333,20.23,24.33,6.9,3.88
205	,6170.TW,統振,28.4,0.71,178,20.17,1.49,0.81,0
206	,8440.TW,綠電,49,-1.01,650,20.15,4.46,2.54,0
207	,2636.TW,台驊投控,88.4,0.8,1202,20.04,15.39,1.14,0.01
208	,4976.TW,佳凌,48.55,1.46,14654,20.04,1.31,0.22,0.01
209	,5272.TW,笙科,32.3,0.31,532,19.8,4.61,0.56,0
210	,3588.TW,通嘉,66.3,4.91,872,19.75,5.84,0.04,0
211	,5432.TW,新門,33.05,1.54,27,19.74,0.05,0,0
212	,1529.TW,樂士,16.75,-0.59,544,19.56,1.05,8.87,0
213	,3234.TW,光環,27.15,-0.18,4190,19.56,3.34,3.51,0
214	,6643.TW,M31,289,6.45,1533,19.55,8.48,0.25,1.86
215	,6533.TW,晶心科,267,6.59,3138,19.49,24.35,1.01,0.42
216	,3363.TW,上詮,25.4,-4.15,1309,19.44,4.06,0,0
217	,3675.TW,德微,196,-0.25,1435,19.42,55.26,0.45,6.36
218	,6127.TW,九豪,17.6,0.57,123,19.3,2.14,0.05,0
219	,2375.TW,凱美,53,1.53,656,19.21,6.61,0.15,0
220	,3444.TW,利機,55.6,0,161,19.17,11.12,0.94,0
221	,5299.TW,杰力,120.5,2.55,351,19.15,1.66,0.18,0
222	,6220.TW,岳豐,28.45,-2.57,2499,19.14,1.48,0.39,0
223	,8044.TW,網家,58.3,-0.51,562,18.92,16.55,0.74,0.34
224	,2481.TW,強茂,66.3,-0.75,8243,18.91,11.03,0.47,1.12
225	,5608.TW,四維航,31.3,0.16,2671,18.91,4.66,0.98,0.01
226	,6405.TW,悅城,22.25,-0.22,21,18.91,0.28,0.05,0
227	,3714.TW,富采,49.1,3.15,4578,18.85,13.54,0.21,0
228	,3305.TW,昇貿,54.4,1.12,731,18.83,3.53,0.46,0
229	,1591.TW,駿吉-KY,19.6,3.16,547,18.82,19.81,0.39,0
230	,6265.TW,方土昶,12.85,-2.65,7267,18.75,2.22,0.41,0
231	,1721.TW,三晃,16.1,2.55,1671,18.69,1.85,1.73,0
232	,3499.TW,環天科,18.65,-2.36,843,18.67,1.78,0.18,0
233	,1560.TW,中砂,157,3.97,11812,18.65,17.21,1.21,6.42
234	,3059.TW,華晶科,36.8,-0.27,2694,18.61,13.65,0.79,0.01
235	,4968.TW,立積,135.5,2.26,1160,18.57,33.74,1.9,1.43
236	,6243.TW,迅杰,31,0.49,135,18.54,1.55,0.74,0
237	,8936.TW,國統,19.05,0,216,18.52,6.47,0.02,0
238	,6138.TW,茂達,132,10,2194,18.44,16.93,1.18,0.68
239	,3518.TW,柏騰,21.7,-1.81,781,18.36,7.75,0.37,0
240	,3038.TW,全台,21.85,0.46,2374,18.35,6.2,0.33,0
241	,8450.TW,霹靂,36.3,2.54,3038,18.25,0.26,0.83,0
242	,6435.TW,大中,116.5,5.91,1136,18.23,2.25,1.25,0
