符合條件商品
資料日期：2021年 12月 17日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-19 14:32 符合檔數(1448)
98	,1514.TW,亞力,24.9,-0.6,449,0.58,0.7,0.37,0,0.24,0.52
99	,1515.TW,力山,56.4,1.08,1555,0.42,0.76,0.64,0,0.57,0.58
100	,1516.TW,川飛,24.5,-0.41,573,0.57,0.54,0.23,0,0.08,0.16
101	,1517.TW,利奇,27.2,-2.68,2159,0.68,0.6,0.58,0,0.65,0.52
102	,1519.TW,華城,36.55,-0.54,725,0.62,0.74,0.73,0.06,0.52,0.68
103	,1521.TW,大億,40.35,-0.49,49,0.32,0.57,0.17,0,0,0.29
104	,1522.TW,堤維西,19,0.26,730,0.6,0.52,0.39,0.08,0.23,0.54
105	,1524.TW,耿鼎,10.9,-1.8,430,0.62,0.61,0.13,0,0.27,0.25
106	,1525.TW,江申,59.3,-0.34,10,0.57,0.7,0.43,0,0.06,0.51
107	,1526.TW,日馳,48.15,-1.13,190,0.68,0.58,0.42,0,0.46,0.5
108	,1527.TW,鑽全,42.85,0,160,0.68,0.64,0.45,0.06,0.31,0.54
109	,1528.TW,恩德,11.8,-1.67,811,0.54,0.6,0.29,0.17,0.23,0.35
110	,1529.TW,樂士,19.85,-8.31,4777,0.56,0.56,0.22,0,0.56,0.45
111	,1530.TW,亞崴,33.25,0.76,6,0.45,0.5,0.29,0,0,0.25
112	,1531.TW,高林股,15.6,0.97,165,0.57,0.45,0.27,0,0,0.24
113	,1532.TW,勤美,31.85,-0.78,296,0.58,0.58,0.37,0.2,0.27,0.46
114	,1533.TW,車王電,56.8,0,215,0.71,0.58,0.36,0,0.6,0.54
115	,1535.TW,中宇,39.05,-0.13,32,0.54,0.54,0.24,0,0,0.36
116	,1536.TW,和大,90.3,0.22,521,0.34,0.69,0.68,0.19,0.48,0.58
117	,1537.TW,廣隆,139,0.72,142,0.37,0.5,0.34,0.07,0.14,0.38
118	,1539.TW,巨庭,21.7,-3.98,702,0.56,0.55,0.28,0,0.3,0.24
119	,1540.TW,喬福,15.3,-0.97,105,0.46,0.5,0.18,0,0,0.28
120	,1541.TW,錩泰,43.5,-1.02,9,0.48,0.65,0.14,0,0.09,0.22
121	,1558.TW,伸興,144,0,30,0.48,0.66,0.45,0.09,0,0.53
122	,1560.TW,中砂,89,-2.52,3464,0.68,0.58,0.68,0.33,0.5,0.42
123	,1565.TW,精華,314.5,-0.16,130,0.49,0.64,0.82,0.63,0.58,0.52
124	,1568.TW,倉佑,21.1,1.2,119,0.59,0.51,0.45,0,0.39,0.56
125	,1569.TW,濱川,25.1,0.2,115,0.64,0.64,0.43,0,0.41,0.55
126	,1570.TW,力肯,23.8,-2.26,1429,0.64,0.51,0.29,0,0.3,0.31
127	,1580.TW,新麥,106,0,49,0.41,0.5,0.24,0,0.17,0.19
128	,1582.TW,信錦,69.3,0.43,237,0.62,0.72,0.5,0.14,0.39,0.6
129	,1583.TW,程泰,62.7,-0.16,5,0.26,0.59,0.31,0,0,0.19
130	,1584.TW,精剛,17.15,0,696,0.58,0.6,0.29,0,0.57,0.33
131	,1586.TW,和勤,41,0,125,0.44,0.56,0.39,0,0.44,0.57
132	,1587.TW,吉茂,25.15,-0.59,76,0.76,0.7,0.2,0,0.45,0.45
133	,1589.TW,永冠-KY,61.4,0,1862,0.48,0.52,0.54,0,0.33,0.5
134	,1590.TW,亞德客-KY,930,2.2,775,0.33,0.61,0.54,0.61,0.52,0.46
135	,1591.TW,駿吉-KY,14.65,0.69,2,0.55,0.5,0,0,0.25,0
136	,1593.TW,祺驊,81.1,0.12,22,0.64,0.47,0.33,0,0.28,0.51
137	,1595.TW,川寶,44.2,0.8,99,0.46,0.51,0.19,0,0.2,0.38
138	,1597.TW,直得,84.1,-0.12,79,0.57,0.52,0.71,0.39,0.62,0.6
139	,1598.TW,岱宇,53.5,0.56,415,0.54,0.7,0.65,0.32,0.5,0.64
140	,1599.TW,宏佳騰,43.3,-0.35,80,0.61,0.6,0.13,0,0.29,0.34
141	,1603.TW,華電,26.45,0.38,139,0.6,0.61,0.33,0,0.38,0.51
142	,1604.TW,聲寶,29.55,0.34,313,0.44,0.74,0.51,0.19,0.36,0.48
143	,1605.TW,華新,25.9,0.39,8384,0.58,0.66,0.7,0.4,0.66,0.5
144	,1608.TW,華榮,21.8,0.69,1531,0.58,0.44,0.57,0.25,0.62,0.54
145	,1609.TW,大亞,24.65,1.44,7007,0.64,0.54,0.72,0.18,0.59,0.58
146	,1611.TW,中電,20.4,-7.27,19249,0.54,0.58,0.39,0,0.47,0.49
147	,1612.TW,宏泰,26.6,-0.56,1974,0.52,0.72,0.7,0.38,0.51,0.5
148	,1614.TW,三洋電,36.1,-0.55,24,0.67,0.59,0.46,0,0,0.47
149	,1615.TW,大山,31.85,-1.55,34,0.54,0.62,0.29,0,0.05,0.41
150	,1617.TW,榮星,17.9,0,80,0.56,0.58,0.28,0,0.14,0.36
151	,1618.TW,合機,14.35,-0.35,1039,0.6,0.68,0.44,0,0.34,0.43
152	,1626.TW,艾美特-KY,19.15,0.26,14,0.45,0.57,0.34,0,0.34,0.34
153	,1701.TW,中化,22.6,0,236,0.56,0.66,0.57,0,0.26,0.52
154	,1702.TW,南僑,49.35,-0.1,209,0.61,0.64,0.53,0.38,0.25,0.5
155	,1707.TW,葡萄王,161.5,0.31,158,0.44,0.74,0.53,0.16,0.09,0.5
156	,1708.TW,東鹼,33.6,0.6,2637,0.38,0.7,0.47,0.11,0.62,0.46
157	,1709.TW,和益,21.75,-0.91,1775,0.57,0.62,0.48,0,0.51,0.51
158	,1710.TW,東聯,22.05,1.15,5561,0.74,0.64,0.68,0.15,0.76,0.46
159	,1711.TW,永光,25.85,-0.19,4669,0.58,0.58,0.8,0,0.67,0.5
160	,1712.TW,興農,27.35,0.37,410,0.63,0.66,0.38,0,0.42,0.33
161	,1713.TW,國化,24.2,-0.62,26,0.68,0.62,0.36,0,0.18,0.26
162	,1714.TW,和桐,10.8,-0.46,2772,0.52,0.74,0.53,0,0.46,0.52
163	,1717.TW,長興,36.55,0.83,1839,0.68,0.7,0.64,0.48,0.47,0.5
164	,1718.TW,中纖,10,0.6,5118,0.62,0.58,0.72,0,0.56,0.52
165	,1720.TW,生達,42.25,0.72,741,0.54,0.65,0.44,0,0.1,0.42
166	,1721.TW,三晃,24.7,-3.7,14017,0.54,0.54,0.43,0,0.48,0.24
167	,1722.TW,台肥,70.5,1.73,7751,0.6,0.54,0.68,0.49,0.37,0.34
168	,1723.TW,中碳,115,0,367,0.62,0.66,0.64,0.26,0.28,0.48
169	,1725.TW,元禎,32.3,-3.87,230,0.49,0.56,0.37,0,0.53,0.28
170	,1726.TW,永記,74,1.37,51,0.27,0.38,0.43,0,0,0.25
171	,1727.TW,中華化,46.2,-2.63,3849,0.48,0.58,0.29,0.25,0.71,0.33
172	,1730.TW,花仙子,63.3,0.32,25,0.48,0.61,0.3,0,0,0.43
173	,1731.TW,美吾華,19.35,-0.77,145,0.59,0.62,0.37,0,0.17,0.43
174	,1732.TW,毛寶,35.2,10,13689,0.7,0.5,0.22,0,0.56,0.47
175	,1733.TW,五鼎,24.45,0,191,0.58,0.66,0.35,0,0,0.33
176	,1734.TW,杏輝,28.75,0.52,894,0.52,0.58,0.33,0,0.6,0.64
177	,1735.TW,日勝化,18.45,0.82,25,0.37,0.5,0.19,0,0,0.26
178	,1736.TW,喬山,56.9,3.27,284,0.56,0.62,0.73,0.24,0.68,0.58
179	,1737.TW,臺鹽,33.25,0.61,201,0.52,0.68,0.42,0,0,0.51
180	,1742.TW,台蠟,20,0.25,100,0.5,0.47,0,0,0.54,0.11
181	,1752.TW,南光,37.15,-2.24,193,0.62,0.53,0,0,0.16,0.56
