符合條件商品
資料日期：2021年 12月 10日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-12 22:25 符合檔數(1450)
125	,1569.TW,濱川,25.3,-0.2,157,39.85,2.22,10.84,15.16
126	,1570.TW,力肯,24.8,-2.36,2012,23.04,6.25,27.37,9.08
127	,1580.TW,新麥,107,0.47,154,33.6,10.12,7.68,12.77
128	,1582.TW,信錦,69.7,1.16,353,30.61,12.74,4.74,16.34
129	,1583.TW,程泰,62.8,1.13,2,90.12,0.25,0.12,42.61
130	,1584.TW,精剛,17.55,-0.85,381,65.39,1.45,7.06,50.45
131	,1586.TW,和勤,40.9,-0.24,80,46.18,1.93,65.83,14.75
132	,1587.TW,吉茂,25.6,0.79,57,39.59,21.57,6.3,31.52
133	,1589.TW,永冠-KY,61.3,0.66,228,36.74,5.99,23.24,20.9
134	,1590.TW,亞德客-KY,894,-0.33,167,59.34,82.48,0.86,4.09
135	,1591.TW,駿吉-KY,14.55,-1.02,26,49.12,15.91,38.25,20.3
136	,1593.TW,祺驊,82.5,0,44,19.08,1.17,17.44,11.98
137	,1595.TW,川寶,45.9,-0.65,110,47.41,2.99,5.06,16.31
138	,1597.TW,直得,84.8,-0.93,101,37.46,4.56,6.29,14.73
139	,1598.TW,岱宇,57.2,-0.69,334,50.49,6.09,18.7,10.68
140	,1599.TW,宏佳騰,44.75,0.79,230,57.52,12.43,6.54,8.65
141	,1603.TW,華電,27.15,1.5,140,82.19,1.49,3.59,21.2
142	,1604.TW,聲寶,29.9,1.01,1040,52.53,10.65,0.89,5.94
143	,1605.TW,華新,26.7,-0.19,3947,74.11,25.59,4.25,13.49
144	,1608.TW,華榮,21.6,-1.37,956,61.38,2.27,8.79,38.26
145	,1609.TW,大亞,24.65,0.41,2626,28.52,7.59,12.47,7.25
146	,1611.TW,中電,18.75,-1.32,15045,52.41,10.64,14.38,9.25
147	,1612.TW,宏泰,25.95,-0.38,661,55.65,13.51,9.01,28.61
148	,1614.TW,三洋電,36.05,-0.14,51,72.63,2.09,0.49,38.33
149	,1615.TW,大山,31.95,-0.31,24,79.93,0.6,1.81,38.92
150	,1617.TW,榮星,18,0.28,71,76.7,21.4,1.59,50.48
151	,1618.TW,合機,14.5,-1.69,450,57.33,1.72,13.3,35.53
152	,1626.TW,艾美特-KY,19.1,-0.78,44,59.48,44.46,9.86,29.31
153	,1701.TW,中化,22.9,-0.22,149,52.85,10.81,4.25,20.02
154	,1702.TW,南僑,49.05,-0.1,258,63.44,15.84,1.17,35.76
155	,1707.TW,葡萄王,163,0,61,61.43,10.35,1.56,19.93
156	,1708.TW,東鹼,36.6,5.17,14880,43.02,14.43,12.9,13.74
157	,1709.TW,和益,22.15,1.37,1652,62.04,11.08,4.63,19.25
158	,1710.TW,東聯,22.25,-0.89,2931,58.57,8.5,7.72,10.59
159	,1711.TW,永光,26.7,-0.74,5695,42.78,7.51,13.55,26.71
160	,1712.TW,興農,27.55,-0.54,620,41.69,12.52,1.21,14.3
161	,1713.TW,國化,24.45,-0.81,20,66.74,4.14,9.81,14.13
162	,1714.TW,和桐,11.1,-1.33,3399,53.51,19.48,7.8,10.47
163	,1717.TW,長興,36.8,0.55,1053,66.81,12.3,3.27,17.58
164	,1718.TW,中纖,10,-0.99,4738,44.42,7.88,10.69,5.73
165	,1720.TW,生達,40.75,0.37,316,59.93,3.04,2.58,26.44
166	,1721.TW,三晃,28.6,-2.05,12483,34.57,2.65,24.53,14.28
167	,1722.TW,台肥,68.2,-0.44,957,61.83,13.24,1.44,24.07
168	,1723.TW,中碳,115.5,-0.43,273,53.5,8.33,2.71,34.02
169	,1725.TW,元禎,34.45,0.44,231,93.12,0.65,1.37,11.6
170	,1726.TW,永記,73.2,0,8,85.16,13.75,0,22.77
171	,1727.TW,中華化,49.05,-2.1,4552,52.14,2.01,20.47,30.23
172	,1730.TW,花仙子,63.5,0,34,53.02,7.48,0.35,22.96
