符合條件商品
資料日期：2023年  4月 17日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-17 23:39 符合檔數(553)
161	,5525.TW,順天,26.8,-0.74,142,1.58
162	,3038.TW,全台,28.3,2.54,4207,1.58
163	,5007.TW,三星,52.6,0.19,47,1.58
164	,3056.TW,總太,49.5,2.06,5464,1.58
165	,4974.TW,亞泰,71.3,0.85,381,1.58
166	,6237.TW,驊訊,50.2,2.03,430,1.58
167	,5701.TW,劍湖山,3.6,-2.7,744,1.57
168	,1603.TW,華電,27.75,0,531,1.57
169	,1720.TW,生達,64,7.2,10314,1.57
170	,4106.TW,雃博,31.05,1.97,835,1.56
171	,8011.TW,台通,15.45,2.66,666,1.56
172	,2364.TW,倫飛,113.5,2.25,725,1.56
173	,3017.TW,奇鋐,156,1.96,9338,1.56
174	,8093.TW,保銳,13.3,1.14,158,1.55
175	,1473.TW,台南,22.7,-0.44,238,1.55
176	,3071.TW,協禧,30.7,9.84,5575,1.55
177	,2457.TW,飛宏,75.9,10,70534,1.55
178	,1215.TW,卜蜂,95,6.98,5304,1.55
179	,4989.TW,榮科,27.3,0.18,159,1.55
180	,6168.TW,宏齊,26.15,1.16,1404,1.54
181	,1712.TW,興農,36.85,0.68,1259,1.54
182	,3492.TW,長盛,20.3,1.25,194,1.54
183	,5351.TW,鈺創,46.55,-0.43,4039,1.54
184	,8271.TW,宇瞻,55,1.85,1847,1.54
185	,8401.TW,白紗科,22,0.23,217,1.53
186	,5465.TW,富驊,39.35,9.92,5830,1.53
187	,8054.TW,安國,34.75,0.43,305,1.52
188	,3290.TW,東浦,29.35,0.51,3049,1.52
189	,6282.TW,康舒,40.45,5.89,30847,1.52
190	,4755.TW,三福化,143.5,9.54,4467,1.52
191	,6712.TW,長聖,220.5,1.61,1167,1.52
192	,1103.TW,嘉泥,19.85,2.58,1801,1.52
193	,2027.TW,大成鋼,45.7,0.77,7756,1.51
194	,8059.TW,凱碩,12.8,2.81,563,1.51
195	,8933.TW,愛地雅,12.7,-1.55,2330,1.51
196	,6152.TW,百一,12.5,1.21,1969,1.51
197	,4979.TW,華星光,53.9,2.28,9675,1.51
198	,6133.TW,金橋,23.45,2.63,2059,1.51
199	,2104.TW,國際中橡,20.15,0,2298,1.51
200	,8424.TW,惠普,70.1,0.14,6,1.5
201	,3051.TW,力特,19.7,2.6,1287,1.5
202	,3219.TW,倚強科,55.1,1.1,7,1.5
203	,4305.TW,世坤,32.15,0.78,10,1.5
204	,4764.TW,雙鍵,53,0,8,1.5
205	,4976.TW,佳凌,50.8,3.99,2893,1.5
206	,6671.TW,三能-KY,40.35,-0.12,18,1.5
207	,2643.TW,捷迅,74.2,0,54,1.5
208	,6026.TW,福邦證,12.5,4.6,12508,1.5
209	,6625.TW,必應,58.1,9.83,1953,1.5
210	,2467.TW,志聖,48.65,0.62,140,1.49
211	,4417.TW,金洲,40.8,0.25,119,1.49
212	,2204.TW,中華,69.2,3.59,6112,1.49
213	,5355.TW,佳總,8.58,10,3646,1.49
214	,6266.TW,泰詠,47.2,1.4,6522,1.49
215	,5457.TW,宣德,59,1.37,787,1.49
216	,1256.TW,鮮活果汁-KY,314.5,0.32,22,1.49
217	,2929.TW,淘帝-KY,14.2,1.79,668,1.48
218	,4111.TW,濟生,30.7,1.49,602,1.48
219	,1727.TW,中華化,27.3,5.41,1356,1.48
220	,6233.TW,旺玖,28.4,1.25,1114,1.48
221	,3015.TW,全漢,51.8,-1.33,1814,1.47
222	,8215.TW,明基材,40.1,3.89,9244,1.47
223	,8341.TW,日友,168.5,0.6,372,1.47
224	,6754.TW,匯僑設計,55,0.18,97,1.47
225	,4157.TW,太景*-KY,15.5,1.31,1180,1.47
226	,8040.TW,九暘,50.9,0.2,272,1.47
227	,9918.TW,欣天然,41.6,0.48,17,1.47
228	,3189.TW,景碩,113.5,0,3138,1.47
229	,2034.TW,允強,29.8,0,480,1.47
230	,6143.TW,振曜,103,3.52,2762,1.46
231	,8255.TW,朋程,190,1.6,1378,1.46
232	,3489.TW,森寶,11.25,0,38,1.46
233	,5864.TW,致和證,16.05,4.56,888,1.45
234	,6435.TW,大中,111,1.37,247,1.45
235	,4906.TW,正文,32.35,2.21,8002,1.45
236	,2345.TW,智邦,313,-0.79,1968,1.45
237	,3044.TW,健鼎,116,0,1169,1.45
238	,2059.TW,川湖,413,-0.6,749,1.45
239	,2328.TW,廣宇,39.3,0.38,1995,1.45
240	,6241.TW,易通展,14.25,1.06,66,1.45
241	,1731.TW,美吾華,20.5,0.99,464,1.45
242	,6234.TW,高僑,32.1,9.93,14029,1.45
243	,6668.TW,中揚光,42.95,1.9,206,1.44
244	,2230.TW,泰茂,83.9,2.82,966,1.44
245	,4121.TW,優盛,24.9,1.84,1139,1.44
246	,6615.TW,慧智,38.4,1.59,23,1.44
247	,2472.TW,立隆電,67.5,1.5,992,1.44
248	,3008.TW,大立光,2125,3.16,1029,1.44
