符合條件商品
資料日期：2023年  4月 17日
策略,	11主力賣比
76	,2109.TW,華豐,14.3,0,218,1.5
77	,2114.TW,鑫永銓,100,-0.5,34,1.63
78	,2115.TW,六暉-KY,31.65,-0.78,35,1.58
79	,2211.TW,長榮鋼,59.7,-0.83,1925,1.58
80	,2221.TW,大甲,44.2,-0.23,131,1.37
81	,2239.TW,英利-KY,79.1,5.19,780,1.42
82	,2312.TW,金寶,13.7,3.01,35009,1.56
83	,2316.TW,楠梓電,29.3,-0.17,251,2
84	,2317.TW,鴻海,104,-0.48,15419,3.69
85	,2324.TW,仁寶,25.15,-0.4,25881,2.26
86	,2329.TW,華泰,22,4.02,22300,1.39
87	,2337.TW,旺宏,34.7,0.14,4819,1.44
88	,2348.TW,海悅,68.2,-0.87,65,1.42
89	,2349.TW,錸德,9.36,-0.74,2660,1.58
90	,2351.TW,順德,133,2.31,1277,1.39
91	,2353.TW,宏碁,29.4,1.55,13917,1.39
92	,2355.TW,敬鵬,32.55,-0.91,1125,1.59
93	,2358.TW,廷鑫,9.72,-2.31,1478,1.76
94	,2360.TW,致茂,177,-0.56,397,1.65
95	,2363.TW,矽統,18.5,-0.54,1694,1.98
96	,2376.TW,技嘉,135,0.37,3508,1.75
97	,2380.TW,虹光,10.35,-0.48,547,2.41
98	,2383.TW,台光電,183.5,-0.81,1423,2.01
99	,2385.TW,群光,95.4,-1.45,2565,1.42
100	,2387.TW,精元,44.95,-1.86,2388,1.42
101	,2390.TW,云辰,13.1,-1.13,1224,1.48
102	,2393.TW,億光,40.4,-0.74,740,1.6
103	,2402.TW,毅嘉,27.8,-2.28,15095,1.68
104	,2404.TW,漢唐,212.5,-1.85,1338,1.63
105	,2406.TW,國碩,19.8,-0.25,1147,1.63
106	,2417.TW,圓剛,23.75,-0.63,224,2.66
107	,2423.TW,固緯,33.9,-0.15,477,1.45
108	,2424.TW,隴華,22.7,-0.66,20,2
109	,2425.TW,承啟,33.05,-1.05,1442,1.64
110	,2433.TW,互盛電,53.3,0.57,40,2.5
111	,2442.TW,新美齊,16.1,-1.83,2969,2.17
112	,2451.TW,創見,72.4,-0.82,295,1.73
113	,2454.TW,聯發科,709,-5.21,14840,1.66
114	,2480.TW,敦陽科,100.5,0.5,786,1.7
115	,2488.TW,漢平,31.1,0.97,188,1.55
116	,2491.TW,吉祥全,11.9,0,79,1.71
117	,2492.TW,華新科,107,-3.17,5059,1.47
118	,2493.TW,揚博,54.1,-0.37,163,1.82
119	,2496.TW,卓越,51.4,0.59,95,1.53
120	,2504.TW,國產,27.9,0,766,1.81
121	,2509.TW,全坤建,15.2,-0.65,67,3.06
122	,2520.TW,冠德,30.45,-0.81,556,2.01
123	,2527.TW,宏璟,22.8,-0.65,198,2.34
124	,2536.TW,宏普,24.45,-0.2,74,3.05
125	,2537.TW,聯上發,7.09,0.28,512,1.46
126	,2538.TW,基泰,13.1,0.38,470,1.43
127	,2539.TW,櫻花建,37.5,0,275,2.12
128	,2542.TW,興富發,42.05,-0.12,2439,1.59
129	,2543.TW,皇昌,9.66,-0.41,123,1.53
130	,2596.TW,綠意,22.45,0.45,325,2.71
131	,2597.TW,潤弘,122.5,0,75,1.77
132	,2610.TW,華航,19.5,-1.52,40552,2.57
133	,2611.TW,志信,14,0.72,1319,1.59
134	,2701.TW,萬企,12.9,0.39,655,2.69
135	,2753.TW,八方雲集,184,-0.54,949,1.51
136	,2755.TW,揚秦,151,-0.98,86,1.36
137	,2756.TW,聯發國際,152,-4.1,69,1.54
138	,2820.TW,華票,15.05,-0.99,556,2.9
139	,2834.TW,臺企銀,13.95,0,15284,1.65
140	,2836.TW,高雄銀,12.35,-0.4,365,3.57
141	,2845.TW,遠東銀,11.15,-0.89,6431,1.87
142	,2867.TW,三商壽,5.27,-2.41,35275,1.42
143	,2889.TW,國票金,12.5,0,2397,1.92
144	,2903.TW,遠百,22.55,-0.22,597,1.73
145	,2904.TW,匯僑,20.8,-0.48,61,3.71
146	,2905.TW,三商,15.4,0,441,1.48
147	,2908.TW,特力,20.9,0.24,247,7.82
148	,2911.TW,麗嬰房,7.23,-0.28,208,1.42
149	,2915.TW,潤泰全,58,0,1793,1.46
150	,2924.TW,宏太-KY,34.95,-0.71,17,4.67
151	,2947.TW,振宇五金,92.5,0.43,7,1.5
152	,3002.TW,歐格,12.8,0,444,2.24
153	,3022.TW,威強電,83.4,-0.83,1232,1.52
154	,3027.TW,盛達,48,-0.21,7875,1.63
155	,3033.TW,威健,30.8,-0.32,1498,1.76
156	,3057.TW,喬鼎,11.7,2.18,576,2.03
157	,3060.TW,銘異,18.1,3.72,1060,1.53
158	,3066.TW,李洲,24.55,-1.6,99,1.82
159	,3067.TW,全域,34.95,1.16,6,1.5
160	,3085.TW,新零售,21.25,-2.52,20,1.44
161	,3122.TW,笙泉,27.4,0,190,1.54
162	,3149.TW,正達,18.3,-0.81,458,1.56
163	,3152.TW,璟德,235.5,0.43,154,1.67
164	,3169.TW,亞信,136.5,-5.86,4216,1.53
165	,3191.TW,和進,7.97,-0.13,42,1.86
166	,3205.TW,佰研,41.95,0.6,124,1.5
167	,3207.TW,耀勝,73.9,-6.46,7176,1.72
168	,3209.TW,全科,42.95,-0.46,1788,1.43
169	,3226.TW,至寶電,57.4,4.36,14,1.5
170	,3229.TW,晟鈦,19.95,-0.25,15,2.4
171	,3266.TW,昇陽,12.9,0,46,1.89
172	,3284.TW,太普高,15,0,88,1.38
173	,3293.TW,鈊象,545,-1.09,863,1.69
174	,3296.TW,勝德,17.7,2.02,679,2.39
175	,3303.TW,岱稜,27.75,0.18,138,1.5
176	,3311.TW,閎暉,35.3,0.28,27,1.82
177	,3313.TW,斐成,10.4,0,116,2.24
178	,3321.TW,同泰,6.28,-0.32,100,2.66
179	,3323.TW,加百裕,35.5,0,488,1.39
180	,3338.TW,泰碩,48.3,1.68,4108,1.47
181	,3357.TW,臺慶科,108,-0.46,95,1.43
182	,3360.TW,尚立,13.85,0.73,90,2.04
183	,3376.TW,新日興,89.1,-0.67,338,1.53
184	,3379.TW,彬台,12.6,-0.4,181,6.72
185	,3416.TW,融程電,105,-1.41,216,1.48
186	,3426.TW,台興,39.8,0,7,1.67
187	,3432.TW,台端,14.35,1.06,889,1.65
188	,3443.TW,創意,1070,-1.38,2358,1.54
189	,3447.TW,展達,61.8,-3.89,1644,1.83
190	,3465.TW,進泰電子,89.9,-0.55,18,1.63
191	,3481.TW,群創,14.9,-1.65,67339,2.08
192	,3484.TW,崧騰,47.35,0.42,925,1.4
193	,3491.TW,昇達科,181,2.26,7398,1.39
194	,3494.TW,誠研,7.06,-3.95,955,1.72
195	,3498.TW,陽程,35.3,-0.14,124,1.75
196	,3516.TW,亞帝歐,19.45,1.04,89,2.54
197	,3523.TW,迎輝,18.5,2.21,15,1.86
198	,3531.TW,先益,28.35,0,15,1.99
199	,3541.TW,西柏,61.5,0.49,137,1.46
200	,3551.TW,世禾,61.5,0.16,100,2.84
201	,3555.TW,重鵬,26.5,-3.64,4,1.5
202	,3577.TW,泓格,89.1,-0.56,236,1.53
203	,3593.TW,力銘,12.75,-0.39,32,1.73
204	,3597.TW,映興,25.45,0.39,25,2.29
205	,3631.TW,晟楠,34.3,-4.32,155,2.35
206	,3661.TW,世芯-KY,1340,-1.47,2670,1.71
207	,3673.TW,TPK-KY,37.75,-0.4,6361,1.53
208	,3680.TW,家登,349,-4.51,3673,1.5
209	,3689.TW,湧德,38.9,-0.26,263,1.48
210	,3711.TW,日月光投控,106,0.47,6550,2.18
211	,4108.TW,懷特,19.4,-0.26,193,1.54
212	,4109.TW,加捷生醫,15.1,0,189,1.59
213	,4128.TW,中天,66.5,-0.3,2144,1.35
214	,4139.TW,馬光-KY,37.95,0.26,18,2
215	,4155.TW,訊映,33.95,0,1214,1.43
216	,4174.TW,浩鼎,88.2,0.11,660,1.56
217	,4183.TW,福永生技,19.75,1.28,41,2.01
218	,4188.TW,安克,15.95,-0.62,24,2.86
219	,4192.TW,杏國,19.3,-0.26,41,1.44
220	,4205.TW,中華食,105,-0.94,36,1.54
221	,4207.TW,環泰,15.35,0.99,1100,1.63
222	,4303.TW,信立,17.4,-0.29,55,2.32
223	,4304.TW,勝昱,10,-1.48,129,1.78
224	,4306.TW,炎洲,16.85,0.3,1504,1.41
225	,4413.TW,飛寶企業,15.55,0.97,5,2
226	,4420.TW,光明,29.5,0,6,2
227	,4426.TW,利勤,25.85,-1.15,233,1.55
228	,4433.TW,興采,37.7,-3.21,2631,1.63
229	,4439.TW,冠星-KY,114,-1.72,85,1.36
230	,4440.TW,宜新實業,34.85,-0.14,80,1.72
231	,4523.TW,永彰,37.8,-1.05,14,1.5
232	,4526.TW,東台,18.35,-0.27,1713,1.66
233	,4529.TW,淳紳,10.15,0.5,127,1.46
234	,4530.TW,宏易,6.73,-0.59,42,2.67
235	,4534.TW,慶騰,9.78,0,192,2.47
236	,4542.TW,科嶠,28.2,0,7,2
237	,4545.TW,銘鈺,33.4,0.91,229,1.44
238	,4554.TW,橙的,28.1,-1.4,57,1.61
239	,4555.TW,氣立,48.55,-0.92,115,4.88
240	,4557.TW,永新-KY,111,0,53,2
241	,4560.TW,強信-KY,39.4,0.13,65,1.76
242	,4561.TW,健椿,22.85,0.66,30,3.44
243	,4609.TW,唐鋒,8.17,-2.27,31,2.99
244	,4711.TW,永純,15,-0.33,82,2.2
245	,4714.TW,永捷,11.25,1.35,364,1.78
246	,4716.TW,大立,12.55,0,401,3.28
247	,4735.TW,豪展,39,-0.38,51,1.6
248	,4741.TW,泓瀚,27.05,-0.92,24,2.09
249	,4754.TW,國碳科,40.6,-0.37,99,1.66
250	,4763.TW,材料-KY,478.5,1.59,494,1.96
251	,4767.TW,誠泰科技,27,-0.37,12,2
252	,4804.TW,大略-KY,6.05,-3.2,357,1.52
253	,4807.TW,日成-KY,21,0.24,31,3.86
254	,4903.TW,聯光通,20.5,-1.68,453,1.68
255	,4907.TW,富宇,34.85,-0.29,34,2.54
256	,4908.TW,前鼎,35.05,2.79,1029,1.52
257	,4923.TW,力士,61.9,-0.16,145,1.4
258	,4924.TW,欣厚-KY,13.2,0,39,2.67
259	,4930.TW,燦星網,26.35,-0.94,91,1.94
260	,4935.TW,茂林-KY,59.8,0,96,1.83
261	,4945.TW,陞達科技,49.9,-0.1,12,1.5
262	,4956.TW,光鋐,17,-1.16,336,1.74
263	,4994.TW,傳奇,46.4,-1.8,208,1.99
264	,5013.TW,強新,36.45,0.83,16,2.73
265	,5016.TW,松和,30.55,-0.81,34,6.14
266	,5206.TW,坤悅,19.05,0.26,187,1.58
267	,5220.TW,萬達光電,31.15,0.81,74,2.54
268	,5223.TW,安力-KY,40.75,-0.12,31,1.87
269	,5263.TW,智崴,126,-0.79,171,1.36
270	,5278.TW,尚凡,179,-0.28,18,1.45
271	,5291.TW,邑昇,34.5,-1.99,226,2.39
272	,5301.TW,寶得利,11.6,-1.28,82,1.4
273	,5324.TW,士開,8.9,-0.45,64,3.42
274	,5328.TW,華容,14.85,-1.66,2814,1.59
275	,5347.TW,世界,93.8,-0.85,3188,2.32
276	,5348.TW,系通,9.7,-2.41,57,5.38
277	,5364.TW,力麗店,26.2,-2.24,22,2.04
278	,5381.TW,合正,18.7,1.08,2541,1.51
279	,5383.TW,金利,29.25,-2.17,109,2.48
280	,5398.TW,慕康生醫,16.9,-2.59,87,1.65
281	,5403.TW,中菲,97.8,-0.61,1528,1.41
282	,5432.TW,新門,29.05,-2.19,137,1.8
283	,5460.TW,同協,11.15,-0.45,73,2.17
284	,5481.TW,新華,12.7,-0.39,99,1.81
285	,5483.TW,中美晶,155,-0.32,1026,1.47
286	,5487.TW,通泰,25.2,0,12,3.67
287	,5493.TW,三聯,52.7,-0.75,55,1.91
288	,5508.TW,永信建,64.7,-0.61,366,1.75
289	,5516.TW,雙喜,26.25,-0.57,27,1.37
290	,5522.TW,遠雄,58.1,-0.34,835,3.52
291	,5523.TW,豐謙,25.05,0,27,2.07
292	,5534.TW,長虹,79.6,-0.5,406,1.51
293	,5604.TW,中連,49.5,0.1,46,1.65
294	,5607.TW,遠雄港,71.5,-0.69,741,1.54
295	,5704.TW,老爺知,57.6,-1.37,478,1.36
296	,6021.TW,美好證,17.05,-0.87,6,2.5
297	,6114.TW,久威,23.9,-0.21,46,1.48
298	,6117.TW,迎廣,14.8,-0.34,342,2.3
299	,6138.TW,茂達,173,4.85,5494,1.41
300	,6142.TW,友勁,15.15,3.06,8915,1.56
301	,6147.TW,頎邦,69.1,-0.58,2272,1.62
302	,6151.TW,晉倫,28.75,0.17,55,1.36
303	,6153.TW,嘉聯益,24.1,-0.21,1095,1.36
304	,6154.TW,順發,16.6,-1.19,66,2.09
305	,6158.TW,禾昌,28,0,115,1.57
306	,6164.TW,華興,11.95,0,591,1.78
307	,6169.TW,昱泉,19.1,0,38,1.72
308	,6170.TW,統振,40.25,0,156,1.37
309	,6171.TW,大城地產,22.65,-0.66,108,1.49
310	,6173.TW,信昌電,41.2,-1.08,350,1.4
311	,6180.TW,橘子,74.7,0.54,2976,1.49
312	,6182.TW,合晶,46.15,-1.18,5089,1.71
313	,6184.TW,大豐電,50.4,-0.59,117,3.31
314	,6186.TW,新潤,42.2,-0.59,300,1.57
315	,6189.TW,豐藝,41.95,0,206,1.43
316	,6196.TW,帆宣,132,-1.49,685,1.78
317	,6197.TW,佳必琪,55.8,-1.76,2649,1.55
318	,6199.TW,天品,18.65,0,12,1.86
319	,6201.TW,亞弘電,43.45,0,33,1.89
320	,6204.TW,艾華,58.1,-0.85,16,1.57
321	,6205.TW,詮欣,79.5,-0.75,1102,1.56
322	,6207.TW,雷科,28.65,0.53,137,2.07
323	,6214.TW,精誠,82.1,1.86,813,1.53
324	,6217.TW,中探針,47.7,0.85,2038,1.41
325	,6227.TW,茂綸,50.2,-0.2,114,2.13
326	,6239.TW,力成,93.3,-0.32,1935,2.12
327	,6240.TW,松崗,25.75,-1.72,102,1.44
328	,6245.TW,立端,110,-1.35,3426,1.78
329	,6257.TW,矽格,55.4,-0.18,887,1.9
330	,6264.TW,富裔,7.66,-3.89,166,3.07
331	,6269.TW,台郡,98.1,0.2,860,1.44
332	,6278.TW,台表科,104.5,1.95,1855,1.39
333	,6281.TW,全國電,83.9,0,43,2.47
334	,6285.TW,啟碁,98.6,-0.6,13818,1.79
335	,6294.TW,智基,109.5,-1.35,85,1.65
336	,6404.TW,通訊-KY,22.5,4.41,14,1.35
337	,6409.TW,旭隼,1800,-1.91,159,1.52
338	,6414.TW,樺漢,256.5,0,537,1.95
339	,6416.TW,瑞祺電通,112.5,5.63,2877,1.45
340	,6425.TW,易發,20.4,-0.49,30,2.05
341	,6431.TW,光麗-KY,20.9,-0.48,58,2.21
342	,6432.TW,今展科,38.6,1.58,1899,1.52
343	,6449.TW,鈺邦,53.7,-0.19,46,1.59
344	,6456.TW,GIS-KY,82.7,-1.31,1358,2.21
345	,6469.TW,大樹,397,1.02,291,1.45
346	,6477.TW,安集,54.6,-0.55,3657,1.46
347	,6488.TW,環球晶,507,-1.36,1120,1.62
348	,6491.TW,晶碩,416.5,-0.83,407,1.4
349	,6492.TW,生華科,54.8,-0.72,136,1.42
350	,6509.TW,聚和,46.8,-1.06,1687,1.4
351	,6547.TW,高端疫苗,69.9,0.87,31569,1.43
352	,6550.TW,北極星藥業-KY,97.3,-0.31,2039,1.38
353	,6569.TW,醫揚,111.5,0,33,1.95
354	,6573.TW,虹揚-KY,16.3,0.31,268,1.56
355	,6576.TW,逸達,101,-1.46,773,1.54
356	,6577.TW,勁豐,65.2,0.15,51,1.44
357	,6579.TW,研揚,93.5,-0.32,39,1.94
358	,6596.TW,寬宏藝術,45.75,0.44,32,1.39
359	,6598.TW,ABC-KY,28.75,0.35,145,1.42
360	,6606.TW,建德工業,28.95,1.4,555,2
361	,6613.TW,朋億*,102,-0.97,174,1.62
362	,6616.TW,特昇-KY,14.5,-1.36,88,2.61
363	,6641.TW,基士德-KY,56.6,-0.88,36,1.82
364	,6649.TW,台生材,42.05,-1.29,105,2.72
365	,6664.TW,群翊,115,-0.43,150,1.57
366	,6679.TW,鈺太,295,0.17,222,1.67
367	,6689.TW,伊雲谷,134,-2.19,1751,1.68
368	,6698.TW,旭暉應材,38.85,-2.14,491,1.49
369	,6708.TW,天擎,54.3,-2.16,135,1.36
370	,6721.TW,信實,51.2,0,12,2.33
371	,6770.TW,力積電,32.9,0,7241,1.35
372	,6804.TW,明係,62.2,-0.64,125,1.51
373	,6840.TW,東研信超,87.3,0.11,110,1.78
374	,8016.TW,矽創,250,-1.19,2265,1.51
375	,8027.TW,鈦昇,53.8,0.75,137,1.37
376	,8032.TW,光菱,32,0,15,1.63
377	,8042.TW,金山電,36.8,-0.27,40,1.45
378	,8043.TW,蜜望實,29.2,-0.51,171,1.68
379	,8048.TW,德勝,39.3,-0.51,533,2.04
380	,8067.TW,志旭,15.7,-2.48,25,2.18
381	,8076.TW,伍豐,29.3,0.86,564,1.41
382	,8080.TW,永利聯合,11.6,0.87,29,2.58
383	,8083.TW,瑞穎,151,-0.33,39,1.84
384	,8089.TW,康全電訊,22.8,-1.3,95,2.12
385	,8107.TW,大億金茂,17.4,0.29,61,1.84
386	,8110.TW,華東,14,-1.06,2712,1.4
387	,8147.TW,正淩,67.3,0.3,86,1.45
388	,8171.TW,天宇,61.7,-0.32,1816,1.35
389	,8176.TW,智捷,11.15,-2.62,1156,2.37
390	,8182.TW,加高,32,-0.47,79,1.64
391	,8210.TW,勤誠,83.1,0.12,528,1.66
392	,8213.TW,志超,41.7,-1.07,478,1.84
393	,8240.TW,華宏,29.8,0.68,86,1.65
394	,8277.TW,商丞,10.6,-0.93,356,1.36
395	,8299.TW,群聯,410,-0.24,1169,1.39
396	,8354.TW,冠好,14.25,-0.35,128,1.98
397	,8390.TW,金益鼎,42,-1.75,1150,1.38
398	,8403.TW,盛弘,34.9,-0.43,763,2.43
399	,8404.TW,百和興業-KY,26.75,-0.56,59,1.5
400	,8411.TW,福貞-KY,14.95,0.34,52,1.64
401	,8422.TW,可寧衛,188,0,76,1.36
402	,8423.TW,保綠-KY,20.65,2.99,5,1.5
403	,8432.TW,東生華,46.9,-0.21,60,1.83
404	,8437.TW,大地-KY,112.5,-3.02,26,1.5
405	,8438.TW,昶昕,24.25,-0.21,84,1.46
406	,8442.TW,威宏-KY,81.1,-1.1,198,2.32
407	,8443.TW,阿瘦,11.75,3.52,744,1.62
408	,8462.TW,柏文,153.5,-1.92,116,1.38
409	,8466.TW,美吉吉-KY,43.2,0,11,2
410	,8476.TW,台境,65.7,-1.5,326,2.09
411	,8477.TW,創業家,17.05,0,38,2.67
412	,8482.TW,商億-KY,76.4,0.13,28,1.64
413	,8916.TW,光隆,55,-0.72,631,1.41
414	,8935.TW,邦泰,11.85,-1.25,59,1.92
415	,8936.TW,國統,29.1,-3,7947,1.64
416	,8937.TW,合騏,15.1,-0.33,39,3.45
417	,8941.TW,關中,59.6,-0.33,35,2.08
418	,8942.TW,森鉅,68.2,0.29,165,1.5
419	,8996.TW,高力,241,-4.37,10484,1.57
420	,9910.TW,豐泰,190.5,-1.3,646,1.95
421	,9926.TW,新海,51.8,0,5,2
422	,9928.TW,中視,18.55,0,80,1.58
423	,9933.TW,中鼎,42.9,-0.35,1396,1.94
424	,9934.TW,成霖,13.75,0.36,726,2.27
425	,9938.TW,百和,58.7,0,1174,2.5
426	,9940.TW,信義,29,-0.34,163,1.72
427	,9943.TW,好樂迪,66.9,-0.3,204,2.31
428	,9944.TW,新麗,20.45,0,109,2.45
429	,9945.TW,潤泰新,35.95,-0.42,3811,1.88
430	,9949.TW,琉園,19.85,-0.5,50,1.4
431	,9955.TW,佳龍,26.05,-2.62,2208,2.86
