符合條件商品
資料日期：2022年 12月 30日
策略,	A06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%
執行時間：2023-01-04 00:51 符合檔數(658)
158	,2441.TW,超豐,47.9,-0.21,650,48,-0.21
159	,2442.TW,新美齊,13.2,-0.38,223,13.25,-0.38
160	,2444.TW,兆勁,16.6,0.3,2590,16.55,0.3
161	,2455.TW,全新,69.2,0.29,1339,69,0.29
162	,2457.TW,飛宏,39.95,1.27,1277,39.45,1.27
163	,2462.TW,良得電,28.15,-1.23,271,28.5,-1.23
164	,2464.TW,盟立,38,0.4,95,37.85,0.4
165	,2465.TW,麗臺,41.8,10,10551,38,10
166	,2471.TW,資通,28.05,-0.53,168,28.2,-0.53
167	,2474.TW,可成,170.5,0.89,1185,169,0.89
168	,2485.TW,兆赫,17.1,0.29,615,17.05,0.29
169	,2486.TW,一詮,22.1,1.84,1564,21.7,1.84
170	,2495.TW,普安,18.95,-1.04,1593,19.15,-1.04
171	,2496.TW,卓越,47.55,0,7,47.55,0
172	,2501.TW,國建,15.4,0.98,383,15.25,0.98
173	,2514.TW,龍邦,16.75,-0.3,158,16.8,-0.3
174	,2534.TW,宏盛,22.7,0.22,789,22.65,0.22
175	,2542.TW,興富發,40.35,0.12,2168,40.3,0.12
176	,2546.TW,根基,52.1,1.17,168,51.5,1.17
177	,2547.TW,日勝生,9.05,-0.88,312,9.13,-0.88
178	,2597.TW,潤弘,127,1.2,101,125.5,1.2
179	,2601.TW,益航,8.65,-1.03,1771,8.74,-1.03
180	,2605.TW,新興,19.65,-1.75,2626,20,-1.75
181	,2606.TW,裕民,47.5,-2.26,5954,48.6,-2.26
182	,2609.TW,陽明,64.6,-1.37,34488,65.5,-1.37
183	,2610.TW,華航,18.9,-0.53,27023,19,-0.53
184	,2611.TW,志信,13.4,-0.74,322,13.5,-0.74
185	,2612.TW,中航,39.8,-4.21,2283,41.55,-4.21
186	,2613.TW,中櫃,21.95,-3.09,622,22.65,-3.09
187	,2614.TW,東森,22.85,-2.14,2760,23.35,-2.14
188	,2615.TW,萬海,79.2,-1.12,21569,80.1,-1.12
189	,2617.TW,台航,26.7,-0.74,801,26.9,-0.74
190	,2633.TW,台灣高鐵,28.8,0.17,2176,28.75,0.17
191	,2634.TW,漢翔,35.4,-0.98,11059,35.75,-0.98
192	,2636.TW,台驊投控,76.3,0.39,1429,76,0.39
193	,2637.TW,慧洋-KY,62.6,1.95,5375,61.4,1.95
194	,2640.TW,大車隊,89.5,0.11,28,89.4,0.11
195	,2641.TW,正德,18.55,-0.8,1228,18.7,-0.8
196	,2642.TW,宅配通,49.45,-1.3,194,50.1,-1.3
197	,2707.TW,晶華,243.5,-5.44,2248,257.5,-5.44
198	,2712.TW,遠雄來,32,-0.16,9,32.05,-0.16
199	,2719.TW,燦星旅,32.4,-3.57,24,33.6,-3.57
200	,2723.TW,美食-KY,146,-3.63,3152,151.5,-3.63
201	,2726.TW,雅茗-KY,22.8,-1.3,64,23.1,-1.3
202	,2727.TW,王品,164.5,-2.08,1367,168,-2.08
203	,2729.TW,瓦城,211,2.93,260,205,2.93
204	,2731.TW,雄獅,105.5,-0.94,1600,106.5,-0.94
205	,2732.TW,六角,125.5,0,676,125.5,0
206	,2739.TW,寒舍,29.85,-0.5,54,30,-0.5
207	,2748.TW,雲品,57.1,-4.67,2257,59.9,-4.67
208	,2753.TW,八方雲集,227.5,0.22,1818,227,0.22
209	,2754.TW,亞洲藏壽司,141,1.08,377,139.5,1.08
210	,2756.TW,聯發國際,124,0.4,68,123.5,0.4
211	,2809.TW,京城銀,33.55,-1.03,519,33.9,-1.03
212	,2851.TW,中再保,16.95,-0.29,3236,17,-0.29
213	,2852.TW,第一保,15.8,0,236,15.8,0
214	,2867.TW,三商壽,5.43,-1.81,8834,5.53,-1.81
215	,2882.TW,國泰金,39.95,-0.12,36122,40,-0.12
216	,2885.TW,元大金,21.65,-0.23,14313,21.7,-0.23
217	,2889.TW,國票金,11.35,0.44,5518,11.3,0.44
218	,2890.TW,永豐金,16.6,-0.9,17016,16.75,-0.9
219	,2891.TW,中信金,22.15,0.23,17354,22.1,0.23
220	,2903.TW,遠百,21.15,-1.63,1130,21.5,-1.63
221	,2906.TW,高林,18.1,-0.55,723,18.2,-0.55
222	,2911.TW,麗嬰房,7.12,0.85,253,7.06,0.85
223	,2913.TW,農林,21.15,-0.47,568,21.25,-0.47
224	,2915.TW,潤泰全,65.1,0.15,1678,65,0.15
225	,2916.TW,滿心,23.8,1.06,11,23.55,1.06
226	,2924.TW,東凌-KY,33.9,5.94,6,32,5.94
227	,2926.TW,誠品生活,59.8,-1.97,22,61,-1.97
228	,2929.TW,淘帝-KY,16.95,-1.45,3669,17.2,-1.45
229	,2939.TW,凱羿-KY,32.2,-2.28,63,32.95,-2.28
230	,3013.TW,晟銘電,17.6,2.03,2163,17.25,2.03
231	,3014.TW,聯陽,74.2,1.23,579,73.3,1.23
232	,3017.TW,奇鋐,112.5,0.45,1077,112,0.45
233	,3027.TW,盛達,35.1,4.93,11698,33.45,4.93
234	,3034.TW,聯詠,334.5,6.02,11530,315.5,6.02
