符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
680	,3289.TW,宜特,75.3,7.26,4225,114323.17,183172,36.53,202004,0
681	,3290.TW,東浦,23,1.55,1141,8654.33,15734,33.44,202111,1
682	,3293.TW,鈊象,433.5,0,1984,25055,42450,30.89,202006,1
683	,3294.TW,英濟,17,0.29,43,5798.17,6233,61.5,202103,0
684	,3296.TW,勝德,16.4,1.86,787,19073.83,8219,24,202013,1
685	,3297.TW,杭特,17.95,0.56,215,13480,25056,101.98,202012,0
686	,3303.TW,岱稜,25.1,0.4,41,6819,3144,14.15,202004,0
687	,3305.TW,昇貿,40,0.88,123,16015.17,10773,40.42,202102,0
688	,3306.TW,鼎天,22.8,1.33,98,7975.33,4002,22.98,202111,1
689	,3308.TW,聯德,14.4,-0.35,43,914.5,1579,54.99,202104,0
690	,3310.TW,佳穎,43.8,-0.11,172,2299,1532,24.96,202212,1
691	,3311.TW,閎暉,33.65,1.66,44,906.33,521,61.11,201909,1
692	,3312.TW,弘憶股,17.25,0,127,11231.33,4160,34.72,202102,0
693	,3313.TW,斐成,9.97,0,59,1624.67,1119,22.41,201912,0
694	,3317.TW,尼克森,53.7,0.37,328,13572.33,14173,33.82,202205,1
695	,3321.TW,同泰,9.07,-0.33,162,5573.5,5637,43.84,202006,1
696	,3322.TW,建舜電,19,2.15,317,22087.67,11281,66.28,202212,0
697	,3323.TW,加百裕,33.6,1.82,111,4965.67,3840,39.12,202004,0
698	,3324.TW,雙鴻,152,2.7,681,59176.67,36472,36.47,202004,0
699	,3325.TW,旭品,12.55,0.4,53,3464.5,1483,63.39,202005,1
700	,3332.TW,幸康,41.6,-0.24,1,797.33,915,17.77,202207,0
701	,3338.TW,泰碩,31.5,0.64,117,4793.17,3060,49.6,201908,1
702	,3339.TW,泰谷,12.65,0.4,94,5418,5954,63.06,202106,1
703	,3346.TW,麗清,34.75,0.72,326,44783.5,49084,33.33,202010,0
704	,3354.TW,律勝,13.55,0,454,7254.33,2475,32.35,202004,1
705	,3356.TW,奇偶,39.5,1.94,1359,101878.67,157410,33.73,202211,0
706	,3360.TW,尚立,13.35,0,22,2106.67,1720,18.15,202004,1
707	,3362.TW,先進光,70.9,1.43,655,88305.33,68157,193.17,202103,0
708	,3363.TW,上詮,22.85,0.66,80,7617.33,5880,45.25,202004,0
709	,3372.TW,典範,11.1,0.45,134,9074.33,15476,94.59,201910,0
710	,3373.TW,熱映,27.2,-3.55,323,9247.17,16771,85.44,202004,0
711	,3374.TW,精材,97.8,1.56,588,60939.33,38389,49.58,202011,0
712	,3376.TW,新日興,82.4,0.98,180,8971,4900,15.12,201913,0
713	,3379.TW,彬台,11.6,-0.85,7,1993,898,40.09,202008,1
714	,3380.TW,明泰,28.75,1.95,751,79151,40461,33.43,202004,0
715	,3388.TW,崇越電,74.8,1.91,106,832.17,638,14.04,202004,1
716	,3390.TW,旭軟,18,2.27,209,24572.17,4272,35.78,202205,1
717	,3402.TW,漢科,45.2,2.49,288,6897.5,5142,29.5,202103,0
718	,3406.TW,玉晶光,349,4.02,1877,91195.5,48326,45.08,202006,1
719	,3413.TW,京鼎,181.5,1.68,298,12045.17,10195,42.24,202004,0
720	,3416.TW,融程電,83,0,15,1588,1297,16.92,202005,0
721	,3419.TW,譁裕,18.45,0.27,603,48343.5,81583,88.47,202111,1
722	,3426.TW,台興,37.8,0,0,88.83,36,28.55,202010,1
723	,3432.TW,台端,18.85,2.45,214,51414.17,15139,93.49,202208,1
724	,3434.TW,哲固,24.9,3.53,214,15775.83,7435,93.88,202204,0
725	,3437.TW,榮創,17.05,0,132,3851.17,3075,52.68,202004,1
726	,3438.TW,類比科,54.1,0,184,6476.17,7669,55.09,202009,0
727	,3441.TW,聯一光,39.8,2.71,476,51067.67,41714,65.99,202103,1
728	,3443.TW,創意,684,6.71,6400,153361.33,151110,49.95,202211,0
729	,3444.TW,利機,62.3,-1.74,1389,16808.83,44075,95.56,202111,0
730	,3450.TW,聯鈞,36.7,-0.14,99,6233.83,3577,28.82,201912,1
731	,3454.TW,晶睿,206.5,4.82,13864,180705,266452,49.63,202211,1
732	,3455.TW,由田,79.9,0,172,12137,11695,22.62,202011,0
733	,3465.TW,進泰電子,81.2,1.37,12,640.83,215,99.89,202009,1
734	,3466.TW,致振,32.8,1.55,1807,19910.17,46028,55.43,202205,1
735	,3479.TW,安勤,85,4.42,13595,26514.33,95953,28.36,201908,1
736	,3481.TW,群創,11.2,1.36,40806,1354160.67,880836,42.65,202104,0
737	,3483.TW,力致,52.6,0.38,214,7648.33,10601,45.64,202102,1
738	,3484.TW,崧騰,43.15,0.47,76,4632,2155,44.66,202011,1
739	,3489.TW,森寶,10.1,0,9,1486.33,390,37.17,202002,1
740	,3490.TW,單井,24.2,-0.62,206,5005.33,5976,29.16,202008,0
741	,3491.TW,昇達科,136,1.12,473,78749.83,49166,60.23,202110,0
742	,3492.TW,長盛,18.3,0.27,117,3576.83,3392,18.29,202004,1
743	,3494.TW,誠研,10.8,3.35,825,68372.33,55443,57.32,202111,0
744	,3498.TW,陽程,37.7,1.34,157,3826.33,6985,63.33,202006,1
745	,3499.TW,環天科,18.45,-0.54,235,23349.33,27001,64.15,202111,0
746	,3501.TW,維熹,49.3,-0.4,63,2867.83,7613,9.68,202211,0
747	,3504.TW,揚明光,78.5,3.56,903,163546,33755,43.71,202108,0
748	,3508.TW,位速,38.5,-1.16,3064,96164.17,39766,70.1,202111,0
749	,3511.TW,矽瑪,33.35,1.21,154,26082,12113,30.69,202011,0
750	,3512.TW,皇龍,28.65,0,23,969.33,569,28.64,202102,1
751	,3515.TW,華擎,149,4.93,10907,49231.83,90640,37.75,202111,1
752	,3516.TW,亞帝歐,16.4,0,20,1711.83,2207,24.04,202102,1
753	,3518.TW,柏騰,19.45,-0.26,103,7400.17,4328,47.72,202004,0
754	,3520.TW,華盈,18.15,-0.27,309,64249.17,28316,46.13,202208,0
755	,3521.TW,鴻翊,22.1,0,344,42643.67,16915,34.1,202110,1
756	,3522.TW,御頂,10.3,0.49,21,1278.17,475,104.9,202011,0
757	,3523.TW,迎輝,18.65,-0.27,31,1730.17,279,79.1,202111,1
758	,3526.TW,凡甲,117.5,2.62,86,6816,3370,60.1,202103,1
759	,3527.TW,聚積,102.5,2.5,60,8657.17,6010,64.22,202108,1
760	,3528.TW,安馳,50.4,0,34,397.33,386,9.53,202106,1
761	,3529.TW,力旺,1395,4.49,801,29682.67,18094,41.72,202106,0
762	,3530.TW,晶相光,71.9,0.56,32,4687.83,1914,55.95,202011,0
763	,3531.TW,先益,26.3,0.19,13,6843.83,1107,34.99,202208,1
764	,3532.TW,台勝科,140,2.94,1091,76640.33,31121,58.73,202111,0
765	,3533.TW,嘉澤,824,-0.24,575,19149.67,10571,21.82,202004,1
766	,3535.TW,晶彩科,21.65,3.1,536,89805.67,40739,77.51,202205,0
767	,3536.TW,誠創,4,0.25,24,875.5,1138,114,202104,1
768	,3537.TW,堡達,34.9,0.29,19,1798.5,914,21.28,202004,1
769	,3540.TW,曜越,27.9,0.9,205,3377.83,9133,66.32,202007,1
770	,3541.TW,西柏,53.5,0.94,11,1924.17,1525,16.44,202108,0
771	,3545.TW,敦泰,62.6,6.83,11084,106335.67,56157,81.36,202103,0
772	,3546.TW,宇峻,76.7,-0.52,246,3289,5505,24.92,201909,1
773	,3548.TW,兆利,59.9,-1.16,150,3939.67,3506,19.12,201912,0
774	,3550.TW,聯穎,14,0,7,1845.5,1682,23.84,202103,1
775	,3551.TW,世禾,57.6,0.17,17,2008.67,974,20.25,202005,1
776	,3552.TW,同致,138,1.47,517,71599.67,35358,61.12,202004,0
777	,3555.TW,重鵬,28.7,0,8,418.83,309,57.81,202110,1
778	,3556.TW,禾瑞亞,55,0,77,3031.83,1889,71.97,202107,1
779	,3557.TW,嘉威,49.15,-0.71,12,2128.17,897,45.14,202011,0
780	,3558.TW,神準,204.5,2.76,1490,146679.33,101819,39.82,202203,1
781	,3563.TW,牧德,131.5,0.77,53,2092.17,1530,33.14,202004,1
782	,3564.TW,其陽,30.5,1.84,46,6772.5,2093,19.42,202110,1
783	,3567.TW,逸昌,23.8,-1.45,55,1031,1199,14.11,202004,1
784	,3570.TW,大塚,87.1,0.11,6,273,158,10.85,202004,1
785	,3576.TW,聯合再生,20.6,-0.24,4340,180332.83,230647,75.62,202108,0
786	,3577.TW,泓格,88,4.14,560,1977,8088,25.92,202108,0
787	,3580.TW,友威科,59.6,1.02,262,16112.83,21012,39.28,202011,0
788	,3581.TW,博磊,21.8,-0.46,17,1307.83,813,28.12,202008,0
789	,3583.TW,辛耘,72.7,0.97,152,15447.83,11642,33.66,202212,1
790	,3587.TW,閎康,155.5,2.64,1666,30127.83,74919,37.25,202004,1
791	,3588.TW,通嘉,54.6,2.82,281,22412.5,11361,47.15,202012,0
792	,3591.TW,艾笛森,15.55,-0.64,274,16287.67,6122,40.88,202004,0
793	,3593.TW,力銘,13.3,-0.37,2,492.5,378,65.65,201912,0
794	,3594.TW,磐儀,28.2,4.25,1001,55590.17,43061,19.96,202207,0
795	,3596.TW,智易,96.7,1.04,354,67380.5,21079,22.88,202103,1
796	,3605.TW,宏致,31.7,-0.63,100,6738.67,7742,33.28,202012,1
797	,3607.TW,谷崧,11.9,0.42,27,4780.33,3097,35.56,202004,1
798	,3609.TW,三一東林,51.1,-1.35,48,731.83,1060,65.23,202106,0
799	,3611.TW,鼎翰,193,0.26,18,720.5,517,17.97,202004,0
800	,3615.TW,安可,16.6,0,35,1970,1389,30.62,202011,1
801	,3617.TW,碩天,95,1.06,228,11959,19653,51.81,202208,0
802	,3622.TW,洋華,27.7,2.03,63,3911.33,2170,54.85,202011,1
803	,3623.TW,富晶通,15.5,0.65,41,4581,3869,33.33,202104,1
804	,3624.TW,光頡,39.6,2.06,428,48655.83,23759,58.91,202212,0
805	,3625.TW,西勝,12.15,-0.41,115,11331.5,16915,36,202004,0
806	,3628.TW,盈正,42.75,0.35,57,3225.67,5425,37.86,202203,0
807	,3629.TW,地心引力,39.7,0,0,89.17,61,139.02,201909,0
808	,3630.TW,新鉅科,28.1,0.9,101,15149.5,7517,54.16,202011,0
809	,3631.TW,晟楠,40.25,-0.86,40,1853,2055,72.36,201912,0
810	,3632.TW,研勤,9.91,-0.9,11,356.17,364,46.47,202010,1
811	,3645.TW,達邁,32.05,0.16,120,23438.67,7499,50.92,202008,1
812	,3646.TW,艾恩特,23.4,0.43,3,1630.17,679,20.87,202009,0
813	,3652.TW,精聯,22.65,0.89,37,3389.67,2907,25.81,202007,0
814	,3653.TW,健策,376.5,0,786,38591.5,31312,33.33,201910,0
815	,3661.TW,世芯-KY,855,8.5,6365,142492.83,97852,66.67,202006,1
816	,3663.TW,鑫科,28.45,0,39,3454.5,1265,62.73,202107,1
817	,3664.TW,安瑞-KY,11.8,-0.42,29,9010,3110,20.37,202208,0
818	,3665.TW,貿聯-KY,239,1.06,512,55741.67,55414,27.52,202013,0
819	,3666.TW,光耀,19.15,-1.29,107,6524.5,7915,89.87,202011,1
820	,3669.TW,圓展,46.15,-0.32,129,6974.17,15564,153.69,202008,0
821	,3672.TW,康聯訊,26.45,-0.94,5,698.33,478,55.97,202111,1
822	,3673.TW,TPK-KY,29.5,0.17,412,20898,11980,21.36,202004,0
823	,3675.TW,德微,166,3.11,366,47845.67,34974,62.89,202104,0
824	,3679.TW,新至陞,92.8,1.64,37,1429.83,3321,29.61,202102,1
825	,3680.TW,家登,276,4.15,2832,45480.67,30867,35.38,201909,1
826	,3682.TW,亞太電,6,-1.64,1376,44445.67,48915,34.67,201911,0
827	,3684.TW,榮昌,55.4,-0.36,13,893.17,639,38.33,202212,0
828	,3685.TW,元創精密,19.75,-0.75,32,10756.33,3069,71.09,202013,0
829	,3686.TW,達能,15.45,1.98,238,14250.5,27916,172.73,201911,1
830	,3687.TW,歐買尬,94.5,0,1465,13077,28902,84.58,202212,1
831	,3689.TW,湧德,31.95,0,65,8094.33,6639,51.06,202108,0
832	,3691.TW,碩禾,100,0.5,147,9808.83,12635,28.16,202010,0
833	,3693.TW,營邦,112,-1.75,947,21083,55852,93.54,202005,1
834	,3694.TW,海華,19.5,0.52,70,9044.67,5117,42.43,202007,1
835	,3701.TW,大眾控,37.25,0.4,202,32086.5,17361,87.94,202111,0
836	,3702.TW,大聯大,47.85,-0.52,2200,103213.83,131994,10.35,202211,1
837	,3703.TW,欣陸,27.75,-0.89,979,55160.83,26542,38.6,202008,0
838	,3704.TW,合勤控,34.7,-0.57,7262,70968,90157,51.09,202012,1
839	,3705.TW,永信,45.1,-1.96,3367,25712,135580,7.3,202005,0
840	,3706.TW,神達,29.6,0.34,899,44602.17,59743,17.41,202002,1
841	,3707.TW,漢磊,86.2,1.89,2440,207049.33,74144,30.91,202107,0
842	,3708.TW,上緯投控,99.6,4.29,5200,56802.5,43099,35.24,202008,0
843	,3709.TW,鑫聯大投控,22.85,0.44,4,737.17,515,21.22,202110,1
844	,3710.TW,連展投控,11.25,0.9,757,112408.17,45105,48.51,202208,1
845	,3711.TW,日月光投控,94.6,0.75,7290,261309.83,310164,21.2,202011,1
846	,3712.TW,永崴投控,28.6,2.88,1137,6741.67,13741,136.76,202006,0
847	,4102.TW,永日,33.9,-5.96,3751,68517.33,219089,51.72,202006,0
848	,4104.TW,佳醫,68,0.59,298,5429.67,8701,12.01,202203,0
849	,4105.TW,東洋,83.5,0.12,807,42157.67,76097,14.69,202105,1
850	,4106.TW,雃博,28.6,-2.72,1580,25099,106065,66.51,202105,0
851	,4107.TW,邦特,111.5,0,144,4003.17,5333,20.53,202004,0
852	,4108.TW,懷特,19.1,0,99,5693.33,6507,58.61,202004,0
853	,4109.TW,加捷生醫,14.65,-0.34,90,3641.17,3663,21.67,202005,0
854	,4111.TW,濟生,26.65,-1.66,520,12207,41980,7.88,202004,0
855	,4113.TW,聯上,11.75,0,214,5134.83,19248,21.01,201912,0
856	,4114.TW,健喬,46,-5.54,31085,382155,1048075,25.67,202206,1
857	,4116.TW,明基醫,64.8,1.25,295,76012.33,44911,38.39,202204,1
858	,4119.TW,旭富,96.5,-1.03,167,9905.33,13567,24.11,202002,1
859	,4120.TW,友華,35.85,-0.97,115,3821.83,3102,13.54,202005,1
860	,4121.TW,優盛,24.6,0.61,4604,34385,109435,45.56,202105,0
861	,4123.TW,晟德,46.55,-1.59,965,27767.67,50556,29.76,202006,0
862	,4126.TW,太醫,74.5,-1.32,204,3334.83,12726,12.2,202006,1
863	,4127.TW,天良,15.1,-2.27,268,6477.17,12673,51.44,202006,0
864	,4128.TW,中天,62.1,-0.16,2425,266138,189138,141.94,202006,0
865	,4129.TW,聯合,47.95,0.31,627,16968.83,64198,23.06,202211,1
866	,4130.TW,健亞,30.1,-7.38,6660,59428.5,288572,28.88,202006,1
867	,4131.TW,晶宇,20.5,0,0,418.5,90,110.77,202201,1
868	,4133.TW,亞諾法,39.85,-3.28,2745,45772.67,51501,68.97,202005,0
869	,4137.TW,麗豐-KY,199,0.25,251,8029.83,36308,19.85,202110,1
870	,4138.TW,曜亞,62.8,-1.57,101,1200.83,3836,10.45,202005,1
871	,4139.TW,馬光-KY,42.15,-0.35,19,3272.67,1635,43.04,202005,1
872	,4142.TW,國光生,35.1,-1.4,792,51521,38093,93.1,202005,0
873	,4147.TW,中裕,69.7,-1.41,1276,29628.5,40766,43.34,202004,1
874	,4148.TW,全宇生技-KY,53.5,-0.37,64,24206.67,5100,57.6,202004,1
875	,4153.TW,鈺緯,37.1,-8.51,1468,6240.17,24549,27.19,202109,1
876	,4154.TW,樂威科-KY,39.05,-2.38,11,811,969,60.91,202108,0
877	,4155.TW,訊映,27.35,-0.73,983,25681,66662,18.03,201910,0
878	,4157.TW,太景*-KY,15.65,-2.49,1740,108109.83,116551,39.39,202006,0
879	,4160.TW,創源,27.4,0,15,1419.17,2908,24.9,202211,0
880	,4161.TW,聿新科,27.5,-2.48,255,5365.5,26316,45.99,201911,0
881	,4162.TW,智擎,128,2.4,7051,296086.83,266778,56.58,202102,0
882	,4163.TW,鐿鈦,104.5,-1.42,594,5619.17,21953,13.7,202004,1
883	,4164.TW,承業醫,43.65,0.23,110,10876.83,12890,27.4,202208,1
884	,4167.TW,松瑞藥,23.85,-3.83,15441,146529.5,737985,55.7,202006,0
885	,4168.TW,醣聯,30.35,-0.33,1131,99519.67,102698,100.34,202005,0
886	,4171.TW,瑞基,70.9,7.42,18621,22593.67,43011,121.72,202004,0
887	,4173.TW,久裕,19,-1.81,569,8697.83,36339,20.34,202006,0
888	,4174.TW,浩鼎,68.6,-0.72,537,16066.33,15658,34.34,202005,0
889	,4175.TW,杏一,76.4,-2.05,112,2875.33,7796,44.67,202108,0
890	,4183.TW,福永生技,18.5,0,0,279,626,22.7,202006,0
891	,4188.TW,安克,16.1,0.94,33,1384.83,2864,44.96,202006,0
892	,4190.TW,佐登-KY,75.3,0.27,115,4953,18204,19.42,201912,0
893	,4192.TW,杏國,25.15,-0.98,9,1369.5,1330,98.37,202006,0
894	,4198.TW,欣大健康,25.7,-3.02,3,314.33,644,500.86,202208,0
895	,4205.TW,中華食,100.5,-0.5,11,276.5,218,13.75,202103,1
896	,4207.TW,環泰,13.05,0.38,34,6388.5,5856,24,202104,0
897	,4303.TW,信立,15.15,-0.98,36,5020.5,1717,57.97,202111,1
898	,4304.TW,勝昱,9.59,-0.1,53,2480.83,3165,53.26,202104,1
899	,4305.TW,世坤,30.35,0,2,117.5,192,8.97,202004,1
900	,4306.TW,炎洲,14.4,0,396,13447.5,12731,32.9,202008,1
901	,4401.TW,東隆興,26.55,1.34,17,862.67,619,31.38,202103,1
902	,4402.TW,福大,11.3,4.63,1206,18303.5,6548,53.17,202104,0
903	,4406.TW,新昕纖,10.1,-0.49,17,1649.83,1102,9.14,202105,0
904	,4413.TW,飛寶企業,16,-1.23,7,3843.5,1179,53.56,202008,1
905	,4416.TW,三圓,80.4,1.64,1,132.17,67,18.06,202013,1
906	,4417.TW,金洲,38.8,0.78,69,2347,4060,8.15,202102,0
907	,4419.TW,元勝,10.35,0,0,20,45,85,202010,1
908	,4420.TW,光明,29.95,-0.66,3,238.17,213,20.16,202103,1
909	,4426.TW,利勤,26.45,-1.67,197,31657.83,16031,20.08,202206,1
910	,4430.TW,耀億,21.65,-0.69,9,404,208,13.67,202004,0
911	,4432.TW,銘旺實,27.2,-1.09,180,42467.33,15413,76.1,202207,1
912	,4433.TW,興采,30,-1.15,30,2096.17,1096,30.45,202004,1
913	,4438.TW,廣越,121,0.83,68,8095.33,3225,20.64,202208,0
914	,4502.TW,健信,37.1,-0.4,7,309.5,180,31.83,201910,1
915	,4503.TW,金雨,39.65,-1,570,31162.17,15293,53.4,202109,1
916	,4506.TW,崇友,70.4,0.43,25,1439.83,1272,8.54,202109,0
917	,4510.TW,高鋒,10.15,-1.46,64,1415.33,1408,22.25,202004,0
918	,4513.TW,福裕,21.9,-3.95,202,16284.33,7463,36.18,202009,0
919	,4523.TW,永彰,40.2,-0.99,93,2399.33,6860,62.6,201912,1
920	,4526.TW,東台,13.95,0,34,2247.33,1916,24.41,202004,1
921	,4527.TW,方土霖,28.55,0,9,844.83,2907,9.66,202004,1
922	,4528.TW,江興鍛,31.9,0,4,610.67,623,24.61,202004,1
923	,4529.TW,淳紳,8.92,-0.78,17,3649.67,832,41.58,202102,1
924	,4530.TW,宏易,6.7,-0.45,5,1699,809,35.68,201910,1
925	,4532.TW,瑞智,16.15,0.31,233,17860.67,7069,14.77,202004,1
926	,4533.TW,協易機,10.5,0,26,5397.17,3055,15.92,202104,1
927	,4534.TW,慶騰,8.98,0.34,92,2941.67,2239,38.15,202102,0
928	,4535.TW,至興,38.4,0,0,385.83,103,17.41,202012,0
929	,4536.TW,拓凱,182,-0.55,354,17146,32721,21.84,202004,1
930	,4538.TW,大詠城,18.15,-0.27,2,331.17,313,11.26,202208,0
931	,4540.TW,全球傳動,36.35,-0.27,12,1909.67,2037,20.36,202004,1
932	,4541.TW,晟田,29.95,-0.66,834,31002.17,19483,18.72,202107,1
933	,4542.TW,科嶠,25.1,0.4,0,275.17,172,18.84,202106,1
934	,4543.TW,萬在,23.35,0,103,52612,7314,30.71,202207,0
935	,4545.TW,銘鈺,29.55,-1.5,48,1130.67,1181,33.41,202002,1
936	,4549.TW,桓達,84.6,-0.12,9,1093.5,501,9.22,202103,1
937	,4550.TW,長佳,23,0,14,1010.83,1105,23.4,201908,0
938	,4551.TW,智伸科,150,0.67,229,24838.17,9589,31.22,201908,0
939	,4552.TW,力達-KY,30,0.33,26,1169.5,1322,17.15,202004,1
940	,4554.TW,橙的,24.1,0,2,1730,601,50.81,202004,1
941	,4555.TW,氣立,49.8,0.2,2,807.33,214,19.57,202004,0
942	,4556.TW,旭然,30.6,0,0,93.33,59,13.69,202102,1
943	,4557.TW,永新-KY,100.5,0,30,4592.5,1535,56.25,202208,0
944	,4560.TW,強信-KY,38.45,-0.65,22,998.5,772,15.16,202004,1
945	,4561.TW,健椿,21.55,-0.23,9,593.17,455,19.34,202004,0
946	,4562.TW,穎漢,15.1,0,47,2187.17,4926,10.05,202103,0
947	,4563.TW,百德,39.9,1.14,1867,1049.5,3241,17.26,202102,1
948	,4564.TW,元翎,24,-1.23,241,6681.17,8304,29.12,202104,0
949	,4566.TW,時碩工業,53.2,4.31,728,19356.17,19173,44.82,202012,1
950	,4568.TW,科際精密,59.3,0.68,2,192,116,35.35,202008,1
951	,4609.TW,唐鋒,7.93,0,0,179.67,104,20.76,201910,1
952	,4702.TW,中美實,12.1,-0.82,54,5734.5,4945,304.41,201912,0
953	,4706.TW,大恭,16.95,0.59,8,231.83,392,12.99,202104,1
954	,4707.TW,磐亞,11.95,0,130,9390.83,6450,29.25,202002,1
955	,4711.TW,永純,14.95,-0.33,25,675.67,977,13.68,202103,1
956	,4712.TW,南璋,4.75,3.04,13,323.17,188,55.57,202010,1
957	,4714.TW,永捷,10.45,-0.48,89,3541,2339,28.88,202004,1
958	,4716.TW,大立,12.45,-5.32,963,3582.33,2693,19.3,202203,1
959	,4720.TW,德淵,13.75,0,83,29681.83,4669,27.06,202011,1
960	,4721.TW,美琪瑪,98.6,0.82,282,32363.5,18386,60.62,202108,0
961	,4722.TW,國精化,33.95,0.3,22,1381.83,1414,11.68,202104,1
962	,4726.TW,永昕,37.1,-1.07,293,64994.5,34722,58.73,202005,1
963	,4728.TW,雙美,135,-0.74,29,1438,3674,31.55,202203,0
964	,4729.TW,熒茂,15.2,2.01,41,3031.67,1823,43.46,202004,1
965	,4735.TW,豪展,39,-0.76,69,1972.33,5006,39.06,202006,1
966	,4736.TW,泰博,182,-1.62,1051,27876,31363,53.81,202005,0
967	,4737.TW,華廣,76.9,-0.39,18,2285,576,36.2,202102,0
968	,4739.TW,康普,92.7,1.31,301,52638.67,27482,63.01,202004,0
969	,4741.TW,泓瀚,25.25,0.4,10,325.5,219,16.73,202007,1
970	,4743.TW,合一,244.5,-0.41,5777,193737.83,245617,149.11,202005,0
971	,4744.TW,皇將,24.75,0,144,3189.67,4991,35.96,202212,0
972	,4745.TW,合富-KY,24.55,-1.21,23,1000.17,1054,16.81,202203,1
973	,4746.TW,台耀,70.9,-3.54,4668,61132,262130,61.76,202105,1
974	,4747.TW,強生,49,-4.3,701,8029.83,46996,21.48,202003,0
975	,4754.TW,國碳科,34.7,-0.43,6,542.67,202,7.41,202111,1
976	,4755.TW,三福化,117,1.74,398,35805.67,31408,117.85,202212,0
977	,4760.TW,勤凱,47.65,1.6,20,864.83,667,95.7,202004,1
978	,4763.TW,材料-KY,195.5,9.83,7116,38134,70028,54.34,202211,1
979	,4764.TW,雙鍵,52.8,1.54,58,2390,13375,18.58,202004,0
980	,4766.TW,南寶,132.5,-0.38,34,1857.17,1031,19.18,202004,0
981	,4767.TW,誠泰科技,27.1,-0.18,0,77.17,154,29.68,201909,1
982	,4804.TW,大略-KY,11.1,0,173,16448,17331,104.43,202203,0
983	,4806.TW,昇華,6.9,1.62,24,452.5,124,27.66,202012,0
984	,4807.TW,日成-KY,21.05,1.45,9,284.83,275,20.42,202005,1
985	,4903.TW,聯光通,13.7,-2.49,137,4667.67,2072,66.88,202109,0
986	,4904.TW,遠傳,66.2,0.46,2054,112323.5,79794,12.65,202204,0
987	,4905.TW,台聯電,51,0.99,1,67.83,48,11.04,202011,1
988	,4906.TW,正文,27.5,0.36,749,84670.83,33290,18.53,202212,1
989	,4907.TW,富宇,26.1,0.97,29,817.67,1830,10.85,202004,0
990	,4908.TW,前鼎,30.05,0.33,110,28032.83,7890,84.08,201910,0
991	,4909.TW,新復興,16,1.27,35,4823.5,2610,29.21,202103,0
992	,4911.TW,德英,51.6,-3.37,115,6385.5,2304,133.54,202206,1
993	,4912.TW,聯德控股-KY,80,1.27,32,2472,1252,37.32,202007,0
994	,4915.TW,致伸,55.9,0.72,1429,136189.83,91894,22.02,202004,0
995	,4916.TW,事欣科,26.85,0.56,397,25250.17,59003,26.68,202111,0
996	,4919.TW,新唐,118,2.61,2873,260840.17,142033,68.12,202107,0
997	,4924.TW,欣厚-KY,14.25,0.71,97,3712,10500,63.57,202008,0
998	,4927.TW,泰鼎-KY,53.6,0.56,430,47764.83,24888,46.15,202111,1
999	,4930.TW,燦星網,27.15,0.37,61,2257.5,1663,69.85,202103,1
1000	,4933.TW,友輝,31.5,0.96,2,626.5,395,37.01,202011,0
1001	,4934.TW,太極,27.45,-1.26,568,27785.5,23855,98.46,201913,1
1002	,4935.TW,茂林-KY,55,0,82,3745.17,2889,32.8,201911,1
1003	,4938.TW,和碩,63.7,0.31,2590,123596,164945,16.49,202013,1
1004	,4939.TW,亞電,14.95,1.36,321,3400.5,2416,38.81,202004,0
1005	,4942.TW,嘉彰,35.5,0.42,63,3270.33,1910,13.36,202004,0
1006	,4943.TW,康控-KY,15.3,9.68,325,9475.5,7351,31.12,202004,1
1007	,4944.TW,兆遠,9.8,-4.85,6,516,203,138.64,202009,1
1008	,4946.TW,辣椒,52.7,-1.13,104,2122.83,3860,75.14,202011,0
1009	,4950.TW,牧東,21,-1.87,1132,12560.83,20889,118.78,202011,1
1010	,4952.TW,凌通,46.65,0.86,65,16180.67,6077,49.12,202107,0
1011	,4953.TW,緯軟,84.5,2.18,142,5548.33,10601,29.87,202008,0
1012	,4956.TW,光鋐,14.2,0,26,4764.67,3070,126.47,202004,1
1013	,4958.TW,臻鼎-KY,107,1.9,3192,104887.5,143948,30.63,201910,1
1014	,4960.TW,誠美材,10.1,2.43,2586,41191.83,24138,40.16,202004,1
1015	,4961.TW,天鈺,123,6.49,10264,90015.17,74622,186.71,202012,0
1016	,4966.TW,譜瑞-KY,792,2.46,466,28505,22323,30.38,202211,1
1017	,4967.TW,十銓,30.5,0.16,72,7159.67,3629,56.52,202012,1
1018	,4968.TW,立積,113.5,0.89,1711,65136.17,70843,50,202004,0
1019	,4971.TW,IET-KY,53.1,1.34,46,1847.5,2128,28.09,202110,0
1020	,4972.TW,湯石照明,29.5,0,16,463.5,403,19.9,202103,0
1021	,4973.TW,廣穎,21.95,0.46,51,3181.5,10381,40.19,202104,0
1022	,4974.TW,亞泰,58.2,2.11,314,3702.33,5539,19.82,202004,0
1023	,4976.TW,佳凌,37.8,0.53,82,28507.5,7212,56.32,202008,1
1024	,4977.TW,眾達-KY,104,5.16,4752,61433.67,108285,49.56,202208,0
1025	,4979.TW,華星光,41.6,4.52,6195,127456.83,276587,68.72,202004,1
1026	,4987.TW,科誠,57.5,-0.35,41,503,329,10.24,202203,1
