符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
143	,1583.TW,程泰,61.2,-0.65,8,169.33,123,14.95,202004,1
144	,1584.TW,精剛,22.4,0.22,3858,129057.67,354290,58.47,202211,0
145	,1586.TW,和勤,35,4.48,68,2155,1367,18.86,202008,1
146	,1587.TW,吉茂,21.35,-1.84,75,4710.17,1340,39.08,202008,1
147	,1589.TW,永冠-KY,57.3,0.7,96,8529.67,4323,53.81,202007,1
148	,1590.TW,亞德客-KY,930,-0.11,579,12878.83,10982,28.38,202004,1
149	,1591.TW,駿吉-KY,17,1.19,61,6555.17,4280,45.97,202203,1
150	,1593.TW,祺驊,68.3,0,0,1024,1469,84.99,202013,0
151	,1595.TW,川寶,38.1,-0.26,6,498.5,626,28.18,202108,1
152	,1597.TW,直得,68.9,-1.57,44,1581.83,1011,38.93,202004,0
153	,1598.TW,岱宇,41.05,0.86,120,6896.83,12472,84.18,202008,0
154	,1599.TW,宏佳騰,39.05,-0.13,7,2321.33,1553,16.55,202212,0
155	,1603.TW,華電,25.95,-0.19,260,7865,9313,33.52,202104,0
156	,1604.TW,聲寶,26.2,-1.13,124,7789.67,7331,16.23,202011,1
157	,1605.TW,華新,46.95,-0.53,76318,1391118.83,1808601,60.53,202104,1
158	,1608.TW,華榮,13.65,-0.36,460,21538.5,15413,129.86,202104,1
159	,1609.TW,大亞,20.85,2.71,10695,94036.67,125958,74.24,202104,0
160	,1611.TW,中電,13.15,-0.38,396,40096.5,17424,56.38,202212,0
161	,1612.TW,宏泰,16.45,1.23,468,25163,15418,34.05,202102,1
162	,1614.TW,三洋電,35.4,-0.14,11,1432.5,547,18.5,202004,0
163	,1615.TW,大山,28.45,-0.87,40,1016.5,657,44.57,202104,0
164	,1616.TW,億泰,7.39,0.96,43,4189.17,2550,78.4,202104,1
165	,1617.TW,榮星,15,0.33,16,764.67,763,61.97,202104,1
166	,1618.TW,合機,14.45,0.7,623,22058,14303,47.39,202104,1
167	,1626.TW,艾美特-KY,16.55,1.22,47,4172,2242,38.95,202004,1
168	,1701.TW,中化,31.45,-5.41,23413,75011.17,389402,18.46,202006,1
169	,1702.TW,南僑,45.15,-0.77,64,5293.17,4035,21.98,202104,1
170	,1707.TW,葡萄王,168,0,1074,10001.83,37213,16.46,202211,1
171	,1708.TW,東鹼,40.6,1.25,1021,160125.17,51677,46.55,202106,0
172	,1709.TW,和益,22.35,0.45,642,26467.5,15111,25.06,202202,0
173	,1710.TW,東聯,18.6,0,1268,25053.67,41622,20.57,202104,1
174	,1711.TW,永光,18.4,-0.54,591,41740.67,59220,35,202109,0
175	,1712.TW,興農,36.6,0.41,446,71088,37635,30.09,202208,0
176	,1713.TW,國化,25,-0.2,65,1364.67,1575,15.78,202012,1
177	,1714.TW,和桐,8.7,-0.57,1437,39193.33,35852,24.36,202008,1
178	,1717.TW,長興,31.2,-0.16,859,40482.67,45877,27.4,202104,0
179	,1718.TW,中纖,8.48,-1.51,3770,64712.67,156071,30.57,202104,0
180	,1720.TW,生達,59.4,-3.41,6889,44048.5,212109,14.74,202006,0
181	,1721.TW,三晃,14.7,-0.68,328,39840.33,56840,71.51,202110,0
182	,1722.TW,台肥,53.3,-0.37,1173,42574.5,30636,20,202109,0
183	,1723.TW,中碳,105.5,0,91,8544.83,5089,12.54,202004,1
184	,1725.TW,元禎,20.2,0.5,11,5607.83,1486,42.33,202111,1
185	,1726.TW,永記,70.2,-0.14,45,451,433,7.86,202004,1
186	,1727.TW,中華化,24.75,1.02,171,20812.17,20280,62.27,202109,1
187	,1730.TW,花仙子,55.3,-0.18,10,510.5,1261,20.9,201913,0
188	,1731.TW,美吾華,19.75,0,269,6163,16428,25.61,202007,1
189	,1732.TW,毛寶,32,-2.14,848,24855.67,30013,68.83,201913,0
190	,1733.TW,五鼎,25.45,-0.39,223,10181.67,11713,11.79,202006,1
191	,1734.TW,杏輝,32.6,-1.66,2849,70923.17,215596,51.93,202006,1
192	,1735.TW,日勝化,15.2,0.33,8,295.67,101,13.77,202104,1
193	,1736.TW,喬山,69.1,-0.58,625,47911.5,61483,31.67,202209,0
194	,1737.TW,臺鹽,32.2,-0.77,61,3824.17,2670,8.54,202004,1
195	,1742.TW,台蠟,14.6,-0.34,9,1361.5,773,38.16,202107,1
196	,1752.TW,南光,61,-4.54,17694,80781.67,470235,25.06,202006,0
197	,1760.TW,寶齡富錦,175.5,-1.96,12029,319211.83,428982,64.38,202004,0
198	,1762.TW,中化生,64.1,-2.29,1262,24098.67,77336,59.5,202004,1
