符合條件商品
資料日期：2023年  1月  3日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例,	借融比
執行時間：2023-01-03 23:27 符合檔數(1490)
107	,6237.TW,驊訊,45.1,1.69,399,26.28,1.32,2.54,0,6.57
108	,8155.TW,博智,103,1.48,334,26.28,2.52,1.28,4.92,2.56
109	,6150.TW,撼訊,72.5,4.77,9327,26.2,7.9,5.66,0,8.26
110	,6118.TW,建達,36.5,-0.82,15090,26.01,0.94,1.25,0,3.79
111	,5425.TW,台半,75.3,1.48,2749,25.89,10.39,0.12,9.03,7.52
112	,3558.TW,神準,204.5,2.76,1490,25.81,7.86,1.88,5.05,3.97
113	,3552.TW,同致,138,1.47,517,25.77,16,2.06,0.04,7.29
114	,8024.TW,佑華,21.2,0,62,25.67,5.09,0.28,0,2.41
115	,5201.TW,凱衛,27.1,-2.34,21,25.34,5.71,0.13,0,0.21
116	,3594.TW,磐儀,28.2,4.25,1001,25.3,3.93,0.16,0.41,0.74
117	,5245.TW,智晶,51.8,1.17,265,25.12,13.01,0.82,0.18,1.4
118	,8091.TW,翔名,86.6,0.23,364,25.12,5.2,1.85,0.12,1.51
119	,3122.TW,笙泉,25.2,0.6,154,25.02,1.29,2.61,0,2.2
120	,3550.TW,聯穎,14,0,7,24.98,1.45,0.15,0,0.4
121	,8028.TW,昇陽半導體,57,1.24,1225,24.88,13.21,0.14,1.9,5.03
122	,6477.TW,安集,46.2,1.76,759,24.87,0.89,1.43,0.45,4.25
123	,1539.TW,巨庭,28.75,0.52,179,24.82,2.03,0.36,0,2.12
124	,1316.TW,上曜,11.8,-0.42,364,24.64,1.29,0,0,0.83
125	,3479.TW,安勤,85,4.42,13595,24.63,5.1,1.18,0.86,1.41
126	,1337.TW,再生-KY,7.02,0,135,24.44,26.17,0.08,0,1.01
127	,1529.TW,樂事綠能,21.3,5.45,9701,24.42,1.19,8.3,0.13,1.2
128	,6109.TW,亞元,15.65,3.64,800,24.3,4.02,0.03,0,2.56
