符合條件商品
資料日期：2023年  1月  3日
策略,	06基本資料C
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	券資比
執行時間：2023-01-03 23:46 符合檔數(1775)
165	,1616.TW,億泰,7.39,0.96,43,61.79,0
166	,1617.TW,榮星,15,0.33,16,83.37,0
167	,1618.TW,合機,14.45,0.7,623,64.14,0.02
168	,1626.TW,艾美特-KY,16.55,1.22,47,71.99,3.63
169	,1701.TW,中化,31.45,-5.41,23413,61.41,35.66
170	,1702.TW,南僑,45.15,-0.77,64,68.02,0
171	,1707.TW,葡萄王,168,0,1074,62.14,3.24
172	,1708.TW,東鹼,40.6,1.25,1021,46,3.06
173	,1709.TW,和益,22.35,0.45,642,61.58,0.18
174	,1710.TW,東聯,18.6,0,1268,64.78,3.21
175	,1711.TW,永光,18.4,-0.54,591,50.67,0.29
176	,1712.TW,興農,36.6,0.41,446,54.66,18.31
177	,1713.TW,國化,25,-0.2,65,76.69,0
178	,1714.TW,和桐,8.7,-0.57,1437,58.01,0.55
179	,1717.TW,長興,31.2,-0.16,859,72.47,0.19
180	,1718.TW,中纖,8.48,-1.51,3770,51.15,0.27
181	,1720.TW,生達,59.4,-3.41,6889,66.63,9.14
182	,1721.TW,三晃,14.7,-0.68,328,38.17,1.41
183	,1722.TW,台肥,53.3,-0.37,1173,69.67,4.31
184	,1723.TW,中碳,105.5,0,91,58.39,1.8
185	,1725.TW,元禎,20.2,0.5,11,94.76,0.48
186	,1726.TW,永記,70.2,-0.14,45,86.57,0
187	,1727.TW,中華化,24.75,1.02,171,54.44,9.13
188	,1730.TW,花仙子,55.3,-0.18,10,57.94,0
189	,1731.TW,美吾華,19.75,0,269,59.89,0.76
190	,1732.TW,毛寶,32,-2.14,848,49.86,46.55
191	,1733.TW,五鼎,25.45,-0.39,223,22.75,0
192	,1734.TW,杏輝,32.6,-1.66,2849,38.14,6.18
193	,1735.TW,日勝化,15.2,0.33,8,87.62,0
194	,1736.TW,喬山,69.1,-0.58,625,84.7,9.86
195	,1737.TW,臺鹽,32.2,-0.77,61,60.56,0
196	,1742.TW,台蠟,14.6,-0.34,9,76.93,0
197	,1752.TW,南光,61,-4.54,17694,65.37,42.82
198	,1760.TW,寶齡富錦,175.5,-1.96,12029,53.51,32.68
199	,1762.TW,中化生,64.1,-2.29,1262,50.09,1.56
200	,1773.TW,勝一,115.5,0.87,124,74.14,7.01
201	,1776.TW,展宇,16.45,-0.3,8,70.24,0
202	,1777.TW,生泰,82.6,-1.9,181,60.97,0.51
203	,1781.TW,合世,14.95,-1.97,192,38.35,0
204	,1783.TW,和康生,45.5,-4.51,2263,57.51,2.26
205	,1784.TW,訊聯,43.7,-0.46,233,38.39,1.66
206	,1785.TW,光洋科,32.25,0.62,398,43.31,2.58
207	,1786.TW,科妍,53.6,-1.11,609,54.32,11.5
208	,1788.TW,杏昌,144,0,12,51.67,11.11
209	,1789.TW,神隆,25.2,-0.98,1010,78.99,0.15
210	,1795.TW,美時,250.5,1.83,13203,79.45,39.57
211	,1796.TW,金穎生技,66.9,0,37,62.86,0.17
212	,1799.TW,易威,16,-0.31,4,74.43,0
213	,1802.TW,台玻,21.35,0.47,5303,86.18,46.64
214	,1805.TW,寶徠,10.65,0,0,79.44,0
215	,1806.TW,冠軍,8.85,-1.12,197,72.53,0.04
216	,1808.TW,潤隆,69.2,-0.43,226,89.55,1.19
217	,1809.TW,中釉,12.45,0.81,540,53.78,0.21
218	,1810.TW,和成,18.6,0.54,10813,67.36,15.61
219	,1813.TW,寶利徠,22.95,0.66,9,49.31,0.29
220	,1815.TW,富喬,11.7,0.43,233,31.83,3.28
221	,1817.TW,凱撒衛,37.9,0.13,15,56.02,0
222	,1903.TW,士紙,49.8,0,19,85.26,0.05
223	,1904.TW,正隆,27.35,0,278,67.39,0.8
224	,1905.TW,華紙,16.05,-0.62,410,73.51,1.1
225	,1906.TW,寶隆,16.85,0,33,74.19,0.09
226	,1907.TW,永豐餘,24.6,0.61,753,81.09,0.67
227	,1909.TW,榮成,16.25,-0.61,4626,67.43,2.48
228	,2002.TW,中鋼,30.25,1.51,26160,64.38,16.74
229	,2006.TW,東和鋼鐵,51.8,-1.71,945,72.11,7.31
230	,2007.TW,燁興,12.5,3.73,4113,76.5,10.58
231	,2008.TW,高興昌,18.15,1.68,28,88.71,0
232	,2009.TW,第一銅,30.15,0.84,1403,56.51,59.27
233	,2010.TW,春源,15.9,-0.31,211,66.55,1.69
234	,2012.TW,春雨,23.7,-1.25,79,82.17,0.13
235	,2013.TW,中鋼構,59,0,102,79.31,1.14
236	,2014.TW,中鴻,27.1,1.31,10104,55.94,61.37
237	,2015.TW,豐興,63.9,0.31,102,88.33,0
238	,2017.TW,官田鋼,13.9,0.36,377,62.23,1.09
239	,2020.TW,美亞,23.2,1.09,209,58.41,0.2
240	,2022.TW,聚亨,8.31,-0.12,290,28.91,0
241	,2023.TW,燁輝,16.05,0.31,2794,71.49,1.25
242	,2024.TW,志聯,18.6,0,42,75.57,1.94
243	,2025.TW,千興,4.92,-1.4,343,42.82,0
244	,2027.TW,大成鋼,42.6,0.47,6145,62.69,5.69
245	,2028.TW,威致,27.9,0.9,980,80.47,1.55
246	,2029.TW,盛餘,24.4,-0.41,260,71.33,2.47
247	,2030.TW,彰源,23.25,0.22,848,37.25,0.74
248	,2031.TW,新光鋼,43.4,1.17,1381,51.96,10.98
249	,2032.TW,新鋼,20.35,0.25,823,53.23,9.91
250	,2033.TW,佳大,15.75,0,436,64.17,2.81
251	,2034.TW,允強,29.3,1.21,845,47.28,4.54
252	,2035.TW,唐榮,31.85,0.31,15,96.6,0
253	,2038.TW,海光,22.05,0.23,995,51.26,5.89
254	,2049.TW,上銀,181,-0.82,675,65.26,3.21
255	,2059.TW,川湖,382.5,-0.39,182,72.2,0.53
256	,2061.TW,風青,24,-2.64,128,54.24,0.56
257	,2062.TW,橋椿,22.6,0,124,65.17,0.03
258	,2063.TW,世鎧,44.1,1.38,360,60.46,0
259	,2064.TW,晉椿,18,0,5,82.02,0.2
260	,2065.TW,世豐,51.6,-0.39,39,45.59,0
261	,2066.TW,世德,73,-0.82,72,68.79,0.83
262	,2067.TW,嘉鋼,10.65,-2.74,19,63.48,0
263	,2069.TW,運錩,21.3,-0.7,559,54.72,1.86
264	,2070.TW,精湛,38,0.13,95,74.62,0
265	,2101.TW,南港,33.1,-1.05,451,75.09,0.06
266	,2102.TW,泰豐,19.95,-0.25,389,74.9,1.1
267	,2103.TW,台橡,27.25,0.74,489,65.27,0.27
268	,2104.TW,國際中橡,19.4,-0.26,637,49,0.1
269	,2105.TW,正新,34.1,0.59,2189,80.46,1.44
270	,2106.TW,建大,30.3,0,368,82.15,0
271	,2107.TW,厚生,21.65,-0.46,99,53.97,0.65
272	,2108.TW,南帝,37.15,0.27,305,70.8,32.63
273	,2109.TW,華豐,14.45,-0.34,104,73.95,0
274	,2114.TW,鑫永銓,97,-0.21,3,63.69,0
275	,2115.TW,六暉-KY,29.65,0,9,75.4,0
276	,2201.TW,裕隆,63.2,1.94,17978,73.02,26.66
277	,2204.TW,中華,50.9,-1.17,810,75.3,3.38
278	,2206.TW,三陽工業,33.95,0.3,885,81.15,2.57
279	,2207.TW,和泰車,592,0.68,165,91.66,0
280	,2208.TW,台船,19.2,-1.54,1399,55.02,6.25
281	,2211.TW,長榮鋼,51.4,-0.39,10218,85.76,0
282	,2221.TW,大甲,38.25,0.66,25,66.68,0.3
283	,2227.TW,裕日車,189,0,6,94.52,0
284	,2228.TW,劍麟,74.8,3.03,143,59.71,0.42
285	,2230.TW,泰茂,32.1,1.26,621,52.35,7.19
286	,2231.TW,為升,139.5,1.09,326,65.33,0.79
287	,2233.TW,宇隆,100,-0.99,59,49.13,0
288	,2235.TW,謚源,46.75,-0.21,0,79.86,0
289	,2236.TW,百達-KY,26.05,0.58,1841,73.05,3.66
290	,2239.TW,英利-KY,59,0.68,51,81.02,2.53
291	,2241.TW,艾姆勒,31,0.32,12,62.18,0
292	,2243.TW,宏旭-KY,16.7,2.14,927,68.92,2.99
293	,2247.TW,汎德永業,211,-0.47,19,78.6,0
294	,2250.TW,IKKA-KY,71.6,0,14,64.72,0
295	,2301.TW,光寶科,64.2,0.63,3481,85.84,4.52
296	,2302.TW,麗正,16.75,0.3,162,69.31,0.98
297	,2303.TW,聯電,41.4,1.72,34838,61.02,28.91
298	,2305.TW,全友,26.3,2.94,731,75.34,8.1
299	,2308.TW,台達電,285.5,-0.35,4621,87.75,30.79
300	,2312.TW,金寶,13.5,0,1551,63.89,1.22
301	,2313.TW,華通,45.55,2.36,5331,72.92,7.37
302	,2314.TW,台揚,39,-0.64,330,30.93,6.43
303	,2316.TW,楠梓電,27,0.37,25,55.71,1.36
304	,2317.TW,鴻海,99.1,-0.8,47342,70.79,1.21
305	,2321.TW,東訊,6.16,2.5,22,39.29,0
306	,2323.TW,中環,7.36,1.52,1568,39.31,0.64
307	,2324.TW,仁寶,23.2,0.65,9711,70.52,8.63
308	,2327.TW,國巨,465.5,3.22,1742,58.18,20.26
309	,2328.TW,廣宇,38.1,2.14,1781,42.77,1.17
310	,2329.TW,華泰,17.65,0.57,898,44.15,1.08
311	,2330.TW,台積電,453,1,15311,88.1,3.88
312	,2331.TW,精英,21.25,3.16,2345,68.52,3.73
313	,2332.TW,友訊,14.8,-0.34,833,45.33,1.12
314	,2337.TW,旺宏,34.25,1.48,3017,47.32,19.73
315	,2338.TW,光罩,87.5,3.31,6908,57.64,53.53
316	,2340.TW,台亞,34,0.74,506,41.04,13.16
317	,2342.TW,茂矽,37.8,1.89,529,44.29,4.46
318	,2344.TW,華邦電,19.75,0.77,6210,63.92,12.5
319	,2345.TW,智邦,242,3.2,1554,78.55,20.98
320	,2347.TW,聯強,59.1,-0.17,2803,84.66,4.03
321	,2348.TW,海悅,63.7,0.16,27,79.85,1.93
322	,2349.TW,錸德,7.69,1.05,727,26.05,0
323	,2351.TW,順德,97.5,1.14,487,74.43,12.57
324	,2352.TW,佳世達,27.8,-1.24,2911,60.45,10.68
325	,2353.TW,宏碁,23.65,0.42,5704,51.94,12.37
326	,2354.TW,鴻準,51.3,-1.16,2552,55.5,0.81
327	,2355.TW,敬鵬,28.85,0.35,169,51.85,0.98
328	,2356.TW,英業達,26.1,-0.57,5224,82.94,41.76
329	,2357.TW,華碩,270,0.56,1059,70.23,39.07
330	,2358.TW,廷鑫,14.05,0,524,31.63,2.84
331	,2359.TW,所羅門,27.2,4.21,4780,48.52,3.41
332	,2360.TW,致茂,182,0.55,240,83.63,11.03
333	,2362.TW,藍天,30.6,0,64,82.95,0
334	,2363.TW,矽統,16.2,-0.31,1263,36.87,4.75
335	,2364.TW,倫飛,101.5,2.42,783,61.18,66.38
336	,2365.TW,昆盈,10.25,-1.44,455,38.15,0
337	,2367.TW,燿華,17.6,2.03,1907,33.69,2.56
338	,2368.TW,金像電,89.2,2.76,5622,80.99,42.72
339	,2369.TW,菱生,13.05,0.77,329,33.46,1.64
340	,2371.TW,大同,34.7,0.58,4406,82.61,1.75
341	,2373.TW,震旦行,77.9,0,50,88.83,0
342	,2374.TW,佳能,20.3,0,327,39.1,0.37
343	,2375.TW,凱美,53.9,0.75,133,20.3,5.59
344	,2376.TW,技嘉,111,4.23,10764,68.15,31.11
345	,2377.TW,微星,122.5,2.51,1701,80.27,27.23
346	,2379.TW,瑞昱,289,2.85,1553,74.16,23.8
347	,2380.TW,虹光,11.3,1.35,322,46.31,0
348	,2382.TW,廣達,72.1,-0.28,8341,88.9,16.22
349	,2383.TW,台光電,176.5,3.22,1491,81.4,39.18
350	,2385.TW,群光,86.1,-0.23,744,79.1,1.97
351	,2387.TW,精元,38.15,0.26,287,67.42,1.87
352	,2388.TW,威盛,69.1,2.67,10481,73.04,33.54
353	,2390.TW,云辰,12.05,-0.41,756,37.06,1
354	,2392.TW,正崴,37.1,0.54,612,49.61,0.64
355	,2393.TW,億光,36.65,-0.81,235,53.3,0.84
356	,2395.TW,研華,334,0.91,411,88.52,4.76
357	,2397.TW,友通,59,0.17,19,83.28,0
358	,2399.TW,映泰,13.7,3.01,8033,22.95,5.02
359	,2401.TW,凌陽,22.65,1.12,575,40.07,6.29
360	,2402.TW,毅嘉,17.9,-1.65,1938,44.08,1.11
361	,2404.TW,漢唐,184,0.55,405,41.95,6.42
362	,2405.TW,輔信,11.75,1.73,570,21.23,0.26
363	,2406.TW,國碩,18.55,0.82,750,27.58,0.92
364	,2408.TW,南亞科,53,3.52,7493,85.77,56.37
365	,2409.TW,友達,15.45,3,31623,58.92,16.74
366	,2412.TW,中華電,113,0,7433,80.07,9.62
367	,2413.TW,環科,26,4.84,1117,56.62,6.53
368	,2414.TW,精技,30.3,-0.16,18,56.97,0
369	,2415.TW,錩新,20.15,-1.23,47,52.99,2.37
370	,2417.TW,圓剛,22.2,0,210,40.25,3.54
371	,2419.TW,仲琦,24.4,1.88,820,70.03,3
372	,2420.TW,新巨,39.2,-0.13,61,47.12,0
