符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
133	,1539.TW,巨庭,20.85,3.73,1153,0,0,0,12
134	,1540.TW,喬福,14.75,0,78,0,0,0,12
135	,1541.TW,錩泰,43.2,0,1,2,0,0,18
136	,1558.TW,伸興,144,0.7,51,0,0,0,9
137	,1560.TW,中砂,89.6,1.01,5930,0,6,0,14
138	,1565.TW,精華,305,0.66,87,0,6,8,10
139	,1568.TW,倉佑,21,0.72,66,5,0,0,12
140	,1569.TW,濱川,25.1,0.6,270,1,0,0,14
141	,1570.TW,力肯,24.15,0,2491,6,0,0,13
142	,1580.TW,新麥,104.5,0.48,60,0,3,0,5
143	,1582.TW,信錦,68.4,-0.15,188,1,0,3,8
144	,1584.TW,精剛,17.5,0.86,373,13,0,0,7
145	,1586.TW,和勤,40.95,0.37,83,0,0,0,23
146	,1587.TW,吉茂,25.3,0.6,69,0,0,0,5
147	,1589.TW,永冠-KY,60.9,-0.16,432,0,0,0,6
148	,1590.TW,亞德客-KY,849,1.07,348,0,3,2,11
149	,1591.TW,駿吉-KY,14.75,-0.67,125,3,0,0,7
150	,1593.TW,祺驊,83,-0.95,35,4,0,0,9
151	,1595.TW,川寶,47.75,0.32,198,2,0,0,14
152	,1597.TW,直得,86.3,-0.58,90,1,1,2,14
153	,1598.TW,岱宇,59.5,0.51,298,0,2,1,15
154	,1599.TW,宏佳騰,43.35,-0.12,124,0,0,0,17
155	,1603.TW,華電,26.6,0.57,105,4,0,0,20
156	,1604.TW,聲寶,29.45,0.17,430,0,2,1,12
157	,1605.TW,華新,26.25,0.77,3640,6,7,3,16
158	,1608.TW,華榮,21.4,0.47,739,13,1,0,10
159	,1609.TW,大亞,24.1,-0.21,3615,4,2,2,8
160	,1611.TW,中電,17,2.72,54253,5,0,1,17
161	,1612.TW,宏泰,25.1,0.6,1044,3,1,1,10
162	,1614.TW,三洋電,36.35,0.97,55,0,0,0,15
163	,1615.TW,大山,32,0,119,5,0,0,11
164	,1616.TW,億泰,12.75,9.44,15784,16,0,0,15
165	,1617.TW,榮星,18,0.56,118,5,0,0,16
166	,1618.TW,合機,14.25,0.35,310,4,0,0,11
167	,1626.TW,艾美特-KY,19.15,-0.52,57,0,0,0,5
168	,1701.TW,中化,22.6,0,167,0,0,0,4
169	,1702.TW,南僑,49.05,0.51,214,0,5,4,5
170	,1707.TW,葡萄王,163.5,1.55,87,0,1,1,9
171	,1708.TW,東鹼,36,1.27,18096,6,1,0,13
172	,1709.TW,和益,22.65,0.22,1749,1,1,0,11
173	,1710.TW,東聯,22.4,1.36,3413,2,0,2,7
174	,1711.TW,永光,26.15,0.77,5998,7,0,0,15
175	,1712.TW,興農,27.9,0.36,852,0,0,0,11
176	,1713.TW,國化,24,0.42,15,1,0,0,7
177	,1714.TW,和桐,11.6,0,10931,3,0,0,10
178	,1717.TW,長興,36.45,0.83,1331,1,4,14,5
179	,1718.TW,中纖,10.05,0.6,6220,3,1,1,6
180	,1720.TW,生達,39.85,0.13,55,0,0,0,13
181	,1721.TW,三晃,28.6,-1.72,46531,14,0,0,19
182	,1722.TW,台肥,68.6,1.18,1392,0,19,6,6
183	,1723.TW,中碳,115,1.77,407,1,3,0,8
184	,1725.TW,元禎,36,0.42,432,15,0,0,15
185	,1726.TW,永記,73.5,0,12,0,0,0,10
186	,1727.TW,中華化,52.2,0.38,8401,22,0,0,11
