符合條件商品
資料日期：2023年  1月  3日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2023-01-03 23:28 符合檔數(1446)
85	,1459.TW,聯發,8.2,-0.49,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
86	,1463.TW,強盛,14.25,-0.35,99,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
87	,1464.TW,得力,14.05,0,161,0,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0
88	,1465.TW,偉全,13.95,0.72,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89	,1466.TW,聚隆,11.95,-1.24,68,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
90	,1467.TW,南緯,11.15,0.45,6227,0,11,0,0,0,0,0,0,0,10,8,1,0,0,5,0
91	,1470.TW,大統新創,18.45,1.37,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92	,1473.TW,台南,21.2,1.44,115,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0
93	,1474.TW,弘裕,12,0.42,39,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
94	,1475.TW,業旺,64,0.47,58,0,2,0,0,0,0,0,0,1,0,2,6,0,0,0,0
95	,1476.TW,儒鴻,483.5,-2.42,709,0,4,0,1,0,0,0,0,0,1,0,1,8,1,1,1
96	,1477.TW,聚陽,225.5,-3.22,2767,1,0,0,1,5,1,0,4,1,1,0,0,0,1,0,0
97	,1503.TW,士電,61,0.83,265,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
98	,1504.TW,東元,27.35,-0.73,2031,0,0,0,0,0,0,0,4,1,1,3,1,4,1,0,0
99	,1513.TW,中興電,72.1,7.29,57810,6,5,4,1,1,2,10,2,0,0,0,0,0,0,0,9
100	,1514.TW,亞力,30.5,3.92,8738,0,1,0,1,2,0,0,0,0,5,0,0,1,0,1,3
101	,1515.TW,力山,29.9,0,277,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,1
102	,1516.TW,川飛,19.8,-0.5,32,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0
103	,1517.TW,利奇,20.6,2.23,775,5,0,6,1,7,4,0,0,2,0,0,0,0,0,1,0
104	,1519.TW,華城,52.4,8.49,25523,0,0,1,0,1,0,1,1,0,0,4,0,1,0,0,1
105	,1521.TW,大億,34.45,-1.29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106	,1522.TW,堤維西,27.95,0.36,2732,0,0,0,3,0,0,0,2,3,1,0,1,1,0,0,0
107	,1524.TW,耿鼎,24.7,-0.6,3484,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0
108	,1525.TW,江申,56.8,-0.35,31,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
109	,1526.TW,日馳,40.85,0.74,133,0,9,0,0,0,0,0,2,1,10,2,7,0,0,0,0
110	,1527.TW,鑽全,40.9,-0.12,133,0,0,0,0,0,1,0,2,0,3,4,4,0,0,0,0
111	,1528.TW,恩德,10.05,-0.99,334,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
112	,1529.TW,樂事綠能,21.3,5.45,9701,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,1
113	,1530.TW,亞崴,31,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114	,1531.TW,高林股,13.9,-0.71,18,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0
115	,1532.TW,勤美,28.8,0.35,183,0,6,0,0,1,0,0,0,0,10,1,0,1,3,3,0
116	,1533.TW,車王電,49,0.31,64,0,0,0,1,0,0,0,0,1,4,0,4,1,0,1,0
117	,1535.TW,中宇,42.85,0,64,0,7,0,0,0,0,0,1,0,8,2,7,0,0,0,0
118	,1536.TW,和大,67,0,3200,0,6,0,2,3,1,0,0,2,10,0,0,0,4,4,0
119	,1537.TW,廣隆,137,0,46,0,0,1,0,0,0,0,0,0,0,1,2,4,0,0,0
120	,1539.TW,巨庭,28.75,0.52,179,0,0,1,1,1,0,0,1,4,0,0,0,0,0,0,0
121	,1540.TW,喬福,15.25,0,41,0,3,0,0,0,0,0,0,0,0,2,7,0,0,0,0
122	,1541.TW,錩泰,33.3,-0.6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123	,1558.TW,伸興,119,0,44,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0
124	,1560.TW,中砂,108,2.37,2032,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1,0
125	,1565.TW,精華,249,1.01,105,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,1
126	,1568.TW,倉佑,22.55,-0.66,115,0,2,0,1,0,0,0,0,0,6,0,1,0,0,0,0
127	,1569.TW,濱川,22,0,126,2,18,0,6,0,0,0,1,0,5,0,21,0,0,0,0
128	,1570.TW,力肯,16.65,-1.19,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
129	,1580.TW,新麥,90.3,-0.66,60,0,0,0,2,0,0,0,0,0,1,0,3,0,1,1,0
130	,1582.TW,信錦,59.1,0.17,57,0,0,2,0,2,0,0,0,0,0,2,0,1,0,1,0
131	,1583.TW,程泰,61.2,-0.65,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
132	,1584.TW,精剛,22.4,0.22,3858,0,1,0,0,1,0,0,0,1,5,1,0,0,0,0,0
133	,1586.TW,和勤,35,4.48,68,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0
134	,1587.TW,吉茂,21.35,-1.84,75,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
135	,1589.TW,永冠-KY,57.3,0.7,96,2,0,6,2,2,0,0,2,0,0,0,0,1,0,0,0
136	,1590.TW,亞德客-KY,930,-0.11,579,0,0,0,1,1,0,2,2,0,1,0,0,2,0,0,0
137	,1591.TW,駿吉-KY,17,1.19,61,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1
138	,1595.TW,川寶,38.1,-0.26,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
139	,1597.TW,直得,68.9,-1.57,44,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0
140	,1598.TW,岱宇,41.05,0.86,120,1,5,0,0,0,0,0,0,5,6,7,2,1,0,1,0
141	,1599.TW,宏佳騰,39.05,-0.13,7,0,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0
142	,1603.TW,華電,25.95,-0.19,260,0,6,0,0,0,1,0,0,0,7,2,7,0,0,0,0
143	,1604.TW,聲寶,26.2,-1.13,124,0,0,0,0,0,1,0,0,1,1,3,1,0,0,0,0
144	,1605.TW,華新,46.95,-0.53,76318,0,0,0,1,0,3,2,0,1,1,0,1,0,0,1,0
145	,1608.TW,華榮,13.65,-0.36,460,0,1,0,0,1,0,0,0,1,3,5,0,1,0,3,0
146	,1609.TW,大亞,20.85,2.71,10695,6,0,2,1,10,1,0,0,1,0,0,0,0,0,1,0
147	,1611.TW,中電,13.15,-0.38,396,0,0,0,2,0,0,0,2,0,1,0,3,1,0,0,4
