符合條件商品
資料日期：2022年  1月  4日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-05 08:37 符合檔數(1442)
94	,1503.TW,士電,53.2,-0.93,59,0.43,0.64,0.55,0,0.11,0.33
95	,1504.TW,東元,31.1,-0.48,1420,0.6,0.46,0.5,0.57,0.52,0.42
96	,1507.TW,永大,64.4,0,62,0.4,0.62,0.47,0,0,0.4
97	,1513.TW,中興電,45.1,0.56,1737,0.76,0.74,0.64,0.59,0.55,0.56
98	,1514.TW,亞力,25.95,-0.19,526,0.6,0.7,0.37,0,0.22,0.5
99	,1515.TW,力山,56.5,1.07,1223,0.42,0.7,0.64,0,0.55,0.62
100	,1516.TW,川飛,24.25,2.32,374,0.63,0.57,0.36,0,0.17,0.19
101	,1517.TW,利奇,27.05,0,853,0.68,0.62,0.55,0,0.63,0.52
102	,1519.TW,華城,36.95,-0.14,214,0.6,0.74,0.71,0.13,0.54,0.66
103	,1521.TW,大億,40.3,-0.12,41,0.34,0.53,0.14,0,0,0.27
104	,1522.TW,堤維西,19.6,2.08,1091,0.58,0.54,0.38,0.08,0.22,0.52
105	,1524.TW,耿鼎,11.1,-2.2,564,0.6,0.65,0.16,0,0.26,0.26
106	,1525.TW,江申,61,0,17,0.54,0.68,0.35,0,0.07,0.51
107	,1526.TW,日馳,50.4,0.9,285,0.68,0.58,0.41,0,0.48,0.46
108	,1527.TW,鑽全,44,1.15,436,0.68,0.62,0.45,0.12,0.32,0.54
109	,1528.TW,恩德,11.55,-1.7,843,0.52,0.58,0.26,0.08,0.22,0.32
110	,1529.TW,樂士,24.3,-0.21,4199,0.52,0.6,0.31,0,0.56,0.44
111	,1530.TW,亞崴,33.3,-0.3,9,0.4,0.51,0.29,0,0,0.26
112	,1531.TW,高林股,16,0,255,0.57,0.43,0.24,0,0,0.18
113	,1532.TW,勤美,32.7,0,131,0.58,0.62,0.4,0.3,0.19,0.46
114	,1533.TW,車王電,63.7,7.24,12814,0.69,0.6,0.36,0.33,0.57,0.56
115	,1535.TW,中宇,40.3,-0.25,79,0.48,0.54,0.21,0,0,0.28
116	,1536.TW,和大,90.8,0.22,520,0.38,0.71,0.66,0.21,0.46,0.56
117	,1537.TW,廣隆,138.5,0,56,0.38,0.54,0.35,0.08,0,0.4
118	,1539.TW,巨庭,21.8,-0.91,208,0.54,0.57,0.3,0,0.31,0.25
119	,1540.TW,喬福,15.05,0,134,0.46,0.49,0.19,0,0,0.26
120	,1541.TW,錩泰,44,-0.45,5,0.43,0.61,0.15,0,0,0.18
