符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
175	,5227.TW,立凱-KY,73,3.55,5761,0.97
176	,6666.TW,羅麗芬-KY,89.3,-3.25,986,0.97
177	,2413.TW,環科,39.95,-2.8,5058,0.97
178	,8086.TW,宏捷科,90.6,-3.72,3210,0.97
179	,3324.TW,雙鴻,239,-1.65,4430,0.97
180	,6234.TW,高僑,29.7,-4.96,3658,0.96
181	,5439.TW,高技,63.7,0,1515,0.96
182	,4714.TW,永捷,11.8,-1.67,448,0.96
183	,3380.TW,明泰,39.3,1.16,7542,0.96
184	,4175.TW,杏一,104,-4.59,990,0.96
185	,4919.TW,新唐,142.5,-0.7,2831,0.96
186	,1721.TW,三晃,14.4,-2.04,722,0.95
187	,2347.TW,聯強,61,-1.13,2012,0.95
188	,1514.TW,亞力,50,-2.15,8452,0.95
189	,8033.TW,雷虎,74.6,-2.61,16677,0.95
190	,6538.TW,倉和,108,-5.26,1598,0.95
191	,2101.TW,南港,38.4,-1.41,1266,0.95
192	,6531.TW,愛普*,301,-0.82,5122,0.94
193	,3037.TW,欣興,135.5,2.26,21484,0.94
194	,6806.TW,森崴能源,113.5,-4.22,17712,0.94
195	,3205.TW,佰研,45.8,2.92,5328,0.94
196	,2915.TW,潤泰全,56.4,-0.53,2573,0.94
197	,3224.TW,三顧,52.5,-1.32,2753,0.94
198	,8215.TW,明基材,39.7,-2.34,5030,0.94
199	,6715.TW,嘉基,151.5,-5.02,1406,0.93
200	,1795.TW,美時,265,-1.49,18672,0.93
201	,2453.TW,凌群,73.6,-5.28,20495,0.93
202	,6712.TW,長聖,227.5,-1.09,7306,0.93
203	,6134.TW,萬旭,27.75,1.28,13701,0.93
204	,4190.TW,佐登-KY,103,-0.96,1696,0.93
205	,3044.TW,健鼎,115,-2.54,933,0.93
206	,2754.TW,亞洲藏壽司,169,-8.65,6359,0.93
207	,8436.TW,大江,219,-4.37,6766,0.93
208	,5880.TW,合庫金,26.4,-0.75,5510,0.93
209	,3443.TW,創意,1050,1.94,3606,0.92
210	,4123.TW,晟德,50.1,-0.6,14472,0.92
211	,5289.TW,宜鼎,297,-2.94,1758,0.92
212	,2542.TW,興富發,41.85,-0.36,2087,0.92
213	,6160.TW,欣技,31.65,-5.24,9119,0.91
214	,2603.TW,長榮,170.5,1.49,19690,0.91
215	,3081.TW,聯亞,128,-0.78,907,0.91
216	,4174.TW,浩鼎,87.6,-3.42,1483,0.91
217	,4906.TW,正文,32.1,-1.23,4173,0.91
218	,3362.TW,先進光,96,-2.54,3548,0.91
219	,3264.TW,欣銓,55.8,-1.24,5919,0.91
220	,1783.TW,和康生,59.7,-3.86,8960,0.91
221	,2353.TW,宏碁,29.7,-0.34,9861,0.9
222	,6235.TW,華孚,95.4,-4.22,36221,0.9
223	,6111.TW,大宇資,67,0,1316,0.9
224	,4961.TW,天鈺,163.5,-5.76,9786,0.9
225	,3305.TW,昇貿,52.1,-3.34,2296,0.9
226	,6547.TW,高端疫苗,68.5,-1.3,7131,0.89
227	,6811.TW,宏碁資訊,244,-4.69,2969,0.89
228	,6799.TW,來頡,166,-8.29,4325,0.89
229	,6213.TW,聯茂,74.1,-0.67,981,0.89
230	,6139.TW,亞翔,45.2,-3.21,2246,0.88
231	,3011.TW,今皓,31.3,6.83,8403,0.88
232	,6223.TW,旺矽,135,-2.17,2996,0.88
233	,2472.TW,立隆電,65.7,-1.35,914,0.88
234	,2329.TW,華泰,20.85,-2.11,3310,0.88
235	,3704.TW,合勤控,42.85,-5.62,17541,0.88
236	,6278.TW,台表科,100,1.21,1576,0.88
237	,2379.TW,瑞昱,385,-0.52,2292,0.88
238	,6209.TW,今國光,32.5,-2.55,2629,0.88
239	,2362.TW,藍天,30.55,-1.61,611,0.88
240	,6841.TW,長佳智能,118.5,-1.66,9454,0.88
241	,6122.TW,擎邦,32.6,-5.78,8754,0.87
