符合條件商品
資料日期：2023年  4月 20日
策略,	01主力賣出股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-20 23:58 符合檔數(641)
197	,1701.TW,中化,26.35,-2.77,3873,1.53
198	,3217.TW,優群,106,-6.19,2451,1.53
199	,6590.TW,普鴻,96.7,-7.02,751,1.53
200	,5704.TW,老爺知,63,0.32,1885,1.52
201	,1215.TW,卜蜂,92.3,-2.02,2290,1.52
202	,3714.TW,富采,52.3,-2.43,5570,1.52
203	,6140.TW,訊達,22.55,-1.96,1304,1.52
204	,8110.TW,華東,13.7,-1.44,1632,1.52
205	,3141.TW,晶宏,102.5,-3.76,1941,1.51
206	,2027.TW,大成鋼,44.85,-0.44,5933,1.51
207	,3287.TW,廣寰科,14.5,-2.03,214,1.51
208	,3479.TW,安勤,99,-4.81,5713,1.51
209	,6781.TW,AES-KY,734,-2.65,632,1.5
210	,4207.TW,環泰,14.9,0,711,1.5
211	,2314.TW,台揚,47.5,-8.3,10559,1.49
212	,8271.TW,宇瞻,53,-4.5,1450,1.49
213	,3034.TW,聯詠,445,-1.11,2613,1.48
214	,6488.TW,環球晶,482,0.21,1514,1.48
215	,4306.TW,炎洲,16.55,-0.3,1385,1.47
216	,1416.TW,廣豐,11.5,-1.71,298,1.47
217	,3652.TW,精聯,32.95,-9.97,8125,1.47
218	,2637.TW,慧洋-KY,62.7,-1.26,3776,1.47
219	,2337.TW,旺宏,34.1,0.44,4574,1.47
220	,5512.TW,力麒,9.98,-1.67,3479,1.47
221	,6485.TW,點序,103,-6.79,2119,1.47
222	,9914.TW,美利達,168,-0.88,399,1.47
223	,2460.TW,建通,22.85,-4.19,1048,1.47
224	,4102.TW,永日,31.4,0.64,4200,1.46
225	,8085.TW,福華,22.95,-3.77,1337,1.46
226	,6143.TW,振曜,95.3,-5.17,4644,1.46
227	,4121.TW,優盛,25.5,0.39,2936,1.45
228	,8121.TW,越峰,29.7,-1.82,2620,1.45
229	,6576.TW,逸達,95.6,-2.45,676,1.45
230	,4967.TW,十銓,73.5,-2.78,7535,1.44
231	,2332.TW,友訊,18.55,-2.11,4252,1.44
232	,4168.TW,醣聯,32.2,-2.42,1631,1.44
233	,6472.TW,保瑞,789,-6.74,1186,1.44
234	,2313.TW,華通,43.7,-0.23,9664,1.44
235	,1319.TW,東陽,47.15,-3.38,5116,1.44
236	,3004.TW,豐達科,115.5,-4.94,4930,1.44
237	,3231.TW,緯創,45.8,0.33,59554,1.44
238	,5328.TW,華容,14,-1.41,1475,1.43
239	,3218.TW,大學光,405.5,-1.93,493,1.43
240	,1301.TW,台塑,92.1,-0.43,5089,1.43
241	,8171.TW,天宇,58.3,-2.67,2047,1.43
242	,2369.TW,菱生,15.05,-2.9,966,1.42
243	,6550.TW,北極星藥業-KY,97.5,-1.91,4241,1.42
244	,6796.TW,晉弘,108,-3.14,771,1.42
245	,3712.TW,永崴投控,37.3,-4.36,5281,1.42
246	,2867.TW,三商壽,5.13,-0.97,8930,1.42
247	,3162.TW,精確,51.9,-4.42,4703,1.42
248	,5347.TW,世界,90.3,-0.66,6404,1.42
249	,8261.TW,富鼎,109.5,-3.1,1647,1.42
250	,3078.TW,僑威,54.7,-3.53,35343,1.41
251	,8028.TW,昇陽半導體,58.6,-1.84,2456,1.41
252	,3701.TW,大眾控,57,-2.23,2135,1.41
253	,3013.TW,晟銘電,22.7,-2.16,4781,1.41
254	,8105.TW,凌巨,14.2,-4.05,5453,1.41
255	,2492.TW,華新科,102,-0.97,3501,1.4
256	,6138.TW,茂達,168,-4.55,2745,1.4
257	,1909.TW,榮成,17.6,1.15,26605,1.4
258	,8926.TW,台汽電,48.55,-0.51,4578,1.4
259	,3504.TW,揚明光,80.6,-4.05,1743,1.4
260	,2345.TW,智邦,298.5,-6.57,4602,1.39
261	,6244.TW,茂迪,40,-3.38,77758,1.39
262	,2002.TW,中鋼,30.45,0,9454,1.39
263	,2887.TW,台新金,17.05,-0.58,10621,1.37
264	,1108.TW,幸福,15.4,-2.53,1926,1.37
265	,2891.TW,中信金,22.35,-0.45,10575,1.37
266	,6217.TW,中探針,45.7,-1.93,987,1.37
267	,8070.TW,長華*,34.65,-1.84,728,1.36
268	,4129.TW,聯合,62.4,-1.89,5693,1.36
269	,3032.TW,偉訓,52.8,-5.55,8506,1.36
270	,6751.TW,智聯服務,131,-2.6,1247,1.36
271	,3591.TW,艾笛森,24.35,-4.7,4030,1.35
272	,3206.TW,志豐,34.45,-1.15,622,1.35
273	,2732.TW,六角,172.5,-8.97,6260,1.35
274	,1809.TW,中釉,14.85,-0.34,6754,1.35
275	,6179.TW,亞通,32.55,-2.69,2355,1.35
276	,8996.TW,高力,210,-6.67,5327,1.35
277	,3059.TW,華晶科,34.55,-2.81,2395,1.34
278	,4541.TW,晟田,39,-5.57,4759,1.34
279	,1310.TW,台苯,14.85,0,551,1.34
280	,5410.TW,國眾,36.2,-2.16,622,1.34
281	,2441.TW,超豐,54.3,-0.37,726,1.34
282	,1708.TW,東鹼,42,-0.83,5362,1.33
283	,2722.TW,夏都,52.2,-4.74,1457,1.32
284	,6829.TW,千附精密,133.5,-7.29,4081,1.32
285	,3682.TW,亞太電,6.53,-1.36,2592,1.32
286	,6523.TW,達爾膚,147.5,2.08,2026,1.32
287	,3356.TW,奇偶,38.6,-2.4,1516,1.32
288	,7402.TW,邑錡,72.6,-4.35,1120,1.32
289	,4908.TW,前鼎,35.5,-2.2,1155,1.32
290	,8938.TW,明安,91.7,-1.4,1202,1.32
291	,6415.TW,矽力*-KY,501,-2.15,1877,1.32
292	,8927.TW,北基,46,0.22,2708,1.32
293	,4971.TW,IET-KY,67.6,-3.01,590,1.32
