符合條件商品
資料日期：2023年  4月 20日
策略,	00統計2021年資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停板的次數
執行時間：2023-04-21 00:24 符合檔數(1711)
169	,1701.TW,中化,26.35,-2.77,3873,5
170	,1702.TW,南僑,47.1,-1.05,326,0
171	,1707.TW,葡萄王,182,-3.45,466,0
172	,1708.TW,東鹼,42,-0.83,5362,8
173	,1709.TW,和益,25.5,-0.97,1253,1
174	,1710.TW,東聯,20.3,2.01,10365,0
175	,1711.TW,永光,19.35,1.57,7381,0
176	,1712.TW,興農,36.5,-2.01,1857,1
177	,1713.TW,國化,29.3,-1.68,124,0
178	,1714.TW,和桐,9.13,-1.72,1362,0
179	,1717.TW,長興,33.3,-1.33,2466,1
180	,1718.TW,中纖,8.28,-0.48,2481,0
181	,1720.TW,生達,66.4,-3.77,4147,3
182	,1721.TW,三晃,14.4,-2.04,722,4
183	,1722.TW,台肥,57.1,0.18,730,0
184	,1723.TW,中碳,113.5,0,143,0
185	,1725.TW,元禎,21.75,-0.23,42,4
186	,1726.TW,永記,74.3,0,11,0
187	,1727.TW,中華化,26.85,-3.42,955,4
188	,1730.TW,花仙子,57.3,-0.87,24,0
189	,1731.TW,美吾華,20.15,-0.49,160,1
190	,1732.TW,毛寶,27.75,-3.48,285,10
191	,1733.TW,五鼎,27.1,0.18,473,0
192	,1734.TW,杏輝,31.85,-3.04,1925,3
193	,1735.TW,日勝化,15.3,-1.92,15,2
194	,1736.TW,喬山,66.6,-1.48,500,3
195	,1737.TW,臺鹽,33.45,-0.45,198,0
196	,1742.TW,台蠟,14.7,-0.68,50,2
197	,1752.TW,南光,77.6,-4.2,7158,6
198	,1760.TW,寶齡富錦,176.5,-6.61,26243,16
199	,1762.TW,中化生,90.2,-3.94,3727,3
200	,1773.TW,勝一,127.5,-0.78,150,0
201	,1776.TW,展宇,16.9,0,8,0
202	,1777.TW,生泰,86.5,-2.92,175,1
203	,1781.TW,合世,15.05,-0.33,54,12
204	,1783.TW,和康生,59.7,-3.86,8960,3
205	,1784.TW,訊聯,57.4,1.23,5905,0
206	,1785.TW,光洋科,36.5,-1.62,1231,1
207	,1786.TW,科妍,75.5,2.86,4347,1
208	,1788.TW,杏昌,143.5,-0.35,43,1
209	,1789.TW,神隆,26.95,-1.28,1861,1
210	,1795.TW,美時,265,-1.49,18672,10
211	,1796.TW,金穎生技,114,-2.98,612,3
212	,1799.TW,易威,19.75,-0.25,57,5
213	,1802.TW,台玻,20.3,-4.02,9295,0
214	,1805.TW,寶徠,10.05,-0.5,9,0
215	,1806.TW,冠軍,9.25,0.98,1296,1
216	,1808.TW,潤隆,75.2,-1.57,355,1
217	,1809.TW,中釉,14.85,-0.34,6754,2
218	,1810.TW,和成,27.1,-2.52,48490,11
219	,1813.TW,寶利徠,22.15,-0.67,8,0
220	,1815.TW,富喬,12.1,-0.82,750,2
221	,1817.TW,凱撒衛,38.65,-0.77,72,0
222	,1903.TW,士紙,43.8,-0.11,2610,0
223	,1904.TW,正隆,29.45,3.7,12798,0
224	,1905.TW,華紙,19.1,9.77,14226,1
225	,1906.TW,寶隆,16.25,2.2,3753,0
226	,1907.TW,永豐餘,30,8.11,27645,0
227	,1909.TW,榮成,17.6,1.15,26605,0
228	,2002.TW,中鋼,30.45,0,9454,0
229	,2006.TW,東和鋼鐵,59.5,0.17,1282,0
230	,2007.TW,燁興,10.95,-1.79,722,3
231	,2008.TW,高興昌,19.6,-1.01,120,0
232	,2009.TW,第一銅,34.7,-4.41,6819,6
233	,2010.TW,春源,16.3,0.62,714,0
234	,2012.TW,春雨,26.55,-2.21,133,0
235	,2013.TW,中鋼構,57.7,-0.52,146,2
236	,2014.TW,中鴻,25.75,-1.53,9467,2
237	,2015.TW,豐興,69.1,-0.86,244,0
238	,2017.TW,官田鋼,17.8,0.56,759,2
239	,2020.TW,美亞,23.4,0,143,0
240	,2022.TW,聚亨,8.55,0.83,1330,3
241	,2023.TW,燁輝,15.65,-0.63,1153,0
242	,2024.TW,志聯,19.25,-0.26,15,10
243	,2025.TW,千興,5.54,-0.18,227,4
244	,2027.TW,大成鋼,44.85,-0.44,5933,0
245	,2028.TW,威致,26.85,-0.92,276,6
246	,2029.TW,盛餘,25.8,-2.27,268,0
247	,2030.TW,彰源,22.65,-1.74,1612,1
248	,2031.TW,新光鋼,48.8,5.29,11619,0
249	,2032.TW,新鋼,19.3,-2.53,335,9
250	,2033.TW,佳大,15.95,-2.15,318,10
251	,2034.TW,允強,29.2,-1.02,880,0
252	,2035.TW,唐榮,31.6,-0.47,13,2
253	,2038.TW,海光,21.1,-1.63,487,5
254	,2049.TW,上銀,244,-2.98,2098,2
255	,2059.TW,川湖,423,0.24,1642,0
256	,2061.TW,風青,21,-1.18,50,2
257	,2062.TW,橋椿,22.6,-0.66,280,2
258	,2063.TW,世鎧,41.15,-5.07,520,0
259	,2064.TW,晉椿,17.75,-1.39,16,9
260	,2065.TW,世豐,60,-1.15,133,0
261	,2066.TW,世德,98.2,-3.25,695,3
262	,2067.TW,嘉鋼,12.35,0.41,52,1
263	,2069.TW,運錩,20.05,-0.99,229,1
264	,2070.TW,精湛,33.6,-2.33,77,1
265	,2101.TW,南港,38.4,-1.41,1266,0
266	,2102.TW,泰豐,20.45,-1.21,481,1
267	,2103.TW,台橡,27.65,-1.25,1764,0
268	,2104.TW,國際中橡,19.85,-0.5,1869,0
269	,2105.TW,正新,36.9,-1.34,3804,0
270	,2106.TW,建大,31,-1.12,844,0
271	,2107.TW,厚生,21.9,-0.23,413,0
272	,2108.TW,南帝,39.35,-0.13,317,1
273	,2109.TW,華豐,14.15,0.35,63,0
274	,2114.TW,鑫永銓,99.2,-0.5,24,0
275	,2115.TW,六暉-KY,31.85,-0.47,103,0
276	,2201.TW,裕隆,82,-1.44,43764,3
277	,2204.TW,中華,75,7.91,32331,0
278	,2206.TW,三陽工業,53,-1.85,16789,3
279	,2207.TW,和泰車,640,-3.32,108,0
280	,2208.TW,台船,26,-1.33,18133,4
281	,2211.TW,長榮鋼,58.8,-0.51,764,0
282	,2221.TW,大甲,43.8,-1.68,250,2
283	,2227.TW,裕日車,194.5,-0.51,8,1
284	,2228.TW,劍麟,84.9,-1.62,391,0
285	,2230.TW,泰茂,81.5,-2.86,1522,22
286	,2231.TW,為升,179.5,-1.91,1089,0
287	,2233.TW,宇隆,116,-2.93,301,1
288	,2235.TW,謚源,46.15,0,0,1
289	,2236.TW,百達-KY,43.75,-5.61,883,5
290	,2239.TW,英利-KY,75.6,-3.08,235,0
291	,2241.TW,艾姆勒,34.8,-1.28,96,1
292	,2243.TW,宏旭-KY,21.05,-2.09,475,13
293	,2247.TW,汎德永業,282,-2.42,1016,0
294	,2250.TW,IKKA-KY,73.7,-0.94,35,0
295	,2301.TW,光寶科,72.9,-0.41,4631,1
296	,2302.TW,麗正,21.5,-3.59,2557,4
297	,2303.TW,聯電,50.7,-0.98,38506,0
298	,2305.TW,全友,23.9,-2.05,239,22
299	,2308.TW,台達電,306.5,0.33,5392,0
300	,2312.TW,金寶,13.4,-1.47,7618,0
301	,2313.TW,華通,43.7,-0.23,9664,1
302	,2314.TW,台揚,47.5,-8.3,10559,9
303	,2316.TW,楠梓電,29.4,0.51,286,0
304	,2317.TW,鴻海,104.5,0.48,19945,0
305	,2321.TW,東訊,23.4,4,12,3
306	,2323.TW,中環,8.2,-1.44,3160,2
307	,2324.TW,仁寶,24.15,-1.23,38302,0
308	,2327.TW,國巨,518,-3.18,2801,0
309	,2328.TW,廣宇,38.5,-1.66,6717,1
310	,2329.TW,華泰,20.85,-2.11,3310,0
311	,2330.TW,台積電,513,0.59,21003,0
312	,2331.TW,精英,23.55,-1.05,4369,1
313	,2332.TW,友訊,18.55,-2.11,4252,1
314	,2337.TW,旺宏,34.1,0.44,4574,0
315	,2338.TW,光罩,83.7,0.12,3979,3
316	,2340.TW,台亞,37,-1.99,2306,1
317	,2342.TW,茂矽,47.3,0.75,6860,1
