符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-10-31 18:46 符合檔數(1446)
127	,1580.TW,新麥,107,-0.47,72,0.01,10.36,7.72,0.18
128	,1582.TW,信錦,70.6,0.43,179,0.66,13.59,4.87,0
129	,1583.TW,程泰,63.5,0,7,0,0.23,0.12,0.04
130	,1584.TW,精剛,19.6,-3.45,1944,1.78,1.04,9.05,0
131	,1586.TW,和勤,41.8,-0.12,166,0.02,2.12,63.87,0
132	,1587.TW,吉茂,26.7,-1.29,218,0.02,21.85,6.12,0
133	,1589.TW,永冠-KY,64.1,-1.38,428,0.37,6.27,23.3,0
134	,1590.TW,亞德客-KY,830,-1.19,840,0.07,81.77,1.11,0.56
135	,1591.TW,駿吉-KY,15.15,-0.33,16,0.01,15.93,38.79,0
136	,1593.TW,祺驊,94,-0.84,13,0,1.14,18,0
137	,1595.TW,川寶,39.15,2.09,48,0.01,1.55,6.12,0
138	,1597.TW,直得,86.4,-0.92,141,0.04,4.95,6.43,0.26
139	,1598.TW,岱宇,64.8,-0.77,571,1.11,7.5,24.05,0
140	,1599.TW,宏佳騰,39.5,-1.74,106,0,12.45,4.92,0
141	,1603.TW,華電,27.05,0.56,128,0,1.32,3,0
142	,1604.TW,聲寶,29.6,0,424,0.02,10.83,0.96,0.06
143	,1605.TW,華新,25.95,0.19,7471,0.13,24.97,3.83,0.19
144	,1608.TW,華榮,21.15,-0.7,2614,0.16,2.17,9.36,0
145	,1609.TW,大亞,24.75,-1.2,4765,0.12,9.71,12.16,0.26
146	,1611.TW,中電,11.55,10,9486,0.07,10.34,4.67,0
147	,1612.TW,宏泰,26.45,2.12,6138,0.06,13.43,7.43,0.07
148	,1614.TW,三洋電,34.55,-0.43,18,0,2.09,0.57,0
149	,1615.TW,大山,33.05,0.46,42,0,0.7,1.64,0
150	,1617.TW,榮星,16.65,-0.6,36,0,21.51,1.52,0
151	,1618.TW,合機,14.5,0.35,160,0,2.03,13.63,0
152	,1626.TW,艾美特-KY,19.75,-0.25,59,0,44.47,10.04,0
153	,1701.TW,中化,22.1,-0.23,382,0,10.69,4.49,0
154	,1702.TW,南僑,48.4,-0.62,797,0.01,16.11,1.3,1.14
155	,1707.TW,葡萄王,162,0.31,58,0,10.46,1.57,0
156	,1708.TW,東鹼,30.7,-0.81,2596,0.23,7.52,15.65,0.06
157	,1709.TW,和益,20.4,-0.73,3973,0.02,6.41,6.02,0.01
158	,1710.TW,東聯,23.85,-1.04,14988,0.43,8.56,10.86,0.16
159	,1711.TW,永光,25.55,-0.78,35360,5.81,9.42,13.08,0
160	,1712.TW,興農,24.35,-0.61,836,0.08,11.05,1.36,0
161	,1713.TW,國化,23.7,-0.21,36,0.03,4.13,9.25,0
162	,1714.TW,和桐,10.4,-0.95,2601,0.03,17.56,10.06,0
163	,1717.TW,長興,36.8,0,10402,0.02,13.04,3.38,0.22
164	,1718.TW,中纖,10.15,-1.93,15026,0.09,8.66,11.14,0
165	,1720.TW,生達,38.55,0,156,0,2.59,1.95,0
166	,1721.TW,三晃,17.1,2.4,3545,6.17,2.97,25.66,0
167	,1722.TW,台肥,67.9,-1.74,4055,0.22,13.64,1.69,0.24
168	,1723.TW,中碳,123.5,3.35,6475,0.04,8.98,4.17,0.2
169	,1725.TW,元禎,25.75,-1.9,356,0.01,0.64,0.86,0
170	,1726.TW,永記,72.5,-0.41,50,0,13.82,0,0
171	,1727.TW,中華化,44.1,-1.78,21946,13.48,5.71,18.35,0.09
172	,1730.TW,花仙子,63.5,-0.16,22,0,7.74,0.3,0
173	,1731.TW,美吾華,19.25,0.26,211,0,1.02,4.01,0
174	,1732.TW,毛寶,25.15,0.4,162,2.34,3.11,9.1,0
175	,1733.TW,五鼎,22.95,-1.08,136,0,4.18,4.51,0
176	,1734.TW,杏輝,29.2,0.34,2595,0.3,2.93,19.1,0
177	,1735.TW,日勝化,17.9,-0.28,5,0,50.42,0.31,0.12
