符合條件商品
資料日期：2023年  1月  3日
策略,	00周KDSAR
序號,	代碼,	商品,	成交,	漲幅%,	總量,	k15,	SAR
執行時間：2023-01-03 23:26 符合檔數(1766)
225	,1906.TW,寶隆,16.85,0,33,3,1
226	,1907.TW,永豐餘,24.6,0.61,753,9,1
227	,1909.TW,榮成,16.25,-0.61,4626,4,2
228	,2002.TW,中鋼,30.25,1.51,26160,7,2
229	,2006.TW,東和鋼鐵,51.8,-1.71,945,6,1
230	,2007.TW,燁興,12.5,3.73,4113,17,2
231	,2008.TW,高興昌,18.15,1.68,28,1,2
232	,2009.TW,第一銅,30.15,0.84,1403,11,2
233	,2010.TW,春源,15.9,-0.31,211,6,2
234	,2012.TW,春雨,23.7,-1.25,79,1,2
235	,2013.TW,中鋼構,59,0,102,0,2
236	,2014.TW,中鴻,27.1,1.31,10104,11,2
237	,2015.TW,豐興,63.9,0.31,102,19,2
238	,2017.TW,官田鋼,13.9,0.36,377,9,2
239	,2020.TW,美亞,23.2,1.09,209,3,1
240	,2022.TW,聚亨,8.31,-0.12,290,13,2
241	,2023.TW,燁輝,16.05,0.31,2794,9,2
242	,2024.TW,志聯,18.6,0,42,8,1
243	,2025.TW,千興,4.92,-1.4,343,3,2
244	,2027.TW,大成鋼,42.6,0.47,6145,10,2
245	,2028.TW,威致,27.9,0.9,980,12,2
246	,2029.TW,盛餘,24.4,-0.41,260,9,2
247	,2030.TW,彰源,23.25,0.22,848,12,1
248	,2031.TW,新光鋼,43.4,1.17,1381,10,2
249	,2032.TW,新鋼,20.35,0.25,823,13,2
250	,2033.TW,佳大,15.75,0,436,10,2
251	,2034.TW,允強,29.3,1.21,845,6,2
252	,2035.TW,唐榮,31.85,0.31,15,8,2
253	,2038.TW,海光,22.05,0.23,995,10,2
254	,2049.TW,上銀,181,-0.82,675,7,2
255	,2059.TW,川湖,382.5,-0.39,182,2,1
256	,2061.TW,風青,24,-2.64,128,0,1
257	,2062.TW,橋椿,22.6,0,124,1,1
258	,2063.TW,世鎧,44.1,1.38,360,6,2
259	,2064.TW,晉椿,18,0,5,9,2
260	,2065.TW,世豐,51.6,-0.39,39,8,2
261	,2066.TW,世德,73,-0.82,72,0,2
262	,2067.TW,嘉鋼,10.65,-2.74,19,0,1
263	,2069.TW,運錩,21.3,-0.7,559,8,2
264	,2070.TW,精湛,38,0.13,95,0,1
265	,2101.TW,南港,33.1,-1.05,451,0,1
266	,2102.TW,泰豐,19.95,-0.25,389,4,2
267	,2103.TW,台橡,27.25,0.74,489,1,2
268	,2104.TW,國際中橡,19.4,-0.26,637,11,2
269	,2105.TW,正新,34.1,0.59,2189,2,1
270	,2106.TW,建大,30.3,0,368,5,1
271	,2107.TW,厚生,21.65,-0.46,99,0,2
272	,2108.TW,南帝,37.15,0.27,305,11,2
273	,2109.TW,華豐,14.45,-0.34,104,0,2
274	,2114.TW,鑫永銓,97,-0.21,3,0,1
275	,2115.TW,六暉-KY,29.65,0,9,18,1
276	,2201.TW,裕隆,63.2,1.94,17978,0,2
277	,2204.TW,中華,50.9,-1.17,810,0,2
278	,2206.TW,三陽工業,33.95,0.3,885,0,1
279	,2207.TW,和泰車,592,0.68,165,0,2
280	,2208.TW,台船,19.2,-1.54,1399,5,2
281	,2211.TW,長榮鋼,51.4,-0.39,10218,5,2
282	,2221.TW,大甲,38.25,0.66,25,2,1
283	,2227.TW,裕日車,189,0,6,8,2
284	,2228.TW,劍麟,74.8,3.03,143,0,1
285	,2230.TW,泰茂,32.1,1.26,621,0,2
286	,2231.TW,為升,139.5,1.09,326,0,1
287	,2233.TW,宇隆,100,-0.99,59,3,2
288	,2235.TW,謚源,46.75,-0.21,0,0,1
289	,2236.TW,百達-KY,26.05,0.58,1841,7,2
290	,2239.TW,英利-KY,59,0.68,51,0,1
291	,2241.TW,艾姆勒,31,0.32,12,9,2
292	,2243.TW,宏旭-KY,16.7,2.14,927,3,2
293	,2247.TW,汎德永業,211,-0.47,19,0,2
294	,2250.TW,IKKA-KY,71.6,0,14,6,2
295	,2301.TW,光寶科,64.2,0.63,3481,2,2
296	,2302.TW,麗正,16.75,0.3,162,0,2
297	,2303.TW,聯電,41.4,1.72,34838,0,2
298	,2305.TW,全友,26.3,2.94,731,0,1
299	,2308.TW,台達電,285.5,-0.35,4621,0,2
300	,2312.TW,金寶,13.5,0,1551,6,1
301	,2313.TW,華通,45.55,2.36,5331,0,2
302	,2314.TW,台揚,39,-0.64,330,2,1
303	,2316.TW,楠梓電,27,0.37,25,3,2
304	,2317.TW,鴻海,99.1,-0.8,47342,0,1
305	,2321.TW,東訊,6.16,2.5,22,5,2
306	,2323.TW,中環,7.36,1.52,1568,12,2
307	,2324.TW,仁寶,23.2,0.65,9711,2,2
308	,2327.TW,國巨,465.5,3.22,1742,1,2
309	,2328.TW,廣宇,38.1,2.14,1781,0,2
310	,2329.TW,華泰,17.65,0.57,898,0,2
311	,2330.TW,台積電,453,1,15311,7,2
312	,2331.TW,精英,21.25,3.16,2345,0,1
313	,2332.TW,友訊,14.8,-0.34,833,0,2
314	,2337.TW,旺宏,34.25,1.48,3017,0,2
315	,2338.TW,光罩,87.5,3.31,6908,0,2
316	,2340.TW,台亞,34,0.74,506,7,2
317	,2342.TW,茂矽,37.8,1.89,529,0,2
318	,2344.TW,華邦電,19.75,0.77,6210,0,1
319	,2345.TW,智邦,242,3.2,1554,0,2
320	,2347.TW,聯強,59.1,-0.17,2803,6,2
321	,2348.TW,海悅,63.7,0.16,27,13,2
322	,2349.TW,錸德,7.69,1.05,727,3,2
323	,2351.TW,順德,97.5,1.14,487,0,1
