符合條件商品
資料日期：2023年  1月  3日
策略,	00周KDSAR
序號,	代碼,	商品,	成交,	漲幅%,	總量,	k15,	SAR
執行時間：2023-01-03 23:26 符合檔數(1766)
993	,4720.TW,德淵,13.75,0,83,0,1
994	,4721.TW,美琪瑪,98.6,0.82,282,1,1
995	,4722.TW,國精化,33.95,0.3,22,3,2
996	,4726.TW,永昕,37.1,-1.07,293,4,1
997	,4728.TW,雙美,135,-0.74,29,0,2
998	,4729.TW,熒茂,15.2,2.01,41,2,1
999	,4735.TW,豪展,39,-0.76,69,14,2
1000	,4736.TW,泰博,182,-1.62,1051,3,2
1001	,4737.TW,華廣,76.9,-0.39,18,2,1
1002	,4739.TW,康普,92.7,1.31,301,3,1
1003	,4741.TW,泓瀚,25.25,0.4,10,0,2
1004	,4743.TW,合一,244.5,-0.41,5777,6,2
1005	,4744.TW,皇將,24.75,0,144,4,1
1006	,4745.TW,合富-KY,24.55,-1.21,23,6,2
1007	,4746.TW,台耀,70.9,-3.54,4668,8,2
1008	,4747.TW,強生,49,-4.3,701,7,2
1009	,4754.TW,國碳科,34.7,-0.43,6,14,2
1010	,4755.TW,三福化,117,1.74,398,5,2
1011	,4760.TW,勤凱,47.65,1.6,20,4,2
1012	,4763.TW,材料-KY,195.5,9.83,7116,0,2
1013	,4764.TW,雙鍵,52.8,1.54,58,0,2
1014	,4766.TW,南寶,132.5,-0.38,34,0,1
1015	,4767.TW,誠泰科技,27.1,-0.18,0,2,2
1016	,4768.TW,晶呈科技,154,8.07,1104,11,1
1017	,4770.TW,上品,328,2.18,1225,0,2
1018	,4804.TW,大略-KY,11.1,0,173,7,2
1019	,4806.TW,昇華,6.9,1.62,24,2,1
1020	,4807.TW,日成-KY,21.05,1.45,9,9,2
1021	,4903.TW,聯光通,13.7,-2.49,137,5,2
1022	,4904.TW,遠傳,66.2,0.46,2054,4,2
1023	,4905.TW,台聯電,51,0.99,1,1,2
1024	,4906.TW,正文,27.5,0.36,749,0,1
1025	,4907.TW,富宇,26.1,0.97,29,0,2
1026	,4908.TW,前鼎,30.05,0.33,110,1,1
1027	,4909.TW,新復興,16,1.27,35,3,1
1028	,4911.TW,德英,51.6,-3.37,115,0,1
1029	,4912.TW,聯德控股-KY,80,1.27,32,10,2
1030	,4915.TW,致伸,55.9,0.72,1429,4,1
1031	,4916.TW,事欣科,26.85,0.56,397,4,2
1032	,4919.TW,新唐,118,2.61,2873,0,2
1033	,4923.TW,力士,49.95,0.5,16,9,2
1034	,4924.TW,欣厚-KY,14.25,0.71,97,2,2
1035	,4927.TW,泰鼎-KY,53.6,0.56,430,10,2
1036	,4930.TW,燦星網,27.15,0.37,61,3,2
1037	,4931.TW,新盛力,45.5,1.56,2375,0,1
1038	,4933.TW,友輝,31.5,0.96,2,0,2
1039	,4934.TW,太極,27.45,-1.26,568,5,2
1040	,4935.TW,茂林-KY,55,0,82,0,2
1041	,4938.TW,和碩,63.7,0.31,2590,0,2
1042	,4939.TW,亞電,14.95,1.36,321,8,2
1043	,4942.TW,嘉彰,35.5,0.42,63,10,2
1044	,4943.TW,康控-KY,15.3,9.68,325,22,2
1045	,4944.TW,兆遠,9.8,-4.85,6,6,1
1046	,4945.TW,陞達科技,45.25,0.67,14,5,1
1047	,4946.TW,辣椒,52.7,-1.13,104,4,2
1048	,4950.TW,牧東,21,-1.87,1132,0,2
1049	,4951.TW,精拓科,48.1,0,135,40,1
1050	,4952.TW,凌通,46.65,0.86,65,2,2
1051	,4953.TW,緯軟,84.5,2.18,142,1,2
1052	,4956.TW,光鋐,14.2,0,26,1,1
1053	,4958.TW,臻鼎-KY,107,1.9,3192,0,1
1054	,4960.TW,誠美材,10.1,2.43,2586,6,2
1055	,4961.TW,天鈺,123,6.49,10264,1,2
1056	,4966.TW,譜瑞-KY,792,2.46,466,6,2
1057	,4967.TW,十銓,30.5,0.16,72,4,2
1058	,4968.TW,立積,113.5,0.89,1711,5,2
1059	,4971.TW,IET-KY,53.1,1.34,46,3,1
1060	,4972.TW,湯石照明,29.5,0,16,0,1
1061	,4973.TW,廣穎,21.95,0.46,51,3,2
1062	,4974.TW,亞泰,58.2,2.11,314,0,2
1063	,4976.TW,佳凌,37.8,0.53,82,1,1
1064	,4977.TW,眾達-KY,104,5.16,4752,0,2
1065	,4979.TW,華星光,41.6,4.52,6195,0,2
1066	,4987.TW,科誠,57.5,-0.35,41,0,2
1067	,4989.TW,榮科,24.65,-0.8,178,4,2
1068	,4991.TW,環宇-KY,38.35,-1.67,12,5,2
1069	,4994.TW,傳奇,41.1,0.49,128,0,2
1070	,4995.TW,晶達,38.2,1.33,20,0,2
1071	,4999.TW,鑫禾,36.95,0.68,8,2,1
1072	,5007.TW,三星,50.7,0,48,4,1
1073	,5009.TW,榮剛,36.4,-2.02,14053,0,2
1074	,5011.TW,久陽,24.6,-0.61,172,14,2
1075	,5013.TW,強新,35.2,0,0,1,2
1076	,5014.TW,建錩,18.3,-1.35,1505,3,2
1077	,5015.TW,華祺,57.1,-0.35,171,0,1
1078	,5016.TW,松和,29,-1.02,1,3,2
1079	,5201.TW,凱衛,27.1,-2.34,21,0,1
1080	,5202.TW,力新,15.45,-9.91,408,9,2
1081	,5203.TW,訊連,83.1,0.24,21,1,1
1082	,5205.TW,中茂,45,0.9,13,0,2
1083	,5206.TW,坤悅,15.95,-1.85,105,0,2
1084	,5209.TW,新鼎,78.7,0.13,24,0,2
1085	,5210.TW,寶碩,14.8,-1.66,21,3,1
1086	,5211.TW,蒙恬,19.05,-0.26,44,4,1
1087	,5212.TW,凌網,37.15,0.68,68,12,2
1088	,5213.TW,亞昕,21.9,-1.13,86,0,1
1089	,5215.TW,科嘉-KY,44.45,-0.22,27,5,1
1090	,5220.TW,萬達光電,28.2,0,5,6,2
1091	,5222.TW,全訊,138.5,-0.36,151,1,2
1092	,5223.TW,安力-KY,38.7,0.13,7,6,2
1093	,5225.TW,東科-KY,35.75,-0.42,508,2,2
1094	,5227.TW,立凱-KY,70.8,6.95,1119,2,2
1095	,5228.TW,鈺鎧,21.2,0.47,10,18,2
1096	,5230.TW,雷笛克光學,23.05,0,24,7,2
1097	,5234.TW,達興材料,65.2,0.31,58,13,2
1098	,5236.TW,凌陽創新,67.7,-0.73,21,7,2
1099	,5243.TW,乙盛-KY,57.7,0.35,276,0,1
1100	,5244.TW,弘凱,26.95,1.7,10,6,2
1101	,5245.TW,智晶,51.8,1.17,265,0,1
1102	,5251.TW,天鉞電,24.15,1.26,274,0,1
1103	,5258.TW,虹堡,64.3,2.06,1544,1,2
1104	,5263.TW,智崴,126,-1.95,419,0,2
1105	,5269.TW,祥碩,714,6.57,812,15,2
1106	,5272.TW,笙科,25.75,-1.15,105,6,2
1107	,5274.TW,信驊,1740,3.26,300,0,1
1108	,5276.TW,達輝-KY,14.55,0,0,0,2
1109	,5278.TW,尚凡,187,-3.11,47,7,2
1110	,5281.TW,大峽谷-KY,15.8,-2.47,4,10,2
1111	,5283.TW,禾聯碩,105.5,-0.47,44,5,2
1112	,5284.TW,jpp-KY,69.5,2.96,1085,0,2
1113	,5285.TW,界霖,60.4,0.33,55,3,1
1114	,5287.TW,數字,189,-0.53,9,9,2
1115	,5288.TW,豐祥-KY,165,0.61,138,0,1
1116	,5289.TW,宜鼎,184,-0.81,35,6,2
1117	,5291.TW,邑昇,31.75,0,14,1,1
1118	,5299.TW,杰力,112.5,1.81,96,7,2
1119	,5301.TW,寶得利,11.2,0,2,0,2
1120	,5302.TW,太欣,8.23,-1.08,27,4,2
1121	,5306.TW,桂盟,142.5,1.79,74,0,1
1122	,5309.TW,系統電,39,1.83,953,0,2
1123	,5310.TW,天剛,27.55,-0.18,1,1,1
1124	,5312.TW,寶島科,58.1,0.17,15,0,2
1125	,5314.TW,世紀,16.65,-0.89,9,2,2
1126	,5315.TW,光聯,18.1,0.28,61,0,2
1127	,5321.TW,美而快,63.3,0.48,90,6,1
1128	,5324.TW,士開,8.4,0,5,0,1
1129	,5328.TW,華容,10.1,0,40,0,2
1130	,5340.TW,建榮,27.55,9.98,658,7,2
1131	,5344.TW,立衛,17.8,-0.56,170,9,2
1132	,5345.TW,天揚,6.55,1.55,14,0,2
1133	,5347.TW,世界,80,3.23,2531,4,2
1134	,5348.TW,系通,8.41,-8.69,0,0,1
1135	,5351.TW,鈺創,40.85,3.42,3626,6,2
1136	,5353.TW,台林,28.2,2.92,430,2,1
1137	,5355.TW,佳總,6.15,-0.32,28,2,2
1138	,5356.TW,協益,20.65,0,5,0,2
1139	,5364.TW,力麗店,23.35,0.21,34,2,2
1140	,5371.TW,中光電,57,0.18,1348,7,2
1141	,5381.TW,合正,6.07,1.17,38,0,2
1142	,5383.TW,金利,25.75,0.59,30,1,1
1143	,5386.TW,青雲,36.4,4.6,2364,4,2
1144	,5388.TW,中磊,76.7,0.52,852,3,1
1145	,5392.TW,能率,20,-1.96,218,4,1
1146	,5398.TW,慕康生醫,16.5,0.61,9,4,1
1147	,5403.TW,中菲,68.2,-0.15,22,3,2
1148	,5410.TW,國眾,33,0.92,203,0,2
1149	,5425.TW,台半,75.3,1.48,2749,0,1
1150	,5426.TW,振發,13.45,1.51,335,2,1
1151	,5432.TW,新門,27.5,0.73,1,0,1
1152	,5434.TW,崇越,163.5,-0.3,200,1,2
1153	,5438.TW,東友,16.6,-0.9,16,0,2
1154	,5439.TW,高技,47,0.11,152,8,2
1155	,5443.TW,均豪,28,1.45,294,0,2
1156	,5450.TW,南良,18,0,49,0,2
1157	,5452.TW,佶優,14.35,0,38,1,2
1158	,5455.TW,昇益,28.15,0.72,2,5,1
1159	,5457.TW,宣德,49,1.45,756,0,2
1160	,5460.TW,同協,10.95,-0.45,7,0,1
1161	,5464.TW,霖宏,26.1,-1.14,174,0,2
1162	,5465.TW,富驊,19.55,0.51,72,0,2
1163	,5468.TW,凱鈺,16.9,0.6,32,7,1
1164	,5469.TW,瀚宇博,31.65,0,322,5,2
1165	,5471.TW,松翰,50.5,0.8,233,12,2
1166	,5474.TW,聰泰,72.6,0.41,22,9,2
1167	,5475.TW,德宏,10.1,1,108,8,1
1168	,5478.TW,智冠,80.5,0.88,169,5,2
1169	,5481.TW,新華,12.15,0,43,4,1
1170	,5483.TW,中美晶,145.5,4.3,3725,0,2
1171	,5484.TW,慧友,13.8,0,4,2,2
1172	,5487.TW,通泰,25.2,0,5,8,1
1173	,5488.TW,松普,9.61,1.16,109,2,1
1174	,5489.TW,彩富,36.25,-0.55,51,0,2
1175	,5490.TW,同亨,22,0,19,5,2
1176	,5493.TW,三聯,50.2,-0.4,6,0,1
1177	,5498.TW,凱崴,10.8,1.89,1044,4,2
1178	,5508.TW,永信建,55,0.92,62,6,1
1179	,5511.TW,德昌,29.85,-0.5,51,0,1
1180	,5512.TW,力麒,8.6,-0.12,284,4,2
1181	,5514.TW,三豐,17.65,-0.84,3,0,1
1182	,5515.TW,建國,11.25,-1.32,44,11,2
1183	,5516.TW,雙喜,18.5,1.37,81,2,2
1184	,5519.TW,隆大,22.3,-0.45,222,0,2
1185	,5520.TW,力泰,55.1,0,1,6,2
1186	,5521.TW,工信,6.74,-0.15,268,5,1
1187	,5522.TW,遠雄,56.6,-0.35,381,2,2
1188	,5523.TW,豐謙,24.95,0.6,23,0,1
1189	,5525.TW,順天,24.55,-0.81,62,2,2
1190	,5529.TW,鉅陞,12.8,-0.78,13,5,1
1191	,5530.TW,龍巖,38.4,-1.66,305,8,2
1192	,5531.TW,鄉林,9.23,-1.07,223,0,1
1193	,5533.TW,皇鼎,17.4,-0.85,87,0,2
1194	,5534.TW,長虹,73.3,-0.54,102,4,2
1195	,5536.TW,聖暉*,101,-0.49,161,4,1
1196	,5538.TW,東明-KY,42.65,0.35,9,9,1
1197	,5543.TW,桓鼎-KY,52.2,-1.14,2,0,2
1198	,5546.TW,永固-KY,46.8,-1.47,5,1,2
1199	,5601.TW,台聯櫃,36,0,2,0,2
1200	,5603.TW,陸海,21.65,-0.23,155,12,1
1201	,5604.TW,中連,52.2,0,7,7,1
1202	,5607.TW,遠雄港,51.5,-1.53,445,1,1
1203	,5608.TW,四維航,25,-0.4,2763,10,2
1204	,5609.TW,中菲行,70.3,0.72,77,2,2
1205	,5701.TW,劍湖山,2.99,1.7,346,1,1
1206	,5703.TW,亞都,19.55,-2.25,90,9,2
1207	,5704.TW,老爺知,51,-1.73,314,0,2
1208	,5706.TW,鳳凰,61.9,0.81,827,2,2
1209	,5864.TW,致和證,10.3,0.49,25,7,1
1210	,5871.TW,中租-KY,217,0,2584,2,2
1211	,5876.TW,上海商銀,44.25,0.45,3022,0,1
1212	,5878.TW,台名,47.8,0,3,0,1
1213	,5880.TW,合庫金,25.9,-0.38,5069,0,2
1214	,5902.TW,德記,33.95,0.44,8,0,1
1215	,5903.TW,全家,203.5,-0.73,45,2,2
1216	,5904.TW,寶雅,488.5,-1.81,387,5,2
1217	,5905.TW,南仁湖,11.9,-1.24,854,0,1
1218	,5906.TW,台南-KY,30.2,-0.17,0,0,1
1219	,5907.TW,大洋-KY,17.05,-1.16,447,3,2
1220	,6005.TW,群益證,10.75,-0.92,902,9,2
1221	,6015.TW,宏遠證,8.72,-0.57,354,4,1
1222	,6016.TW,康和證,9.63,-0.52,159,5,2
1223	,6020.TW,大展證,18.6,0,15,7,2
1224	,6021.TW,美好證,19.25,-3.75,8,0,1
1225	,6023.TW,元大期,48.9,-0.1,29,1,2
1226	,6024.TW,群益期,36.65,-0.27,79,0,2
1227	,6026.TW,福邦證,10,-0.5,274,9,1
1228	,6101.TW,寬魚國際,25.35,-0.59,55,0,2
1229	,6103.TW,合邦,6.49,0,0,5,1
1230	,6104.TW,創惟,92.5,5.11,4117,19,1
1231	,6108.TW,競國,16.4,-0.3,41,4,1
1232	,6109.TW,亞元,15.65,3.64,800,0,2
1233	,6111.TW,大宇資,68.1,4.61,11134,6,2
1234	,6112.TW,邁達特,32.85,0.46,100,2,2
1235	,6113.TW,亞矽,16.8,1.2,131,3,1
1236	,6114.TW,久威,24.2,0.41,32,1,1
1237	,6115.TW,鎰勝,42.3,0.24,49,0,2
1238	,6116.TW,彩晶,11.2,0.45,3232,12,1
1239	,6117.TW,迎廣,13.95,0.72,62,2,1
1240	,6118.TW,建達,36.5,-0.82,15090,3,2
1241	,6120.TW,達運,8.81,0,739,4,1
1242	,6121.TW,新普,288,1.05,222,3,2
1243	,6122.TW,擎邦,17.85,4.39,1299,1,2
1244	,6123.TW,上奇,53.7,0.19,49,0,1
1245	,6124.TW,業強,26.25,0.77,34,0,1
1246	,6125.TW,廣運,25.4,0,586,1,1
1247	,6126.TW,信音,20.05,-0.74,34,0,1
1248	,6127.TW,九豪,16.2,0.31,110,1,2
1249	,6128.TW,上福,29.45,0,35,0,1
1250	,6129.TW,普誠,30.15,1.86,747,1,2
1251	,6130.TW,星寶國際,29.9,0,31,0,1
1252	,6133.TW,金橋,22.45,-0.66,1598,1,2
1253	,6134.TW,萬旭,21.05,-0.24,164,2,2
1254	,6136.TW,富爾特,18.2,0.28,116,0,2
1255	,6138.TW,茂達,117,1.74,478,7,1
1256	,6139.TW,亞翔,37.25,-1.06,714,0,2
1257	,6140.TW,訊達,16.4,0,69,2,1
1258	,6141.TW,柏承,19.1,0.53,56,2,2
1259	,6142.TW,友勁,10.05,-2.43,570,0,1
1260	,6143.TW,振曜,69.8,9.92,3328,0,1
1261	,6144.TW,得利影,15.1,-0.33,0,0,1
1262	,6146.TW,耕興,216,3.1,146,0,1
1263	,6147.TW,頎邦,59,2.79,1504,2,2
1264	,6148.TW,驊宏資,12.55,0,22,0,1
1265	,6150.TW,撼訊,72.5,4.77,9327,10,2
1266	,6151.TW,晉倫,26.5,0.57,8,14,2
1267	,6152.TW,百一,10.05,0,137,0,1
1268	,6153.TW,嘉聯益,24.1,2.12,2184,0,1
1269	,6154.TW,順發,15.75,0,5,4,2
1270	,6155.TW,鈞寶,24.6,0.82,157,0,2
1271	,6156.TW,松上,19.05,0,103,1,2
1272	,6158.TW,禾昌,25.3,0.6,8,3,1
1273	,6160.TW,欣技,16.7,0,66,3,2
1274	,6161.TW,捷波,24.8,-0.6,70,4,1
1275	,6163.TW,華電網,14.9,0.68,111,0,2
1276	,6164.TW,華興,10,0.5,163,4,1
1277	,6165.TW,浪凡,26.95,-1.46,51,3,2
1278	,6166.TW,凌華,54.3,0.93,41,0,2
1279	,6167.TW,久正,11.8,-0.42,180,1,1
1280	,6168.TW,宏齊,17.65,0.28,73,0,2
1281	,6169.TW,昱泉,20.6,0,81,2,2
1282	,6170.TW,統振,34.7,0.14,81,2,2
1283	,6171.TW,大城地產,24.15,-0.21,9,5,1
1284	,6173.TW,信昌電,34.55,1.32,205,3,2
1285	,6174.TW,安碁,25.45,0,90,2,2
1286	,6175.TW,立敦,32.9,0.92,120,0,2
1287	,6176.TW,瑞儀,105.5,0.48,555,0,2
1288	,6177.TW,達麗,30.15,1.86,1167,0,2
1289	,6179.TW,亞通,25.1,1.21,158,0,2
1290	,6180.TW,橘子,70.1,0.29,11801,0,2
1291	,6182.TW,合晶,41.45,1.59,2160,3,2
1292	,6183.TW,關貿,59.1,0.17,57,0,1
1293	,6184.TW,大豐電,48.15,0.21,35,0,2
1294	,6185.TW,幃翔,12.35,0.82,37,0,1
1295	,6186.TW,新潤,35.6,-3.26,1058,0,2
1296	,6187.TW,萬潤,62.9,3.45,405,11,2
1297	,6188.TW,廣明,40.1,-0.12,208,0,2
1298	,6189.TW,豐藝,37.9,-0.13,124,2,2
1299	,6190.TW,萬泰科,29.25,2.45,448,1,1
1300	,6191.TW,精成科,27.7,0.54,380,0,2
1301	,6192.TW,巨路,70.8,2.61,342,2,2
1302	,6194.TW,育富,23.25,-0.21,24,4,2
1303	,6195.TW,詩肯,42.6,0.12,3,9,1
1304	,6196.TW,帆宣,119,0.85,1622,0,2
1305	,6197.TW,佳必琪,40.35,0.88,115,2,2
1306	,6198.TW,瑞築,19.7,0,7,9,1
1307	,6199.TW,天品,17.85,0.85,50,6,2
1308	,6201.TW,亞弘電,39,0,13,1,2
1309	,6202.TW,盛群,69.4,1.76,1081,8,2
1310	,6203.TW,海韻電,51,-0.97,49,5,2
1311	,6204.TW,艾華,58.8,0.34,8,6,2
1312	,6205.TW,詮欣,68.7,2.54,520,4,1
1313	,6206.TW,飛捷,67.1,0.3,109,8,2
1314	,6207.TW,雷科,25.3,-0.78,94,5,2
1315	,6208.TW,日揚,49.85,0.71,26,3,2
1316	,6209.TW,今國光,24.55,0.61,268,0,2
1317	,6210.TW,慶生,34.6,-1.42,4,10,2
1318	,6212.TW,理銘,46,-1.08,2,9,1
1319	,6213.TW,聯茂,72.6,0,908,7,2
1320	,6214.TW,精誠,70.3,1.15,137,0,2
1321	,6215.TW,和椿,20,-0.5,352,1,1
1322	,6216.TW,居易,25.3,0.4,53,6,1
1323	,6217.TW,中探針,42.6,1.79,456,7,1
1324	,6218.TW,豪勉,18.1,0,28,8,1
1325	,6219.TW,富旺,10.7,0,112,8,1
1326	,6220.TW,岳豐,26.4,0.76,622,0,1
1327	,6221.TW,晉泰,52,0.78,9,0,1
1328	,6222.TW,上揚,14.65,0,1,0,1
1329	,6223.TW,旺矽,118,4.89,2419,0,2
1330	,6224.TW,聚鼎,57.6,1.59,49,9,2
1331	,6225.TW,天瀚,13.3,3.5,26,6,2
1332	,6226.TW,光鼎,10.15,-0.49,209,2,1
1333	,6227.TW,茂綸,40.65,0.87,265,0,2
1334	,6228.TW,全譜,12.3,-0.81,65,5,1
1335	,6229.TW,研通,24.5,0.2,18,2,1
1336	,6230.TW,尼得科超眾,114,-1.72,33,1,1
1337	,6231.TW,系微,86.9,4.95,568,6,2
1338	,6233.TW,旺玖,22.4,9.8,1377,1,2
1339	,6234.TW,高僑,23.45,-0.64,1781,0,2
1340	,6235.TW,華孚,36.65,5.01,5159,1,2
1341	,6236.TW,康呈,17,0,0,2,1
1342	,6237.TW,驊訊,45.1,1.69,399,2,1
1343	,6239.TW,力成,80.7,1.89,1304,0,2
1344	,6240.TW,松崗,17.7,-0.56,12,5,1
1345	,6241.TW,易通展,15.55,-0.32,30,7,2
1346	,6242.TW,立康,55,-2.48,90,0,2
1347	,6243.TW,迅杰,27.85,0,69,7,2
1348	,6244.TW,茂迪,28.5,0,4164,0,2
1349	,6245.TW,立端,93.8,1.96,2145,0,2
1350	,6246.TW,臺龍,14.45,-1.7,27,0,1
1351	,6247.TW,淇譽電,15.4,0,3,0,2
1352	,6248.TW,沛波,22.2,-1.11,56,5,2
1353	,6257.TW,矽格,48.75,0.41,508,0,2
1354	,6259.TW,百徽,21.8,3.07,13,7,2
1355	,6261.TW,久元,57.1,0,45,4,2
1356	,6263.TW,普萊德,90.5,0.78,48,0,2
1357	,6264.TW,富裔,8.15,0,12,0,1
1358	,6265.TW,方土昶,9.39,-0.42,163,4,2
1359	,6266.TW,泰詠,23.8,-0.21,408,0,1
1360	,6269.TW,台郡,98.4,0.41,328,0,1
1361	,6270.TW,倍微,21.95,0.23,35,2,2
1362	,6271.TW,同欣電,198.5,3.93,1317,0,2
1363	,6274.TW,台燿,53.3,3.7,1091,7,2
1364	,6275.TW,元山,26.2,0.19,110,2,2
1365	,6276.TW,安鈦克,16.75,1.52,166,9,2
1366	,6277.TW,宏正,77.4,-0.13,17,0,2
1367	,6278.TW,台表科,89.6,0.67,854,0,2
1368	,6279.TW,胡連,144.5,0,1429,0,1
1369	,6281.TW,全國電,81.8,0,4,0,1
1370	,6282.TW,康舒,30.6,2.51,4014,0,2
1371	,6283.TW,淳安,31.85,-0.16,63,0,1
1372	,6284.TW,佳邦,51.8,0,643,1,2
1373	,6285.TW,啟碁,78.9,0.64,1489,0,1
1374	,6287.TW,元隆,23.05,0,0,5,2
1375	,6288.TW,聯嘉,22.7,1.11,270,0,2
1376	,6290.TW,良維,53.3,0.57,215,0,2
1377	,6291.TW,沛亨,99.9,1.94,9,1,2
1378	,6292.TW,迅德,40.25,-0.12,31,1,2
1379	,6294.TW,智基,107,-0.93,15,13,2
1380	,6404.TW,通訊-KY,18,-4.51,0,0,2
1381	,6405.TW,悅城,21.6,0.23,89,7,2
1382	,6409.TW,旭隼,1505,-2.59,131,0,2
1383	,6411.TW,晶焱,85.2,1.19,259,6,2
1384	,6412.TW,群電,74,1.37,121,4,2
1385	,6414.TW,樺漢,212,4.18,1808,1,2
1386	,6415.TW,矽力*-KY,453.5,3.89,1359,15,2
1387	,6416.TW,瑞祺電通,87.6,0.57,58,1,2
1388	,6417.TW,韋僑,86.9,-0.34,55,0,1
1389	,6418.TW,詠昇,15.85,1.6,67,3,1
1390	,6419.TW,京晨科,35,-1.96,12,0,2
1391	,6425.TW,易發,21.65,1.41,85,0,2
1392	,6426.TW,統新,60.7,1.85,72,1,2
1393	,6431.TW,光麗-KY,20.4,0.25,12,8,2
1394	,6432.TW,今展科,30.3,-1.14,47,7,2
1395	,6435.TW,大中,97.7,0.21,66,0,2
1396	,6438.TW,迅得,86.4,1.65,163,4,2
1397	,6441.TW,廣錠,55.8,8.56,1571,3,2
1398	,6442.TW,光聖,44.35,1.72,74,3,2
1399	,6443.TW,元晶,35.25,2.03,11812,3,2
1400	,6446.TW,藥華藥,478.5,0.31,1065,0,2
1401	,6449.TW,鈺邦,41.5,-0.36,9,5,2
1402	,6451.TW,訊芯-KY,81.6,0.12,446,0,2
1403	,6456.TW,GIS-KY,87.8,-0.23,1363,1,2
1404	,6457.TW,紘康,59.4,0.68,27,21,2
1405	,6461.TW,益得,33.05,-0.6,472,0,2
1406	,6462.TW,神盾,60.8,0.5,85,6,2
1407	,6464.TW,台數科,97.1,0.41,243,0,2
1408	,6465.TW,威潤,17.3,2.98,10,9,1
1409	,6469.TW,大樹,301,1.86,344,0,2
1410	,6470.TW,宇智,53.3,0.57,139,6,2
1411	,6472.TW,保瑞,434.5,4.83,6549,0,2
1412	,6477.TW,安集,46.2,1.76,759,1,1
1413	,6482.TW,弘煜科,42.9,2.88,8,0,1
1414	,6485.TW,點序,65.7,1.7,309,5,2
1415	,6486.TW,互動,63.4,2.09,45,1,2
1416	,6488.TW,環球晶,438,2.46,1472,2,2
1417	,6491.TW,晶碩,415.5,-2,1069,3,2
1418	,6492.TW,生華科,57.9,-0.17,126,13,2
1419	,6494.TW,九齊,71.9,1.41,100,8,2
1420	,6496.TW,科懋,27.7,-0.36,9,4,2
1421	,6499.TW,益安,57.5,-1.03,77,3,2
1422	,6504.TW,南六,72.2,-1.37,53,5,2
1423	,6505.TW,台塑化,80.1,-0.25,1526,0,1
1424	,6506.TW,雙邦,19.35,0.52,20,0,2
1425	,6508.TW,惠光,36,0,79,6,1
1426	,6509.TW,聚和,41.3,0.98,741,2,2
1427	,6510.TW,精測,475,2.04,106,6,2
1428	,6512.TW,啟發電,24.5,1.24,7,0,2
1429	,6514.TW,芮特-KY,51.2,-0.58,14,2,1
1430	,6515.TW,穎崴,410,-1.91,1042,0,2
1431	,6516.TW,勤崴國際,77,0.65,30,4,1
1432	,6523.TW,達爾膚,104,0.48,260,1,2
1433	,6525.TW,捷敏-KY,69.5,1.91,201,2,2
1434	,6527.TW,明達醫,52.6,1.15,47,3,2
1435	,6530.TW,創威,22.6,0.89,40,2,1
1436	,6531.TW,愛普*,174,5.45,2153,11,1
1437	,6532.TW,瑞耘,50.4,0.6,129,0,1
1438	,6533.TW,晶心科,522,4.92,3509,3,2
1439	,6535.TW,順藥,38.8,-1.52,488,5,2
1440	,6538.TW,倉和,68.7,0.15,14,3,1
1441	,6541.TW,泰福-KY,35.6,1.42,386,4,2
1442	,6542.TW,隆中,45.95,-0.54,0,7,2
1443	,6546.TW,正基,72,1.27,191,23,1
1444	,6547.TW,高端疫苗,67.9,-2.3,6100,12,1
1445	,6548.TW,長科*,29.55,-0.51,177,6,1
1446	,6550.TW,北極星藥業-KY,88.1,-0.68,1991,21,1
1447	,6552.TW,易華電,30.1,0.33,64,3,1
1448	,6556.TW,勝品,111.5,-1.33,52,1,2
1449	,6558.TW,興能高,22.4,2.52,127,7,2
1450	,6560.TW,欣普羅,35.05,-1.82,11,14,2
1451	,6561.TW,是方,280.5,-0.18,6,0,1
1452	,6568.TW,宏觀,159,4.95,621,2,2
1453	,6569.TW,醫揚,97.5,-0.31,16,2,2
1454	,6570.TW,維田,47,1.51,239,0,1
1455	,6573.TW,虹揚-KY,13.3,-0.75,11,3,2
1456	,6574.TW,霈方,49.05,-0.2,9,0,2
1457	,6576.TW,逸達,93.5,2.3,322,4,2
1458	,6577.TW,勁豐,58.2,0,3,0,2
1459	,6578.TW,達邦蛋白,15.6,-3.11,704,9,2
1460	,6579.TW,研揚,87.4,0.34,52,0,2
1461	,6581.TW,鋼聯,92.9,0.98,61,3,2
1462	,6582.TW,申豐,57.7,-0.52,91,19,2
1463	,6585.TW,鼎基,58.9,-2.48,204,25,2
1464	,6588.TW,東典光電,31.3,-0.32,8,4,2
1465	,6589.TW,台康生技,118.5,-3.66,6650,1,1
1466	,6590.TW,普鴻,56.5,0,20,13,2
1467	,6591.TW,動力-KY,41.7,-0.48,75,6,2
1468	,6592.TW,和潤企業,100.5,-1.47,269,0,2
1469	,6593.TW,台灣銘板,43.1,-0.46,31,0,2
1470	,6594.TW,展匯科,25.4,-1.17,14,1,1
1471	,6596.TW,寬宏藝術,43.8,-2.23,28,0,2
1472	,6598.TW,ABC-KY,30.25,-2.42,658,10,2
1473	,6603.TW,富強鑫,17.3,0,394,0,1
1474	,6605.TW,帝寶,71.5,-0.28,262,0,1
1475	,6609.TW,瀧澤科,35.6,1.71,813,1,2
1476	,6612.TW,奈米醫材,82.4,1.48,14,0,1
1477	,6613.TW,朋億*,87.5,-1.13,137,6,1
1478	,6615.TW,慧智,36.5,-0.54,2,8,2
