符合條件商品
資料日期：2023年  1月  3日
策略,	05基本資料B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	跌幅,	周K,	月均量,	等分坐標低檔
執行時間：2023-01-03 23:29 符合檔數(1732)
131	,1537.TW,廣隆,137,0,46,-6.8,59.23,59.4,中
132	,1538.TW,正峰,8.09,1.12,25,-21.46,72.8,18.65,中
133	,1539.TW,巨庭,28.75,0.52,179,-42.84,30.82,852.75,中
134	,1540.TW,喬福,15.25,0,41,-16.67,36,122.4,中
135	,1541.TW,錩泰,33.3,-0.6,14,-44.87,58.21,17.5,低
136	,1558.TW,伸興,119,0,44,-18.77,71.44,87.2,中
137	,1560.TW,中砂,108,2.37,2032,-40.98,29.21,6354.25,低
138	,1565.TW,精華,249,1.01,105,-16.72,57.62,190.7,中
139	,1568.TW,倉佑,22.55,-0.66,115,-30.51,23.34,367.7,低
140	,1569.TW,濱川,22,0,126,-26.67,28.53,214.15,低
141	,1570.TW,力肯,16.65,-1.19,28,-21.09,72.06,36.8,低
142	,1580.TW,新麥,90.3,-0.66,60,-16.77,74.39,102.3,低
143	,1582.TW,信錦,59.1,0.17,57,-18.82,31.91,94,低
144	,1583.TW,程泰,61.2,-0.65,8,-5.41,42,5.3,中
145	,1584.TW,精剛,22.4,0.22,3858,-20,66.62,14595.7,中
146	,1586.TW,和勤,35,4.48,68,-16.17,60.91,56.65,低
147	,1587.TW,吉茂,21.35,-1.84,75,-24.42,45.57,58.85,低
148	,1589.TW,永冠-KY,57.3,0.7,96,-21.83,69.83,188.35,中
149	,1590.TW,亞德客-KY,930,-0.11,579,-13.89,77.77,450.3,中
150	,1591.TW,駿吉-KY,17,1.19,61,-38.96,39.28,181.3,低
151	,1593.TW,祺驊,68.3,0,0,-20.58,40.5,55.55,中
152	,1595.TW,川寶,38.1,-0.26,6,-14.86,58.56,19.8,中
153	,1597.TW,直得,68.9,-1.57,44,-27.85,21.53,38.75,低
154	,1598.TW,岱宇,41.05,0.86,120,-19.51,61.18,544.7,中
155	,1599.TW,宏佳騰,39.05,-0.13,7,-37.02,21.93,66.45,低
156	,1603.TW,華電,25.95,-0.19,260,-25.43,36.76,424.65,低
157	,1604.TW,聲寶,26.2,-1.13,124,-20.12,79.29,336.95,中
158	,1605.TW,華新,46.95,-0.53,76318,-5.82,79.54,74076.5,高
159	,1608.TW,華榮,13.65,-0.36,460,-43.71,41.64,590.85,低
160	,1609.TW,大亞,20.85,2.71,10695,-33.81,76.86,5367.95,低
161	,1611.TW,中電,13.15,-0.38,396,-41.29,12.03,686.95,低
162	,1612.TW,宏泰,16.45,1.23,468,-50.38,72.81,631.75,低
163	,1614.TW,三洋電,35.4,-0.14,11,-10.15,26.27,20.9,中
164	,1615.TW,大山,28.45,-0.87,40,-21.63,40.7,29.45,低
165	,1616.TW,億泰,7.39,0.96,43,-39.18,40.02,86.65,低
166	,1617.TW,榮星,15,0.33,16,-20.63,61.86,34.95,低
167	,1618.TW,合機,14.45,0.7,623,-12.42,45.75,646.8,中
168	,1626.TW,艾美特-KY,16.55,1.22,47,-24.08,30.11,77.35,低
169	,1701.TW,中化,31.45,-5.41,23413,-14.65,77.01,20585.25,高
170	,1702.TW,南僑,45.15,-0.77,64,-10.59,72.44,168.45,中
171	,1707.TW,葡萄王,168,0,1074,-1.75,87.16,1576.05,高
172	,1708.TW,東鹼,40.6,1.25,1021,-44.46,30.28,1786.05,低
173	,1709.TW,和益,22.35,0.45,642,-30.8,59.27,628.35,低
174	,1710.TW,東聯,18.6,0,1268,-20.34,67.69,1947.7,低
175	,1711.TW,永光,18.4,-0.54,591,-35.78,39.17,2506,低
176	,1712.TW,興農,36.6,0.41,446,-22.62,30.39,1193.95,中
177	,1713.TW,國化,25,-0.2,65,-2.72,64.71,72.15,高
178	,1714.TW,和桐,8.7,-0.57,1437,-21.97,66.32,1642.3,低
179	,1717.TW,長興,31.2,-0.16,859,-27.69,36.22,1885.1,低
180	,1718.TW,中纖,8.48,-1.51,3770,-16.04,50.49,6465.25,中
181	,1720.TW,生達,59.4,-3.41,6889,-8.76,76.29,10865.05,高
182	,1721.TW,三晃,14.7,-0.68,328,-43.35,43.69,1205.9,低
183	,1722.TW,台肥,53.3,-0.37,1173,-37.29,30.91,1368.5,低
184	,1723.TW,中碳,105.5,0,91,-18.85,37.61,218.3,低
185	,1725.TW,元禎,20.2,0.5,11,-31.06,35.05,29.8,低
186	,1726.TW,永記,70.2,-0.14,45,-6.15,56.61,21.2,低
187	,1727.TW,中華化,24.75,1.02,171,-53.91,29.5,428.3,低
188	,1730.TW,花仙子,55.3,-0.18,10,-14.92,49.47,60.1,低
189	,1731.TW,美吾華,19.75,0,269,-18.39,70.17,819.65,中
190	,1732.TW,毛寶,32,-2.14,848,-40.19,76.02,1471.45,低
191	,1733.TW,五鼎,25.45,-0.39,223,-13.29,60.74,461.4,中
192	,1734.TW,杏輝,32.6,-1.66,2849,-11.65,60.24,10711.95,中
193	,1735.TW,日勝化,15.2,0.33,8,-17.39,87.56,4.65,中
194	,1736.TW,喬山,69.1,-0.58,625,-19.84,41.27,2489.5,中
195	,1737.TW,臺鹽,32.2,-0.77,61,-9.3,80.62,109.4,中
196	,1742.TW,台蠟,14.6,-0.34,9,-38.14,23.18,33.8,低
197	,1752.TW,南光,61,-4.54,17694,-12.23,80.93,24373.5,高
198	,1760.TW,寶齡富錦,175.5,-1.96,12029,-10,74.75,19573.15,高
199	,1762.TW,中化生,64.1,-2.29,1262,-9.08,75.68,3885.75,高
200	,1773.TW,勝一,115.5,0.87,124,-50.75,62.85,173.4,低
201	,1776.TW,展宇,16.45,-0.3,8,-28.48,24.97,13.7,低
202	,1777.TW,生泰,82.6,-1.9,181,-11.66,52.44,447.9,中
203	,1781.TW,合世,14.95,-1.97,192,-22.14,47.97,353.3,中
204	,1783.TW,和康生,45.5,-4.51,2263,-16.67,64.91,3296.05,中
205	,1784.TW,訊聯,43.7,-0.46,233,-5,71.89,567.65,高
206	,1785.TW,光洋科,32.25,0.62,398,-41.89,55.64,1285.85,低
207	,1786.TW,科妍,53.6,-1.11,609,-16.9,57.42,1354.45,中
208	,1788.TW,杏昌,144,0,12,-24.61,72.52,11.75,低
209	,1789.TW,神隆,25.2,-0.98,1010,-15.01,48.95,3998.45,中
210	,1795.TW,美時,250.5,1.83,13203,-7.22,79.71,9874.35,高
