符合條件商品
資料日期：2021年 11月 22日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-11-22 18:49 符合檔數(1743)
261	,2064.TW,晉椿,18.25,-0.27,39,75.56
262	,2065.TW,世豐,47.7,0.42,76,33.58
263	,2066.TW,世德,61.9,0.81,214,68.03
264	,2067.TW,嘉鋼,12.95,-0.77,27,47.58
265	,2069.TW,運錩,37.4,1.08,7481,51.41
266	,2070.TW,精湛,32.6,0.31,25,62.48
267	,2101.TW,南港,40,-1.84,3806,70.3
268	,2102.TW,泰豐,25.8,-1.9,1146,73.82
269	,2103.TW,台橡,32.5,0.93,1174,62.88
270	,2104.TW,國際中橡,26.75,0.56,4100,45.74
271	,2105.TW,正新,34.8,1.46,3799,76.87
272	,2106.TW,建大,30.3,0.33,1249,78.77
273	,2107.TW,厚生,23,-0.65,310,48.69
274	,2108.TW,南帝,82.1,2.11,2326,70.6
275	,2109.TW,華豐,16.45,-1.2,192,63.47
276	,2114.TW,鑫永銓,120,0.84,32,59.63
277	,2115.TW,六暉-KY,40,-0.5,19,68.33
278	,2201.TW,裕隆,44.05,1.73,11902,63.89
279	,2204.TW,中華,66,0,867,74.6
280	,2206.TW,三陽工業,26.9,0.75,650,73.44
281	,2207.TW,和泰車,665,1.06,157,83.96
282	,2208.TW,台船,22.35,0.9,1780,50.22
283	,2211.TW,長榮鋼,50.9,0.2,242,77.32
284	,2221.TW,大甲,41.95,1.82,514,64.36
285	,2227.TW,裕日車,249.5,-0.2,118,93.54
286	,2228.TW,劍麟,69.3,1.17,93,53.32
287	,2230.TW,泰茂,13.25,-1.49,38,45.62
288	,2231.TW,為升,175.5,-0.28,448,58.9
289	,2233.TW,宇隆,98.5,0.2,357,25.99
290	,2235.TW,謚源,39.05,-0.26,9,75.95
291	,2236.TW,百達-KY,26.2,0.38,22,76.37
292	,2239.TW,英利-KY,76.3,2.97,334,76.93
293	,2241.TW,艾姆勒,54,0,154,47.4
294	,2243.TW,宏旭-KY,17.8,0,125,63.48
295	,2247.TW,汎德永業,215,-0.23,19,74.11
296	,2250.TW,IKKA-KY,102.5,-1.44,66,60.04
297	,2301.TW,光寶科,61.3,-0.49,2407,78.25
298	,2302.TW,麗正,17.75,-0.28,173,65.26
299	,2303.TW,聯電,64.7,-0.61,152277,67.87
300	,2305.TW,全友,8.34,1.09,565,57.66
301	,2308.TW,台達電,259,-0.77,2318,80.75
302	,2312.TW,金寶,14,2.56,10760,51.29
303	,2313.TW,華通,43.3,0.7,15274,60.15
304	,2314.TW,台揚,86.8,0,3587,35.33
305	,2316.TW,楠梓電,29.5,0.68,288,46.05
306	,2317.TW,鴻海,106.5,0,17930,71.35
307	,2321.TW,東訊,6.4,-3.9,4,35.27
308	,2323.TW,中環,9.04,-0.33,4019,34.76
309	,2324.TW,仁寶,23.55,0,12243,67.7
310	,2327.TW,國巨,466,0.65,3452,46.93
311	,2328.TW,廣宇,40.1,-0.37,3609,35.48
312	,2329.TW,華泰,25.7,1.58,13059,44.85
313	,2330.TW,台積電,615,-0.49,23297,88.54
314	,2331.TW,精英,22.75,-0.66,3634,56.33
315	,2337.TW,旺宏,43.65,3.07,49814,35.63
316	,2338.TW,光罩,106,-4.07,32476,43.76
317	,2340.TW,光磊,60.2,7.69,145039,41.89
318	,2342.TW,茂矽,48.9,1.56,13834,42.7
319	,2344.TW,華邦電,31.75,6.9,144489,59.87
320	,2345.TW,智邦,292,0,932,68.12
321	,2347.TW,聯強,57.4,1.06,1857,77.37
322	,2348.TW,海悅,103,-0.48,233,71.45
323	,2349.TW,錸德,9.66,1.05,1937,18.86
324	,2351.TW,順德,168.5,-3.99,5697,71.85
325	,2352.TW,佳世達,30.15,0.17,7322,56.87
326	,2353.TW,宏碁,27,-2.35,20960,44.55
327	,2354.TW,鴻準,67.1,0.6,3234,56.26
328	,2355.TW,敬鵬,32.45,-2.26,4369,43.8
329	,2356.TW,英業達,26.1,0,4077,78.07
330	,2357.TW,華碩,356,-1.25,2247,59.28
331	,2358.TW,廷鑫,22.7,1.11,1030,28.73
332	,2359.TW,所羅門,17.5,0,94,42.86
333	,2360.TW,致茂,185,1.93,420,76.2
334	,2362.TW,藍天,32.8,-0.91,263,80.86
335	,2363.TW,矽統,26,-2.26,29017,34.05
336	,2364.TW,倫飛,20.5,-2.61,25,53.91
337	,2365.TW,昆盈,10.95,1.86,609,30.76
338	,2367.TW,燿華,20.2,-2.88,8952,27.04
339	,2368.TW,金像電,71.2,-1.11,14823,73.11
340	,2369.TW,菱生,27.3,1.68,24775,32.42
341	,2371.TW,大同,38.5,-0.9,101620,72.53
342	,2373.TW,震旦行,89.5,0.11,15,88.38
343	,2374.TW,佳能,20.8,-5.02,12593,41.42
344	,2375.TW,凱美,93.6,1.3,2105,17.37
345	,2376.TW,技嘉,138,-2.13,15062,64.09
346	,2377.TW,微星,165,-0.6,4307,71.57
347	,2379.TW,瑞昱,548,0.18,734,59.77
348	,2380.TW,虹光,10.95,9.61,2135,42.24
349	,2382.TW,廣達,86.5,-0.46,6334,86.44
350	,2383.TW,台光電,233,2.42,1422,66.62
351	,2385.TW,群光,81.6,0.25,1151,68.46
352	,2387.TW,精元,43.7,-0.34,321,68.63
353	,2388.TW,威盛,90.5,0,17846,71.36
354	,2390.TW,云辰,21.95,3.54,4479,34.18
355	,2392.TW,正崴,39.7,1.53,1123,44.23
356	,2393.TW,億光,52.1,2.16,3545,53.36
357	,2395.TW,研華,389,1.7,271,79.86
358	,2397.TW,友通,57.3,1.06,30,81.52
359	,2399.TW,映泰,23.55,-1.87,7672,23.99
360	,2401.TW,凌陽,41.15,0.86,9995,36.62
361	,2402.TW,毅嘉,17.15,1.48,806,37.34
362	,2404.TW,漢唐,189,-0.53,252,37.73
363	,2405.TW,浩鑫,12.2,-0.41,672,19.54
364	,2406.TW,國碩,23.1,2.21,4404,14.53
365	,2408.TW,南亞科,75.4,8.33,50485,82.39
366	,2409.TW,友達,21.85,0,140626,56.08
367	,2412.TW,中華電,112.5,-0.44,5631,78.53
368	,2413.TW,環科,20.05,5.25,1094,52.74
369	,2414.TW,精技,40.05,-0.62,363,50.27
370	,2415.TW,錩新,47.25,1.83,866,51.63
371	,2417.TW,圓剛,25.55,0.59,2748,31.23
372	,2419.TW,仲琦,24.2,3.42,4574,67.13
373	,2420.TW,新巨,45.2,0.11,899,42.9
374	,2421.TW,建準,44.5,4.58,11717,48.89
375	,2423.TW,固緯,29.7,1.71,561,63.36
376	,2424.TW,隴華,22.2,-5.33,12,77.99
377	,2425.TW,承啟,26.9,-0.37,594,66.75
378	,2426.TW,鼎元,28.1,-2.77,19423,33.78
379	,2427.TW,三商電,11,0.46,207,66.9
380	,2428.TW,興勤,169,-9.87,4387,60.82
381	,2429.TW,銘旺科,18.55,-2.62,109,67.63
382	,2430.TW,燦坤,40.4,-0.25,484,62.37
383	,2431.TW,聯昌,12.25,0,178,36.82
384	,2433.TW,互盛電,51.8,0.19,25,79.59
385	,2434.TW,統懋,41.6,1.46,19,74.4
386	,2436.TW,偉詮電,101,-5.16,26794,34.67
387	,2438.TW,翔耀,14.75,0.34,24,57.77
388	,2439.TW,美律,94.3,2.39,1408,27.26
389	,2440.TW,太空梭,18.75,4.75,1018,63.43
390	,2441.TW,超豐,79.6,-0.5,2909,72.29
391	,2442.TW,新美齊,11.8,-0.42,712,55.53
392	,2443.TW,億麗,3,0,47,45.45
393	,2444.TW,兆勁,12.15,-0.41,331,21.38
394	,2449.TW,京元電子,43.35,-1.25,10611,65.75
395	,2450.TW,神腦,33.25,0.15,76,77.55
396	,2451.TW,創見,71.8,0.98,2898,66.98
397	,2453.TW,凌群,26.05,2.36,1619,57.39
398	,2454.TW,聯發科,1080,-0.92,5357,69.29
399	,2455.TW,全新,146,3.55,8674,47.4
400	,2456.TW,奇力新,91.4,1.11,1553,32.64
401	,2457.TW,飛宏,37.7,0.94,6192,28.62
402	,2458.TW,義隆,170,0.89,1508,44.84
403	,2459.TW,敦吉,60.3,0.17,107,41.54
404	,2460.TW,建通,28.65,9.98,1897,58.9
405	,2461.TW,光群雷,23.4,2.41,1887,30.5
406	,2462.TW,良得電,30.95,7.65,1431,58.17
407	,2464.TW,盟立,43.45,0.35,464,27.12
408	,2465.TW,麗臺,71.1,-2.07,2213,2.56
409	,2466.TW,冠西電,37.2,-0.67,80,90.98
410	,2467.TW,志聖,49.8,2.47,422,43.1
411	,2468.TW,華經,13.5,0,104,69.17
412	,2471.TW,資通,25.05,-0.6,180,14.87
