符合條件商品
資料日期：2022年  1月 26日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/26),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:30 符合檔數(163)
123	,6261.TW,久元,58,-0.51,75,81.8,-23.78,6,自連賣
124	,6411.TW,晶焱,85.7,-0.35,289,195,-53.05,6,自連賣
125	,6684.TW,安格,45.4,-0.87,27,142,-62.54,6,自連賣
126	,8016.TW,矽創,173.5,-0.29,574,282.5,-24.34,6,自連賣
127	,8069.TW,元太,167,-1.47,11565,146.5,15.96,6,自連賣
128	,8150.TW,南茂,32.9,1.23,1428,46,-20.88,6,自連賣
129	,8155.TW,博智,108,-1.37,385,183,-38.01,6,自連賣
130	,9940.TW,信義,27.2,-0.18,182,34.4,-14.01,6,自連賣
131	,1108.TW,幸福,10.8,-0.46,146,11.15,2.08,5,自連賣
132	,1447.TW,力鵬,7.71,-0.64,314,9.15,-15.74,5,自連賣
133	,1710.TW,東聯,18.5,1.09,1345,20.3,-5.32,5,自連賣
134	,2305.TW,全友,25.85,1.37,1136,10,158.5,5,自連賣
135	,2328.TW,廣宇,37.65,-1.7,2360,36.55,6.03,5,自連賣
136	,2338.TW,光罩,86.3,0.94,3470,96.5,-8.22,5,自連賣
137	,2421.TW,建準,44.85,-2.82,1233,42.3,9.66,5,自連賣
138	,2426.TW,鼎元,16.9,-0.59,149,25.9,-31.3,5,自連賣
139	,2436.TW,偉詮電,42,0.84,593,87,-49.02,5,自連賣
140	,3090.TW,日電貿,53,-0.38,169,51.5,12.15,5,自連賣
141	,3546.TW,宇峻,76.1,0.66,226,83.1,-1.44,5,自連賣
142	,3551.TW,世禾,58,0,44,69.2,-10.89,5,自連賣
143	,3558.TW,神準,206,-0.48,1476,107,95.04,5,自連賣
144	,3587.TW,閎康,165,3.13,1620,138.5,23.4,5,自連賣
145	,3592.TW,瑞鼎,307.5,0,497,626,-43.36,5,自連賣
146	,3689.TW,湧德,33.1,1.38,189,41.8,-15.69,5,自連賣
147	,3703.TW,欣陸,28.15,0.18,655,23.35,28.07,5,自連賣
148	,4721.TW,美琪瑪,102.5,-0.49,487,133,-20.33,5,自連賣
149	,4739.TW,康普,94.9,-1.15,795,136,-28.5,5,自連賣
150	,5478.TW,智冠,78.3,0.51,214,90,-7.8,5,自連賣
151	,6125.TW,廣運,25.45,0.79,1033,26,3.84,5,自連賣
152	,6153.TW,嘉聯益,23.85,-2.05,2220,23.2,2.8,5,自連賣
153	,6217.TW,中探針,43.75,0.69,482,47.5,-5.43,5,自連賣
154	,6457.TW,紘康,62.5,-1.26,183,164,-56.28,5,自連賣
155	,6509.TW,聚和,41.15,4.71,2507,58.8,-28,5,自連賣
156	,6538.TW,倉和,68.9,-0.29,27,84.8,-15.74,5,自連賣
157	,6548.TW,長科*,29.95,0,316,98.3,-20.58,5,自連賣
158	,6741.TW,91APP*-KY,114.5,-4.98,4956,240,-52.09,5,自連賣
159	,8070.TW,長華*,30.65,-0.16,272,35.25,-6.92,5,自連賣
160	,8215.TW,明基材,32.2,-2.72,1195,34.1,-0.53,5,自連賣
161	,8261.TW,富鼎,106,-0.47,888,99,12.8,5,自連賣
162	,8478.TW,東哥遊艇,297,1.02,2514,124,145.66,5,自連賣
163	,9907.TW,統一實,17.05,-0.29,1397,13.9,31.05,5,自連賣
