符合條件商品
資料日期：2021年 12月  3日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-05 18:05 符合檔數(1451)
104	,1521.TW,大億,41.8,0.48,86,0.47,0.6,0.16,0,0,0.31
105	,1522.TW,堤維西,19.15,0.79,155,0.48,0.6,0.4,0.14,0.44,0.44
106	,1524.TW,耿鼎,10,-0.5,74,0.59,0.57,0.19,0,0,0.33
107	,1525.TW,江申,59.3,1.37,18,0.52,0.62,0.31,0.08,0.12,0.42
108	,1526.TW,日馳,48.6,0.52,122,0.65,0.55,0.35,0,0.39,0.51
109	,1527.TW,鑽全,41.95,0.36,196,0.56,0.64,0.38,0.1,0.42,0.51
110	,1528.TW,恩德,10.85,0.46,428,0.58,0.64,0.31,0.25,0.17,0.35
111	,1529.TW,樂士,21.55,9.95,4620,0.54,0.58,0.17,0,0.13,0.42
112	,1530.TW,亞崴,33.3,0.91,13,0.39,0.54,0.27,0,0,0.26
113	,1531.TW,高林股,15.25,0,92,0.54,0.48,0.27,0,0.1,0.3
114	,1532.TW,勤美,32.2,-0.31,196,0.6,0.55,0.34,0.18,0.35,0.5
115	,1533.TW,車王電,56.6,0.89,166,0.64,0.59,0.37,0,0.3,0.45
116	,1535.TW,中宇,39.4,0.25,29,0.55,0.5,0.26,0,0.08,0.32
117	,1536.TW,和大,91.1,0.22,416,0.41,0.63,0.73,0.47,0.45,0.52
118	,1537.TW,廣隆,138.5,0.36,54,0.38,0.59,0.32,0.2,0.21,0.42
119	,1539.TW,巨庭,20.85,3.73,1153,0.57,0.54,0.26,0,0.18,0.29
120	,1540.TW,喬福,14.75,0,78,0.51,0.59,0.19,0,0,0.31
121	,1541.TW,錩泰,43.2,0,1,0.55,0.56,0.28,0,0.08,0.28
122	,1558.TW,伸興,144,0.7,51,0.41,0.55,0.31,0.1,0,0.38
123	,1560.TW,中砂,89.6,1.01,5930,0.59,0.59,0.57,0.18,0.34,0.42
124	,1565.TW,精華,305,0.66,87,0.39,0.6,0.71,0.45,0.48,0.52
125	,1568.TW,倉佑,21,0.72,66,0.59,0.49,0.35,0,0.23,0.47
126	,1569.TW,濱川,25.1,0.6,270,0.69,0.57,0.46,0,0.36,0.5
127	,1570.TW,力肯,24.15,0,2491,0.51,0.4,0.24,0,0.3,0.28
128	,1580.TW,新麥,104.5,0.48,60,0.5,0.53,0.26,0,0.05,0.19
129	,1582.TW,信錦,68.4,-0.15,188,0.56,0.64,0.56,0.06,0.29,0.47
130	,1583.TW,程泰,62,0.81,0,0.24,0.52,0.23,0,0,0.2
131	,1584.TW,精剛,17.5,0.86,373,0.42,0.46,0.11,0,0.09,0.31
132	,1586.TW,和勤,40.95,0.37,83,0.41,0.56,0.44,0,0.32,0.46
133	,1587.TW,吉茂,25.3,0.6,69,0.66,0.53,0.21,0,0.35,0.4
134	,1589.TW,永冠-KY,60.9,-0.16,432,0.53,0.57,0.64,0.14,0.47,0.49
135	,1590.TW,亞德客-KY,849,1.07,348,0.3,0.7,0.57,0.54,0.36,0.46
136	,1591.TW,駿吉-KY,14.75,-0.67,125,0.51,0.39,0.14,0,0.03,0
137	,1593.TW,祺驊,83,-0.95,35,0.62,0.47,0.24,0,0.31,0.37
138	,1595.TW,川寶,47.75,0.32,198,0.54,0.37,0.15,0,0.13,0.21
139	,1597.TW,直得,86.3,-0.58,90,0.56,0.51,0.67,0.48,0.38,0.51
140	,1598.TW,岱宇,59.5,0.51,298,0.47,0.61,0.49,0.31,0.4,0.48
141	,1599.TW,宏佳騰,43.35,-0.12,124,0.58,0.54,0.11,0,0.05,0.41
142	,1603.TW,華電,26.6,0.57,105,0.58,0.55,0.34,0,0.19,0.4
143	,1604.TW,聲寶,29.45,0.17,430,0.49,0.66,0.46,0.19,0.32,0.38
144	,1605.TW,華新,26.25,0.77,3640,0.53,0.59,0.62,0.45,0.37,0.49
145	,1608.TW,華榮,21.4,0.47,739,0.57,0.51,0.43,0.25,0.28,0.51
146	,1609.TW,大亞,24.1,-0.21,3615,0.61,0.53,0.49,0.12,0.28,0.49
147	,1611.TW,中電,17,2.72,54253,0.52,0.59,0.3,0,0.17,0.44
148	,1612.TW,宏泰,25.1,0.6,1044,0.44,0.62,0.49,0.44,0.38,0.39
149	,1614.TW,三洋電,36.35,0.97,55,0.61,0.55,0.39,0,0,0.37
150	,1615.TW,大山,32,0,119,0.46,0.57,0.27,0,0.39,0.38
151	,1617.TW,榮星,18,0.56,118,0.53,0.5,0.24,0,0.05,0.31
152	,1618.TW,合機,14.25,0.35,310,0.63,0.61,0.35,0,0.3,0.37
153	,1626.TW,艾美特-KY,19.15,-0.52,57,0.49,0.58,0.35,0,0.36,0.42
154	,1701.TW,中化,22.6,0,167,0.61,0.63,0.49,0.08,0.22,0.5
155	,1702.TW,南僑,49.05,0.51,214,0.59,0.65,0.58,0.21,0.26,0.52
156	,1707.TW,葡萄王,163.5,1.55,87,0.5,0.65,0.59,0.28,0.36,0.53
157	,1708.TW,東鹼,36,1.27,18096,0.42,0.61,0.37,0.18,0.23,0.42
158	,1709.TW,和益,22.65,0.22,1749,0.53,0.59,0.38,0,0.24,0.46
159	,1710.TW,東聯,22.4,1.36,3413,0.55,0.63,0.52,0.14,0.35,0.46
160	,1711.TW,永光,26.15,0.77,5998,0.59,0.6,0.58,0,0.27,0.47
161	,1712.TW,興農,27.9,0.36,852,0.55,0.63,0.48,0.05,0.2,0.39
162	,1713.TW,國化,24,0.42,15,0.54,0.48,0.32,0,0.15,0.29
163	,1714.TW,和桐,11.6,0,10931,0.59,0.67,0.46,0,0.43,0.45
164	,1717.TW,長興,36.45,0.83,1331,0.58,0.63,0.51,0.47,0.38,0.44
165	,1718.TW,中纖,10.05,0.6,6220,0.53,0.63,0.57,0,0.42,0.5
166	,1720.TW,生達,39.85,0.13,55,0.61,0.61,0.45,0,0.35,0.45
167	,1721.TW,三晃,28.6,-1.72,46531,0.5,0.53,0.38,0,0.18,0.34
168	,1722.TW,台肥,68.6,1.18,1392,0.54,0.55,0.6,0.57,0.37,0.41
169	,1723.TW,中碳,115,1.77,407,0.52,0.62,0.5,0.15,0.17,0.5
170	,1725.TW,元禎,36,0.42,432,0.33,0.52,0.24,0,0.35,0.24
171	,1726.TW,永記,73.5,0,12,0.22,0.48,0.33,0,0,0.26
172	,1727.TW,中華化,52.2,0.38,8401,0.45,0.47,0.25,0.25,0.21,0.23
173	,1730.TW,花仙子,63.5,-0.16,20,0.5,0.56,0.24,0,0.13,0.45
174	,1731.TW,美吾華,18.95,0,135,0.52,0.59,0.3,0,0.26,0.39
175	,1732.TW,毛寶,33.2,0.61,5236,0.62,0.49,0.25,0,0.34,0.47
176	,1733.TW,五鼎,24.45,2.52,805,0.62,0.65,0.29,0,0.18,0.49
177	,1734.TW,杏輝,28.85,0.52,741,0.56,0.54,0.3,0,0.31,0.54
178	,1735.TW,日勝化,18.05,0,2,0.27,0.42,0.23,0,0,0.23
179	,1736.TW,喬山,57.9,0.17,140,0.6,0.62,0.69,0.37,0.29,0.53
180	,1737.TW,臺鹽,33.2,0,363,0.49,0.63,0.39,0,0.1,0.4
181	,1742.TW,台蠟,20.15,0.5,67,0.49,0.48,0.03,0,0.17,0.24
182	,1752.TW,南光,36.1,-0.69,44,0.67,0.56,0.43,0,0.24,0.51
183	,1760.TW,寶齡富錦,70.3,0.14,485,0.67,0.57,0.65,0.09,0.45,0.6
184	,1762.TW,中化生,67.9,3.03,1092,0.56,0.67,0.49,0.24,0.37,0.51
185	,1773.TW,勝一,142,3.27,1069,0.64,0.58,0.47,0.17,0.26,0.45
186	,1776.TW,展宇,21.4,0.47,78,0.38,0.45,0.34,0.25,0.21,0.22
187	,1777.TW,生泰,66,0.61,128,0.58,0.55,0,0,0.11,0.27
188	,1783.TW,和康生,58.5,0.86,308,0.6,0.56,0.48,0,0.32,0.46
189	,1784.TW,訊聯,41.7,1.09,106,0.63,0.55,0.16,0,0.22,0.49
190	,1785.TW,光洋科,50,0.5,6252,0.73,0.61,0.47,0.4,0.44,0.45
191	,1786.TW,科妍,50,-0.4,63,0.52,0.51,0.31,0,0.31,0.36
192	,1788.TW,杏昌,139,0,26,0.35,0.37,0.17,0,0,0.25
193	,1789.TW,神隆,24.15,0.84,288,0.58,0.56,0.52,0.05,0.3,0.55
194	,1795.TW,美時,103,0.98,1727,0.6,0.67,0.49,0.31,0.32,0.52
195	,1802.TW,台玻,26.55,0.76,5912,0.48,0.59,0.56,0.45,0.34,0.44
196	,1806.TW,冠軍,11.45,1.78,813,0.52,0.58,0.35,0,0.32,0.35
197	,1808.TW,潤隆,59.6,0.85,91,0.45,0.67,0.5,0,0.32,0.41
198	,1809.TW,中釉,14.4,3.97,10846,0.63,0.5,0.31,0.25,0.32,0.43
199	,1810.TW,和成,16.15,0.94,4058,0.62,0.65,0.33,0.25,0.26,0.36
200	,1813.TW,寶利徠,18,-0.55,37,0.56,0.43,0,0,0,0.03
