符合條件商品
資料日期：2022年  8月 11日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2022-08-11 22:32 符合檔數(1442)
232	,2033.TW,佳大,14.45,1.05,153,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0
233	,2034.TW,允強,29.25,-1.85,4255,0,0,0,0,2,0,0,2,2,1,1,0,2,0,0,0
234	,2035.TW,唐榮,32.65,1.4,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
235	,2038.TW,海光,21.7,1.4,569,0,0,3,0,2,0,0,0,0,0,1,0,0,0,4,3
236	,2049.TW,上銀,209.5,-0.48,4367,0,0,0,3,0,2,0,0,1,3,0,3,0,3,1,0
237	,2059.TW,川湖,473.5,0,513,0,0,0,0,1,0,0,0,0,2,1,0,3,2,3,0
238	,2062.TW,橋椿,25.2,0.4,157,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0
239	,2063.TW,世鎧,36.7,1.94,455,2,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0
240	,2064.TW,晉椿,16.7,0.6,128,0,1,0,0,0,0,0,0,0,2,4,5,0,0,0,0
241	,2065.TW,世豐,49,0,212,6,0,10,0,0,0,0,0,0,0,0,1,2,0,0,0
242	,2066.TW,世德,71.2,2.01,117,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0
