符合條件商品
資料日期：2022年 10月 31日
策略,	06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/31),	區間漲幅%
執行時間：2022-11-01 22:21 符合檔數(369)
173	,3588.TW,通嘉,56.2,-0.71,4487,56.6,-0.71
174	,3592.TW,瑞鼎,237,1.72,421,233,1.72
175	,3653.TW,健策,355.5,1.28,992,351,1.28
176	,3661.TW,世芯-KY,676,4.16,9213,649,4.16
177	,3675.TW,德微,172.5,3.6,4392,166.5,3.6
178	,3680.TW,家登,216,-0.23,1234,216.5,-0.23
179	,3684.TW,榮昌,53,0,16,53,0
180	,3693.TW,營邦,60.4,1.17,226,59.7,1.17
181	,3709.TW,鑫聯大投控,20,-0.25,9,20.05,-0.25
182	,3711.TW,日月光投控,80,-0.5,7941,80.4,-0.5
183	,3713.TW,新晶投控,24.95,-1.77,121,25.4,-1.77
184	,4102.TW,永日,27.1,-4.41,1062,28.35,-4.41
185	,4154.TW,樂威科-KY,44.3,0.68,6,44,0.68
186	,4155.TW,訊映,22.65,1.34,329,22.35,1.34
187	,4190.TW,佐登-KY,72.2,-0.28,62,72.4,-0.28
188	,4304.TW,勝昱,8.25,0,26,8.25,0
189	,4417.TW,金洲,34.45,1.32,69,34,1.32
190	,4420.TW,光明,30,0,33,30,0
191	,4438.TW,廣越,127,1.6,452,125,1.6
192	,4506.TW,崇友,65,0.78,78,64.5,0.78
193	,4523.TW,永彰,28.65,1.42,17,28.25,1.42
194	,4533.TW,協易機,10.2,-0.49,440,10.25,-0.49
195	,4536.TW,拓凱,171.5,-0.58,334,172.5,-0.58
196	,4538.TW,大詠城,19.75,0,2,19.75,0
197	,4542.TW,科嶠,22.7,-2.78,16,23.35,-2.78
198	,4555.TW,氣立,49.5,-0.4,69,49.7,-0.4
199	,4562.TW,穎漢,14.8,-1.33,38,15,-1.33
200	,4566.TW,時碩工業,51.5,0.98,768,51,0.98
201	,4568.TW,科際精密,56.8,0.53,5,56.5,0.53
202	,4728.TW,雙美,136,-0.37,14,136.5,-0.37
203	,4743.TW,合一,239.5,5.04,9907,228,5.04
204	,4763.TW,材料-KY,115,5.02,1424,109.5,5.02
205	,4768.TW,晶呈科技,172,3.61,1761,166,3.61
206	,4907.TW,富宇,24.1,0.42,40,24,0.42
207	,4931.TW,新盛力,49.1,6.74,48067,46,6.74
208	,4961.TW,天鈺,103.5,-0.48,3194,104,-0.48
209	,4966.TW,譜瑞-KY,595,-2.3,3498,609,-2.3
210	,4968.TW,立積,101,5.87,6035,95.4,5.87
211	,4977.TW,眾達-KY,93.3,5.19,1313,88.7,5.19
212	,5007.TW,三星,52.5,-0.57,30,52.8,-0.57
213	,5009.TW,榮剛,28.5,0.35,6217,28.4,0.35
214	,5201.TW,凱衛,29.3,2.09,1,28.7,2.09
215	,5203.TW,訊連,87.2,-3.33,332,90.2,-3.33
216	,5215.TW,科嘉-KY,51.8,1.97,678,50.8,1.97
217	,5225.TW,東科-KY,36.05,9.91,3602,32.8,9.91
218	,5227.TW,立凱-KY,65.4,1.71,445,64.3,1.71
219	,5243.TW,乙盛-KY,59.1,0.34,622,58.9,0.34
220	,5251.TW,天鉞電,25.35,9.98,2261,23.05,9.98
221	,5263.TW,智崴,109,0,96,109,0
222	,5269.TW,祥碩,581,-0.17,629,582,-0.17
223	,5274.TW,信驊,1735,3.27,738,1680,3.27
224	,5278.TW,尚凡,148.5,2.77,126,144.5,2.77
225	,5288.TW,豐祥-KY,170.5,3.33,149,165,3.33
226	,5340.TW,建榮,26.25,-0.94,13,26.5,-0.94
227	,5345.TW,天揚,6.13,1.16,1,6.06,1.16
228	,5364.TW,力麗店,23.85,1.49,9,23.5,1.49
229	,5381.TW,合正,6,0.17,105,5.99,0.17
230	,5386.TW,青雲,34.05,1.04,639,33.7,1.04
231	,5403.TW,中菲,64.7,0.31,28,64.5,0.31
232	,5410.TW,國眾,28.65,1.24,1835,28.3,1.24
233	,5425.TW,台半,75,0,20158,75,0
234	,5455.TW,昇益,27.55,0,0,27.55,0
235	,5457.TW,宣德,50.4,0.4,1572,50.2,0.4
236	,5460.TW,同協,11.05,1.84,17,10.85,1.84
237	,5465.TW,富驊,16.3,0.62,72,16.2,0.62
238	,5487.TW,通泰,26.75,-0.19,0,26.8,-0.19
239	,5488.TW,松普,11.3,3.67,1068,10.9,3.67
240	,5512.TW,力麒,8.23,0.61,199,8.18,0.61
241	,5522.TW,遠雄,53,-0.38,348,53.2,-0.38
242	,5529.TW,鉅陞,12.9,1.57,1,12.7,1.57
243	,5536.TW,聖暉*,94.5,0.43,119,94.1,0.43
244	,5546.TW,永固-KY,47.6,-0.83,16,48,-0.83
245	,5607.TW,遠雄港,52.2,0.38,389,52,0.38
246	,5703.TW,亞都,16.3,0.62,27,16.2,0.62
247	,5704.TW,老爺知,41.05,5.12,811,39.05,5.12
248	,5871.TW,中租-KY,154.5,3.69,7683,149,3.69
249	,5903.TW,全家,185.5,0.27,21,185,0.27
250	,5905.TW,南仁湖,11.2,1.36,313,11.05,1.36
251	,5906.TW,台南-KY,31.3,-0.32,0,31.4,-0.32
252	,6021.TW,美好證,19.5,0,8,19.5,0
253	,6024.TW,群益期,35,0,124,35,0
254	,6101.TW,寬魚國際,21,-4.55,3062,22,-4.55
255	,6109.TW,亞元,13,1.96,692,12.75,1.96
256	,6115.TW,鎰勝,40.6,0.12,65,40.55,0.12
257	,6116.TW,彩晶,11.7,2.18,6314,11.45,2.18
258	,6124.TW,業強,30.1,-3.37,1555,31.15,-3.37
259	,6127.TW,九豪,14.2,3.27,518,13.75,3.27
260	,6141.TW,柏承,19.8,0.76,110,19.65,0.76
261	,6146.TW,耕興,206,1.98,281,202,1.98
262	,6150.TW,撼訊,61.9,-0.48,3358,62.2,-0.48
263	,6153.TW,嘉聯益,24.5,1.66,19509,24.1,1.66
264	,6176.TW,瑞儀,98.2,-0.2,1455,98.4,-0.2
265	,6183.TW,關貿,55.3,1.47,24,54.5,1.47
