符合條件商品
資料日期：2021年 12月  6日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-12-07 02:15 符合檔數(1743)
167	,1616.TW,億泰,12,-5.88,13418,57.51
168	,1617.TW,榮星,18.05,0.28,77,76.52
169	,1618.TW,合機,14.6,2.46,692,56.8
170	,1626.TW,艾美特-KY,19.2,0.26,64,59.48
171	,1701.TW,中化,22.7,0.44,198,52.81
172	,1702.TW,南僑,48.9,-0.31,205,63.48
173	,1707.TW,葡萄王,163,-0.31,49,61.51
174	,1708.TW,東鹼,36.45,1.25,5206,42.98
175	,1709.TW,和益,22.4,-1.1,1747,62.77
176	,1710.TW,東聯,22.35,-0.22,2400,57.99
177	,1711.TW,永光,26.25,0.38,5842,42.15
178	,1712.TW,興農,27.7,-0.72,726,41.7
179	,1713.TW,國化,23.9,-0.42,57,66.73
180	,1714.TW,和桐,11.35,-2.16,4924,53.75
181	,1717.TW,長興,36.7,0.69,1280,66.97
182	,1718.TW,中纖,10,-0.5,5510,44.58
183	,1720.TW,生達,39.8,-0.13,105,59.94
184	,1721.TW,三晃,28.9,1.05,38832,37.51
185	,1722.TW,台肥,68.5,-0.15,1125,61.84
186	,1723.TW,中碳,114.5,-0.43,193,53.47
187	,1725.TW,元禎,35.05,-2.64,417,93.12
188	,1726.TW,永記,73.2,-0.41,41,85.16
189	,1727.TW,中華化,52.1,-0.19,7285,52.14
190	,1730.TW,花仙子,63.5,0,33,53.02
191	,1731.TW,美吾華,19.45,2.64,1028,52.11
192	,1732.TW,毛寶,31.95,-3.77,2752,44.33
193	,1733.TW,五鼎,24.4,-0.2,275,12.34
194	,1734.TW,杏輝,28.75,-0.35,738,24.48
195	,1735.TW,日勝化,18.15,0.55,6,83.66
196	,1736.TW,喬山,57.2,-1.21,274,77.89
197	,1737.TW,臺鹽,33.25,0.15,288,53.1
198	,1742.TW,台蠟,20.35,0.99,72,62.74
199	,1752.TW,南光,36,-0.28,21,59.03
200	,1760.TW,寶齡富錦,70.1,-0.28,347,23.71
201	,1762.TW,中化生,66.7,-1.77,838,39.87
202	,1773.TW,勝一,141.5,-0.35,535,64.77
203	,1776.TW,展宇,21.85,2.1,130,53.63
204	,1777.TW,生泰,67,1.52,67,46.7
205	,1781.TW,合世,15.85,-2.16,221,27.69
206	,1783.TW,和康生,58.5,0,531,56.93
207	,1784.TW,訊聯,42,0.72,73,20.8
208	,1785.TW,光洋科,50.6,1.2,4165,37.91
209	,1786.TW,科妍,49.8,-0.4,5,44.12
210	,1788.TW,杏昌,139,0,14,42.28
211	,1789.TW,神隆,24.45,1.24,502,76.08
