符合條件商品
資料日期：2021年 12月  6日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-07 02:08 符合檔數(1585)
168	,1701.TW,中化,22.7,0.44,198,0,0,0,5
169	,1702.TW,南僑,48.9,-0.31,205,0,5,4,5
170	,1707.TW,葡萄王,163,-0.31,49,0,1,1,9
171	,1708.TW,東鹼,36.45,1.25,5206,6,1,0,14
172	,1709.TW,和益,22.4,-1.1,1747,1,1,0,11
173	,1710.TW,東聯,22.35,-0.22,2400,2,0,2,7
174	,1711.TW,永光,26.25,0.38,5842,7,0,0,9
175	,1712.TW,興農,27.7,-0.72,726,0,0,0,11
176	,1713.TW,國化,23.9,-0.42,57,1,0,0,7
177	,1714.TW,和桐,11.35,-2.16,4924,3,0,0,10
178	,1717.TW,長興,36.7,0.69,1280,1,4,14,5
179	,1718.TW,中纖,10,-0.5,5510,3,1,1,6
180	,1720.TW,生達,39.8,-0.13,105,0,0,0,13
181	,1721.TW,三晃,28.9,1.05,38832,14,0,0,19
182	,1722.TW,台肥,68.5,-0.15,1125,0,19,6,6
183	,1723.TW,中碳,114.5,-0.43,193,1,3,0,8
184	,1725.TW,元禎,35.05,-2.64,417,15,0,0,15
185	,1726.TW,永記,73.2,-0.41,41,0,0,0,10
186	,1727.TW,中華化,52.1,-0.19,7285,22,0,0,11
187	,1730.TW,花仙子,63.5,0,33,0,0,0,5
188	,1731.TW,美吾華,19.45,2.64,1028,3,0,0,7
189	,1732.TW,毛寶,31.95,-3.77,2752,15,0,0,11
190	,1733.TW,五鼎,24.4,-0.2,275,1,0,0,10
191	,1734.TW,杏輝,28.75,-0.35,738,10,0,0,11
192	,1735.TW,日勝化,18.15,0.55,6,2,0,0,23
193	,1736.TW,喬山,57.2,-1.21,274,1,4,4,8
194	,1737.TW,臺鹽,33.25,0.15,288,0,0,0,11
195	,1742.TW,台蠟,20.35,0.99,72,8,0,0,8
196	,1752.TW,南光,36,-0.28,21,0,0,0,8
197	,1760.TW,寶齡富錦,70.1,-0.28,347,8,0,0,11
198	,1762.TW,中化生,66.7,-1.77,838,2,1,1,9
199	,1773.TW,勝一,141.5,-0.35,535,0,2,0,10
200	,1776.TW,展宇,21.85,2.1,130,7,0,0,11
201	,1777.TW,生泰,67,1.52,67,0,0,0,12
202	,1781.TW,合世,15.85,-2.16,221,8,0,0,8
203	,1783.TW,和康生,58.5,0,531,14,0,0,11
204	,1784.TW,訊聯,42,0.72,73,0,0,0,7
205	,1785.TW,光洋科,50.6,1.2,4165,5,3,6,13
206	,1786.TW,科妍,49.8,-0.4,5,0,0,0,12
207	,1788.TW,杏昌,139,0,14,0,0,0,14
208	,1789.TW,神隆,24.45,1.24,502,0,0,0,8
209	,1795.TW,美時,100.5,-2.43,19869,6,5,3,11
210	,1799.TW,易威,16.3,0.62,101,6,0,0,8
211	,1802.TW,台玻,26.9,1.32,7726,9,14,11,9
212	,1805.TW,寶徠,13.75,0,27,5,0,0,10
213	,1806.TW,冠軍,11.9,3.93,2658,11,0,0,11
214	,1808.TW,潤隆,59.6,0,86,0,0,0,18
215	,1809.TW,中釉,14.5,0.69,2663,8,1,0,10
216	,1810.TW,和成,16.35,1.24,2719,5,0,0,13
217	,1813.TW,寶利徠,18,0,14,0,0,0,6
218	,1815.TW,富喬,16.5,0,1460,5,0,0,12
219	,1817.TW,凱撒衛,36.6,0.27,24,0,0,0,17
220	,1903.TW,士紙,64.9,0.31,189,6,0,0,13
221	,1904.TW,正隆,33.7,-0.44,1471,1,8,9,10
222	,1905.TW,華紙,23.1,-1.28,2719,10,0,2,10
223	,1906.TW,寶隆,20.2,1,381,2,1,0,11
224	,1907.TW,永豐餘,34.6,-0.86,2590,6,7,8,11
225	,1909.TW,榮成,24.6,0.2,2361,1,8,6,9
226	,2002.TW,中鋼,33.9,-0.59,26548,2,30,30,9
227	,2006.TW,東和鋼鐵,59.6,-0.91,3774,2,7,13,17
228	,2007.TW,燁興,20.8,-0.48,1674,19,2,1,10
229	,2008.TW,高興昌,19.75,-1,103,17,0,0,10
230	,2009.TW,第一銅,43.3,0,899,18,1,0,8
231	,2010.TW,春源,22.4,0.22,1100,9,1,0,8
232	,2012.TW,春雨,29.9,-0.66,258,15,1,1,10
233	,2013.TW,中鋼構,54.7,-1.08,874,10,0,0,8
234	,2014.TW,中鴻,37.1,1.64,26372,15,5,5,11
235	,2015.TW,豐興,78.8,-0.13,114,2,3,2,9
236	,2017.TW,官田鋼,20,0.25,920,16,0,0,10
237	,2020.TW,美亞,31.85,-0.31,499,10,1,0,8
238	,2022.TW,聚亨,13.9,0,2209,22,0,0,10
239	,2023.TW,燁輝,24.1,0.84,6382,13,2,2,9
240	,2024.TW,志聯,20,0.5,121,17,0,0,11
241	,2025.TW,千興,5.33,0.57,429,20,0,0,10
242	,2027.TW,大成鋼,46.2,0,17226,9,15,19,8
243	,2028.TW,威致,41.6,0.6,2419,21,0,0,7
244	,2029.TW,盛餘,32.3,-0.15,731,10,3,1,8
245	,2030.TW,彰源,30.75,0.16,4216,18,1,1,6
246	,2031.TW,新光鋼,57.3,0,1184,8,7,6,11
247	,2032.TW,新鋼,23.5,0.64,230,19,0,0,6
248	,2033.TW,佳大,17.35,0.87,196,18,0,0,12
249	,2034.TW,允強,31.7,0.16,902,6,3,4,12
250	,2035.TW,唐榮,35.8,-0.69,36,4,0,0,14
251	,2038.TW,海光,35.05,1.45,3483,25,0,0,8
252	,2049.TW,上銀,286.5,1.42,1453,0,5,3,7
253	,2059.TW,川湖,490,0,200,0,4,1,17
254	,2062.TW,橋椿,27.3,0,127,5,1,0,11
255	,2063.TW,世鎧,36.85,-1.73,178,0,0,0,9
256	,2064.TW,晉椿,18.1,0.84,11,5,0,0,11
257	,2065.TW,世豐,47.9,-0.31,66,1,0,0,11
258	,2066.TW,世德,58.6,-3.46,59,1,0,0,19
259	,2067.TW,嘉鋼,12.8,0.39,37,8,0,0,6
260	,2069.TW,運錩,35,-0.85,1965,16,0,0,12
261	,2070.TW,精湛,34.2,1.48,63,4,0,0,9
262	,2101.TW,南港,39.1,-0.13,805,0,1,1,16
263	,2102.TW,泰豐,27.8,0,1367,7,0,0,5
264	,2103.TW,台橡,33.85,3.04,6895,1,5,3,9
265	,2104.TW,國際中橡,25.85,0.98,2580,1,0,0,10
266	,2105.TW,正新,34.85,2.35,5088,0,11,2,5
267	,2106.TW,建大,30.3,1,670,1,2,1,4
268	,2107.TW,厚生,22.65,-0.66,291,0,0,1,4
269	,2108.TW,南帝,84.2,-0.36,1799,6,7,6,11
270	,2109.TW,華豐,16.5,0,62,5,0,0,15
271	,2114.TW,鑫永銓,120.5,0.42,54,1,2,0,9
272	,2115.TW,六暉-KY,39.7,0.89,81,0,0,0,11
273	,2201.TW,裕隆,41.55,0.24,1320,1,5,3,8
274	,2204.TW,中華,64.7,-0.77,394,2,6,1,10
275	,2206.TW,三陽工業,26.3,0.38,353,0,0,0,7
276	,2207.TW,和泰車,619,1.14,171,0,4,0,18
277	,2208.TW,台船,22.1,0.68,1738,6,2,0,11
278	,2221.TW,大甲,42.7,0.12,659,9,0,0,13
279	,2228.TW,劍麟,67.2,-0.15,21,1,0,0,7
280	,2230.TW,泰茂,13.4,0.37,21,4,0,0,10
281	,2231.TW,為升,184.5,1.65,900,4,5,2,10
282	,2233.TW,宇隆,95,-0.84,233,2,7,5,6
283	,2235.TW,謚源,39,-0.38,6,0,0,0,9
284	,2236.TW,百達-KY,26.4,0,5,1,0,0,14
285	,2239.TW,英利-KY,81.9,-0.61,158,2,0,2,13
286	,2241.TW,艾姆勒,50.4,-0.59,210,0,0,0,5
287	,2243.TW,宏旭-KY,19.05,0.53,163,22,0,0,7
288	,2247.TW,汎德永業,209,-0.71,27,0,0,0,8
289	,2301.TW,光寶科,62.1,2.48,7061,0,11,9,14
290	,2302.TW,麗正,16.95,-2.02,229,6,0,0,11
291	,2303.TW,聯電,67.3,-1.46,135275,1,24,23,11
292	,2305.TW,全友,8.73,-0.57,798,2,0,0,14
293	,2308.TW,台達電,261,-0.19,4449,0,9,13,11
294	,2312.TW,金寶,13.25,0.38,6195,3,0,0,12
295	,2313.TW,華通,42.9,4.13,18871,0,6,15,11
296	,2314.TW,台揚,77.6,-0.77,1850,14,2,5,10
297	,2316.TW,楠梓電,29.1,0,160,1,0,0,11
298	,2317.TW,鴻海,106.5,1.43,22958,0,14,10,11
299	,2321.TW,東訊,6.15,-3.45,5,4,0,0,13
300	,2323.TW,中環,8.95,-0.56,2422,1,1,0,12
301	,2324.TW,仁寶,23.85,2.36,17469,1,9,5,12
302	,2327.TW,國巨,465,-1.59,2946,0,13,15,17
303	,2328.TW,廣宇,38.55,1.45,2325,2,3,4,5
304	,2329.TW,華泰,25.75,-0.39,4214,2,1,1,15
305	,2330.TW,台積電,600,-1.32,24475,0,8,9,15
306	,2331.TW,精英,23,-1.5,2806,1,0,0,11
307	,2332.TW,友訊,18.15,-0.27,1151,1,1,1,12
308	,2337.TW,旺宏,42.35,-0.12,14525,2,10,18,13
309	,2338.TW,光罩,109.5,0,52105,13,12,4,14
310	,2340.TW,光磊,60.1,2.21,39848,6,0,2,13
311	,2342.TW,茂矽,54.2,9.94,29457,4,0,0,15
312	,2344.TW,華邦電,31.9,-2.15,49151,3,16,20,21
313	,2345.TW,智邦,283.5,2.35,1629,0,4,8,14
314	,2347.TW,聯強,61,2.35,11903,1,6,5,17
315	,2348.TW,海悅,105,0.96,115,0,0,0,13
316	,2349.TW,錸德,9.11,-0.76,1614,4,0,0,7
317	,2351.TW,順德,163.5,-0.3,2429,7,11,9,12
318	,2352.TW,佳世達,30.25,1,8992,1,11,14,7
319	,2353.TW,宏碁,29.75,-1.33,57994,1,10,5,17
320	,2354.TW,鴻準,65.5,1.71,3806,0,14,5,6
321	,2355.TW,敬鵬,35.1,-2.5,8074,2,2,1,11
322	,2356.TW,英業達,25.55,-0.39,8479,0,18,4,17
323	,2357.TW,華碩,365,-0.14,1622,1,10,11,16
324	,2358.TW,廷鑫,21.25,-1.16,702,10,0,0,12
325	,2359.TW,所羅門,17.2,-0.58,305,0,0,0,13
326	,2360.TW,致茂,188,3.3,1198,0,1,11,15
327	,2362.TW,藍天,31.6,0.48,485,1,0,0,16
328	,2363.TW,矽統,26.65,-0.37,10798,5,0,0,11
329	,2364.TW,倫飛,20,-0.5,17,6,0,0,19
330	,2365.TW,昆盈,11.1,0.91,1247,1,0,0,14
331	,2367.TW,燿華,18.5,0,2514,2,1,1,17
332	,2368.TW,金像電,71.5,-2.19,7099,3,9,16,10
333	,2369.TW,菱生,26.6,-1.48,7574,7,3,0,12
334	,2371.TW,大同,34.15,-1.3,17562,2,5,2,9
335	,2373.TW,震旦行,90,-0.33,8,0,0,0,18
336	,2374.TW,佳能,23.9,0.21,7262,3,0,0,13
337	,2375.TW,凱美,114.5,-1.72,5802,6,3,11,16
338	,2376.TW,技嘉,134.5,-4.61,23355,2,13,7,13
339	,2377.TW,微星,163.5,1.24,7626,1,7,3,14
340	,2379.TW,瑞昱,577,3.96,2993,0,7,14,17
