符合條件商品
資料日期：2021年 12月  6日
策略,	01每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-12-07 02:15 符合檔數(1451)
154	,1701.TW,中化,22.7,0.44,198,0,10.79,4.33,0.04
155	,1702.TW,南僑,48.9,-0.31,205,0,15.81,1.27,0.98
156	,1707.TW,葡萄王,163,-0.31,49,0,10.38,1.55,0
157	,1708.TW,東鹼,36.45,1.25,5206,0.38,11.77,16.45,0.04
158	,1709.TW,和益,22.4,-1.1,1747,0.07,11.62,4.55,0.01
159	,1710.TW,東聯,22.35,-0.22,2400,0.08,8.4,7.74,0.09
160	,1711.TW,永光,26.25,0.38,5842,2.29,6.75,14.11,0
161	,1712.TW,興農,27.7,-0.72,726,0.08,12.58,1.22,0
162	,1713.TW,國化,23.9,-0.42,57,0,4.16,9.67,0
163	,1714.TW,和桐,11.35,-2.16,4924,0.04,19.64,7.8,0
164	,1717.TW,長興,36.7,0.69,1280,0.02,12.23,3.34,0.07
165	,1718.TW,中纖,10,-0.5,5510,0,8.02,10.37,0
166	,1720.TW,生達,39.8,-0.13,105,0.02,2.9,2.49,0
167	,1721.TW,三晃,28.9,1.05,38832,10.02,4.13,24.27,0
168	,1722.TW,台肥,68.5,-0.15,1125,0.13,13.26,1.48,0.08
169	,1723.TW,中碳,114.5,-0.43,193,0.03,8.22,2.85,0.14
170	,1725.TW,元禎,35.05,-2.64,417,0.07,0.69,1.28,0
171	,1726.TW,永記,73.2,-0.41,41,0,13.76,0,0
172	,1727.TW,中華化,52.1,-0.19,7285,12.71,2.01,22.12,0.08
173	,1730.TW,花仙子,63.5,0,33,0,7.6,0.35,0
174	,1731.TW,美吾華,19.45,2.64,1028,0,0.85,6.28,0
175	,1732.TW,毛寶,31.95,-3.77,2752,6.84,3.27,17.55,0
176	,1733.TW,五鼎,24.4,-0.2,275,0,4.49,5.21,0
177	,1734.TW,杏輝,28.75,-0.35,738,0.03,2.53,13.97,0
178	,1735.TW,日勝化,18.15,0.55,6,0,50.44,0.32,0.12
179	,1736.TW,喬山,57.2,-1.21,274,0.25,7.67,2.82,0.03
180	,1737.TW,臺鹽,33.25,0.15,288,0,11.12,1.17,0
181	,1742.TW,台蠟,20.35,0.99,72,0.82,0.44,43.18,0
182	,1752.TW,南光,36,-0.28,21,0,1.12,3.52,0
183	,1760.TW,寶齡富錦,70.1,-0.28,347,0.42,1.23,19.17,0
184	,1762.TW,中化生,66.7,-1.77,838,0.42,6.56,29.81,1.42
185	,1773.TW,勝一,141.5,-0.35,535,0,3.87,1.09,0.08
186	,1776.TW,展宇,21.85,2.1,130,0.02,1.43,6.25,0.08
187	,1777.TW,生泰,67,1.52,67,0.31,0.17,2.46,0
188	,1783.TW,和康生,58.5,0,531,0.14,8.55,19.64,0
189	,1784.TW,訊聯,42,0.72,73,0.01,2.02,19.23,0
190	,1785.TW,光洋科,50.6,1.2,4165,0.07,6.62,19.34,0.48
191	,1786.TW,科妍,49.8,-0.4,5,0,0.45,5.64,0
192	,1788.TW,杏昌,139,0,14,0,11.03,0.09,0
193	,1789.TW,神隆,24.45,1.24,502,0,3.9,2.22,0
194	,1795.TW,美時,100.5,-2.43,19869,0.36,79.92,13.52,1.15
195	,1802.TW,台玻,26.9,1.32,7726,0.13,10.32,3.57,0.43
196	,1806.TW,冠軍,11.9,3.93,2658,0.04,10.6,8.89,0
197	,1808.TW,潤隆,59.6,0,86,0,5.09,4.52,0
198	,1809.TW,中釉,14.5,0.69,2663,0.36,1.74,12.53,0.09
199	,1810.TW,和成,16.35,1.24,2719,0.33,6.12,32.5,0.1
200	,1813.TW,寶利徠,18,0,14,0,10.17,1.36,0
201	,1815.TW,富喬,16.5,0,1460,3.33,5.07,17.22,0
202	,1817.TW,凱撒衛,36.6,0.27,24,0,2.82,10.9,0.41
203	,1903.TW,士紙,64.9,0.31,189,0.01,19.02,3.71,0.01
204	,1904.TW,正隆,33.7,-0.44,1471,0.02,9.25,2.1,1.05
205	,1905.TW,華紙,23.1,-1.28,2719,0.48,3.19,5.02,0.01
206	,1906.TW,寶隆,20.2,1,381,0.05,1.61,16.75,0
207	,1907.TW,永豐餘,34.6,-0.86,2590,0.07,16.37,4.32,0.15
208	,1909.TW,榮成,24.6,0.2,2361,0.03,11.28,8.59,0.8
209	,2002.TW,中鋼,33.9,-0.59,26548,0.02,21.29,2.23,0.81
210	,2006.TW,東和鋼鐵,59.6,-0.91,3774,0,15.98,5.77,1.36
211	,2007.TW,燁興,20.8,-0.48,1674,4.13,0.34,19.47,0
212	,2008.TW,高興昌,19.75,-1,103,0.01,7.66,1.71,0
213	,2009.TW,第一銅,43.3,0,899,3.29,2.08,11.13,0
214	,2010.TW,春源,22.4,0.22,1100,0.07,5.58,6.36,0.01
215	,2012.TW,春雨,29.9,-0.66,258,0.01,2.02,3.64,0
216	,2013.TW,中鋼構,54.7,-1.08,874,1.72,8.4,19.7,0
217	,2014.TW,中鴻,37.1,1.64,26372,1.13,6.76,14.77,0.03
218	,2015.TW,豐興,78.8,-0.13,114,0.03,12.03,0.26,0.06
219	,2017.TW,官田鋼,20,0.25,920,0.18,15.91,7.26,0
