符合條件商品
資料日期：2021年 12月  6日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券,	法人
執行時間：2021-12-07 02:05 符合檔數(1393)
82	,1464.TW,得力,15.2,-0.65,292,0.59,0.61,0.56,0.07,0.41,0.52,0.6
83	,1465.TW,偉全,12.25,0.41,42,0.47,0.4,0.18,0,0,0.34,0.4
84	,1466.TW,聚隆,15.25,0.33,66,0.51,0.47,0.29,0,0.4,0.54,0.49
85	,1467.TW,南緯,14.05,1.44,422,0.52,0.55,0.3,0,0.34,0.4,0.55
86	,1470.TW,大統新創,18,0,1,0.22,0.5,0.18,0,0,0,0.5
87	,1473.TW,台南,17.85,0,23,0.52,0.59,0.27,0,0.09,0.44,0.61
88	,1474.TW,弘裕,15.05,1.01,553,0.54,0.53,0.35,0,0.31,0.47,0.52
89	,1476.TW,儒鴻,593,0.34,570,0.36,0.62,0.6,0.67,0.43,0.49,0.69
90	,1477.TW,聚陽,240.5,1.48,520,0.41,0.63,0.63,0.61,0.5,0.47,0.65
91	,1503.TW,士電,52.5,-1.32,48,0.48,0.6,0.53,0.06,0,0.36,0.61
92	,1504.TW,東元,30.45,0.66,2064,0.52,0.55,0.47,0.48,0.41,0.43,0.54
93	,1507.TW,永大,64.4,0,422,0.36,0.55,0.45,0,0.1,0.49,0.56
94	,1513.TW,中興電,45.35,0.89,2266,0.61,0.61,0.58,0.51,0.33,0.41,0.63
95	,1514.TW,亞力,23.25,-0.43,192,0.53,0.61,0.32,0,0.47,0.41,0.61
96	,1515.TW,力山,60.3,-4.13,2757,0.53,0.63,0.66,0.34,0.36,0.52,0.67
97	,1516.TW,川飛,23.35,-2.71,228,0.52,0.49,0.08,0,0.08,0.25,0.47
98	,1517.TW,利奇,27.1,-1.28,3487,0.56,0.54,0.44,0,0.28,0.4,0.53
99	,1519.TW,華城,34.9,-0.29,212,0.63,0.69,0.56,0.12,0.36,0.52,0.69
100	,1521.TW,大億,41.6,-0.48,40,0.46,0.6,0.16,0,0,0.29,0.58
101	,1522.TW,堤維西,19.15,0,179,0.48,0.61,0.39,0.14,0.44,0.44,0.6
102	,1524.TW,耿鼎,10.55,5.5,1745,0.59,0.57,0.19,0,0,0.32,0.57
103	,1525.TW,江申,59.4,0.17,15,0.52,0.61,0.31,0.08,0.1,0.42,0.58
104	,1526.TW,日馳,48.8,0.41,99,0.64,0.55,0.35,0,0.39,0.51,0.55
105	,1527.TW,鑽全,42.25,0.72,139,0.56,0.63,0.38,0.1,0.41,0.5,0.64
106	,1528.TW,恩德,11.2,3.23,1168,0.58,0.64,0.3,0.17,0.17,0.35,0.63
107	,1529.TW,樂士,23.3,8.12,18297,0.54,0.58,0.18,0,0.13,0.42,0.59
108	,1530.TW,亞崴,33.2,-0.3,7,0.39,0.54,0.25,0,0,0.26,0.55
109	,1531.TW,高林股,15.35,0.66,69,0.54,0.48,0.27,0,0.1,0.29,0.49
110	,1532.TW,勤美,32.05,-0.47,195,0.59,0.55,0.33,0.18,0.34,0.5,0.55
111	,1533.TW,車王電,57.7,1.94,176,0.64,0.6,0.38,0,0.3,0.45,0.59
112	,1535.TW,中宇,39.15,-0.63,14,0.55,0.5,0.26,0,0.08,0.32,0.49
113	,1536.TW,和大,90.5,-0.66,357,0.41,0.63,0.73,0.48,0.45,0.53,0.73
114	,1537.TW,廣隆,138.5,0,54,0.39,0.59,0.32,0.2,0.21,0.42,0.61
115	,1539.TW,巨庭,22.3,6.95,3040,0.56,0.54,0.27,0,0.18,0.29,0.5
116	,1540.TW,喬福,14.8,0.34,83,0.52,0.59,0.19,0,0,0.31,0.58
117	,1541.TW,錩泰,43.1,-0.23,2,0.54,0.56,0.28,0,0.08,0.28,0.51
118	,1558.TW,伸興,146,1.39,47,0.41,0.55,0.3,0.1,0,0.38,0.55
119	,1560.TW,中砂,89.5,-0.11,5057,0.59,0.59,0.57,0.18,0.34,0.43,0.62
120	,1565.TW,精華,305,0,39,0.39,0.6,0.71,0.45,0.46,0.52,0.61
121	,1568.TW,倉佑,20.7,-1.43,121,0.58,0.49,0.35,0,0.23,0.47,0.48
122	,1569.TW,濱川,24.95,-0.6,84,0.69,0.58,0.46,0,0.36,0.5,0.61
123	,1570.TW,力肯,26,7.66,5158,0.51,0.41,0.24,0,0.32,0.27,0.41
124	,1580.TW,新麥,104.5,0,64,0.49,0.53,0.27,0,0.05,0.19,0.52
125	,1582.TW,信錦,68.6,0.29,111,0.55,0.64,0.57,0.06,0.29,0.47,0.66
126	,1583.TW,程泰,61.3,-1.13,24,0.23,0.52,0.23,0,0,0.2,0.5
127	,1584.TW,精剛,17.6,0.57,461,0.42,0.47,0.11,0,0.09,0.31,0.44
128	,1586.TW,和勤,41,0.12,71,0.41,0.57,0.44,0,0.33,0.46,0.55
129	,1587.TW,吉茂,25.35,0.2,86,0.66,0.52,0.2,0,0.35,0.4,0.55
130	,1589.TW,永冠-KY,60.9,0,222,0.54,0.56,0.64,0.13,0.47,0.49,0.59
131	,1590.TW,亞德客-KY,844,-0.59,275,0.3,0.69,0.57,0.53,0.36,0.47,0.73
132	,1593.TW,祺驊,84.3,1.57,28,0.63,0.48,0.24,0,0.31,0.37,0.47
133	,1595.TW,川寶,46.5,-2.62,520,0.54,0.37,0.15,0,0.13,0.24,0.4
134	,1597.TW,直得,85.8,-0.58,52,0.55,0.51,0.67,0.48,0.38,0.52,0.63
135	,1598.TW,岱宇,58.3,-2.02,630,0.47,0.61,0.49,0.29,0.41,0.48,0.63
136	,1599.TW,宏佳騰,43.4,0.12,91,0.58,0.55,0.11,0,0.05,0.38,0.57
137	,1603.TW,華電,26.65,0.19,94,0.59,0.56,0.33,0,0.19,0.4,0.54
138	,1604.TW,聲寶,29.5,0.17,330,0.49,0.65,0.46,0.17,0.32,0.38,0.68
139	,1605.TW,華新,26.3,0.19,3648,0.53,0.59,0.61,0.45,0.37,0.49,0.59
140	,1608.TW,華榮,21.4,0,553,0.57,0.51,0.43,0.25,0.28,0.51,0.52
141	,1609.TW,大亞,24,-0.41,2466,0.61,0.53,0.5,0.12,0.28,0.49,0.55
142	,1611.TW,中電,18.1,6.47,42002,0.52,0.59,0.3,0,0.17,0.44,0.58
143	,1612.TW,宏泰,25.1,0,951,0.44,0.62,0.5,0.44,0.38,0.39,0.63
144	,1614.TW,三洋電,36.45,0.28,36,0.61,0.55,0.38,0,0,0.37,0.56
145	,1615.TW,大山,32.1,0.31,34,0.46,0.58,0.28,0,0.39,0.38,0.61
146	,1617.TW,榮星,18.05,0.28,77,0.53,0.5,0.24,0,0.06,0.31,0.48
147	,1618.TW,合機,14.6,2.46,692,0.63,0.61,0.36,0,0.3,0.37,0.61
148	,1626.TW,艾美特-KY,19.2,0.26,64,0.48,0.58,0.35,0,0.36,0.42,0.55
149	,1701.TW,中化,22.7,0.44,198,0.6,0.64,0.49,0.08,0.22,0.49,0.63
150	,1702.TW,南僑,48.9,-0.31,205,0.59,0.65,0.58,0.21,0.26,0.52,0.69
151	,1707.TW,葡萄王,163,-0.31,49,0.49,0.65,0.59,0.27,0.36,0.53,0.67
152	,1708.TW,東鹼,36.45,1.25,5206,0.41,0.62,0.37,0.18,0.23,0.42,0.61
153	,1709.TW,和益,22.4,-1.1,1747,0.53,0.59,0.38,0,0.24,0.47,0.59
154	,1710.TW,東聯,22.35,-0.22,2400,0.56,0.62,0.52,0.12,0.35,0.47,0.66
155	,1711.TW,永光,26.25,0.38,5842,0.6,0.61,0.57,0,0.28,0.47,0.65
156	,1712.TW,興農,27.7,-0.72,726,0.56,0.63,0.48,0.05,0.22,0.39,0.6
157	,1713.TW,國化,23.9,-0.42,57,0.55,0.49,0.32,0,0.17,0.29,0.5
158	,1714.TW,和桐,11.35,-2.16,4924,0.59,0.67,0.47,0,0.43,0.46,0.66
159	,1717.TW,長興,36.7,0.69,1280,0.59,0.63,0.51,0.47,0.39,0.44,0.62
160	,1718.TW,中纖,10,-0.5,5510,0.52,0.63,0.57,0,0.41,0.5,0.64
161	,1720.TW,生達,39.8,-0.13,105,0.61,0.6,0.44,0,0.35,0.44,0.61
162	,1721.TW,三晃,28.9,1.05,38832,0.5,0.53,0.37,0,0.17,0.34,0.54
163	,1722.TW,台肥,68.5,-0.15,1125,0.55,0.55,0.6,0.56,0.38,0.41,0.55
164	,1723.TW,中碳,114.5,-0.43,193,0.52,0.62,0.49,0.16,0.17,0.5,0.63
165	,1725.TW,元禎,35.05,-2.64,417,0.34,0.52,0.25,0,0.33,0.24,0.51
166	,1726.TW,永記,73.2,-0.41,41,0.2,0.49,0.34,0,0,0.27,0.47
167	,1727.TW,中華化,52.1,-0.19,7285,0.44,0.46,0.24,0.25,0.2,0.23,0.45
168	,1730.TW,花仙子,63.5,0,33,0.51,0.55,0.24,0,0.12,0.45,0.54
169	,1731.TW,美吾華,19.45,2.64,1028,0.52,0.59,0.3,0,0.26,0.39,0.6
