符合條件商品
資料日期：2023年  4月 19日
策略,	11主力賣比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-19 22:52 符合檔數(588)
285	,3541.TW,西柏,60.6,-0.82,146,2.44
286	,3543.TW,州巧,22,0.92,161,1.36
287	,3551.TW,世禾,60.9,-0.16,80,1.66
288	,3556.TW,禾瑞亞,67,-0.59,101,1.38
289	,3557.TW,嘉威,68.2,-3.54,413,1.51
290	,3564.TW,其陽,40.8,-0.12,338,1.65
291	,3577.TW,泓格,86,0.82,367,3.9
292	,3580.TW,友威科,60.2,-0.17,390,1.77
293	,3588.TW,通嘉,65.4,0.15,2940,1.43
294	,3593.TW,力銘,12.65,-0.39,16,2.33
295	,3594.TW,磐儀,55.6,-0.36,2231,1.36
296	,3617.TW,碩天,128,-1.54,694,1.55
297	,3623.TW,富晶通,16.75,-0.89,12,1.75
298	,3645.TW,達邁,34.7,-1.98,276,2.09
299	,3669.TW,圓展,45.45,-1.84,83,1.44
300	,3673.TW,TPK-KY,41.25,-0.6,34713,1.36
301	,3682.TW,亞太電,6.62,-2.07,3469,1.61
302	,3701.TW,大眾控,58.3,-2.83,3186,1.49
303	,3703.TW,欣陸,31.75,-0.94,1927,1.99
304	,3707.TW,漢磊,86.5,-1.26,3581,1.71
305	,3711.TW,日月光投控,103.5,-1.9,11252,1.87
306	,3712.TW,永崴投控,39,-2.5,7084,1.55
307	,3714.TW,富采,53.6,-0.56,3683,1.37
308	,4105.TW,東洋,77.1,-0.13,585,1.59
309	,4108.TW,懷特,19.35,-0.26,172,1.52
310	,4113.TW,聯上,16.4,-1.5,648,1.92
311	,4127.TW,天良,16.1,-8,2651,2.68
312	,4131.TW,晶宇,29.3,2.63,42,1.68
313	,4142.TW,國光生,40.5,-0.61,1666,1.73
314	,4154.TW,樂威科-KY,30.2,2.2,34,1.35
315	,4155.TW,訊映,33.3,-1.19,765,1.9
316	,4161.TW,聿新科,30.45,0,133,1.57
317	,4183.TW,福永生技,20,0.76,78,1.45
318	,4188.TW,安克,16.3,0,55,1.71
319	,4192.TW,杏國,19.5,-1.52,18,6
320	,4205.TW,中華食,105.5,0.48,20,2.8
321	,4207.TW,環泰,15.25,-0.97,1188,2.61
322	,4304.TW,勝昱,9.99,-0.1,52,1.46
323	,4306.TW,炎洲,16.6,-0.3,1297,1.39
324	,4401.TW,東隆興,26.4,-0.94,92,1.36
325	,4406.TW,新昕纖,10.1,-1.46,107,4.33
326	,4417.TW,金洲,40.3,-1.1,269,1.43
327	,4426.TW,利勤,25.6,0,156,1.44
328	,4430.TW,耀億,23,-0.22,9,3.5
329	,4506.TW,崇友,74.8,-0.8,61,1.54
330	,4526.TW,東台,17.8,-1.66,928,1.42
331	,4528.TW,江興鍛,33.05,-0.9,61,1.45
332	,4532.TW,瑞智,17.95,-0.83,598,2.3
333	,4533.TW,協易機,11.8,-1.67,685,2
334	,4538.TW,大詠城,21.1,0.48,20,2.14
335	,4550.TW,長佳,34.2,-0.29,689,1.45
336	,4552.TW,力達-KY,33.4,-1.76,1003,1.5
337	,4555.TW,氣立,48,-1.23,142,3.74
338	,4566.TW,時碩工業,64.4,0.78,8601,1.64
339	,4609.TW,唐鋒,7.67,-5.07,10,3
340	,4702.TW,中美實,14.4,-0.35,287,1.47
341	,4711.TW,永純,15.05,-0.66,20,1.7
342	,4714.TW,永捷,12,-2.83,2525,1.67
343	,4716.TW,大立,12.55,-3.46,1998,3.39
344	,4720.TW,德淵,14.6,-0.68,230,2.61
345	,4722.TW,國精化,35.25,-0.7,86,1.86
346	,4735.TW,豪展,38.75,-0.39,15,1.5
347	,4736.TW,泰博,184,-0.81,569,1.53
348	,4737.TW,華廣,75.6,-0.79,64,1.58
349	,4739.TW,康普,97.5,-1.52,595,1.74
350	,4741.TW,泓瀚,27.3,0.18,110,2.37
351	,4744.TW,皇將,34.75,-1.56,922,1.36
352	,4745.TW,合富-KY,27.3,0.18,73,1.58
353	,4919.TW,新唐,143.5,-2.38,5387,1.88
354	,4927.TW,泰鼎-KY,59.8,-0.99,1081,1.66
355	,4958.TW,臻鼎-KY,111,-2.2,2985,1.72
356	,4961.TW,天鈺,173.5,-5.96,11455,1.44
357	,4967.TW,十銓,75.6,-3.69,10753,1.5
358	,4971.TW,IET-KY,69.7,-0.85,1032,1.49
359	,4972.TW,湯石照明,29.95,0,17,1.44
360	,4973.TW,廣穎,26.15,-1.51,555,1.8
361	,4974.TW,亞泰,70,-0.71,281,1.37
362	,4976.TW,佳凌,50.3,-1.37,1827,1.57
363	,4987.TW,科誠,61.9,1.81,86,1.43
364	,4994.TW,傳奇,46,0.88,157,1.41
365	,4995.TW,晶達,52.9,-1.12,275,1.79
366	,5007.TW,三星,53,0.38,83,2.48
367	,5011.TW,久陽,28.1,-0.71,629,1.52
368	,5015.TW,華祺,56.7,-0.7,150,1.92
369	,5220.TW,萬達光電,31.05,0.49,32,4.29
370	,5223.TW,安力-KY,40.75,-0.12,55,2.46
371	,5236.TW,凌陽創新,91.1,-0.55,86,1.47
372	,5251.TW,天鉞電,22.7,-7.54,1174,2.03
373	,5258.TW,虹堡,87.1,-1.58,4378,1.4
374	,5278.TW,尚凡,178.5,0,14,1.83
375	,5291.TW,邑昇,34.55,0,48,1.67
376	,5302.TW,太欣,9.12,-0.44,112,1.36
377	,5309.TW,系統電,44.25,-0.56,4816,1.42
378	,5324.TW,士開,9,-0.33,76,2.23
379	,5328.TW,華容,14.2,-0.35,1656,1.67
380	,5340.TW,建榮,45.8,-1.93,995,1.48
381	,5344.TW,立衛,17.25,-1.15,54,1.41
382	,5347.TW,世界,90.9,-1.3,7778,1.73
383	,5356.TW,協益,22,-0.68,48,1.67
384	,5364.TW,力麗店,24.5,-1.21,65,1.85
385	,5392.TW,能率,21.9,-0.23,203,1.7
386	,5432.TW,新門,28.95,-1.03,69,1.97
387	,5439.TW,高技,63.7,-4.5,4379,2.98
388	,5443.TW,均豪,29.2,-0.85,282,1.72
389	,5468.TW,凱鈺,16.95,-0.59,33,2.14
390	,5471.TW,松翰,53.2,-1.85,611,3.07
391	,5475.TW,德宏,16.25,0.31,709,1.47
392	,5483.TW,中美晶,151.5,-0.98,2729,1.98
393	,5515.TW,建國,13.1,-0.76,227,1.64
394	,5516.TW,雙喜,25.9,0.19,22,1.5
395	,5525.TW,順天,26.85,0.37,30,1.37
396	,5531.TW,鄉林,10,-0.99,1478,1.35
397	,5533.TW,皇鼎,18.65,-0.53,274,1.58
398	,5534.TW,長虹,79.8,0,503,1.4
399	,5603.TW,陸海,21.7,-0.69,135,2.19
400	,5604.TW,中連,50.2,0.8,87,1.37
401	,5608.TW,四維航,26.35,-1.5,3808,2.12
402	,5609.TW,中菲行,86.8,-1.48,435,2.22
403	,5864.TW,致和證,15.7,-1.26,505,1.58
404	,5902.TW,德記,38.7,0.52,48,1.52
405	,5907.TW,大洋-KY,15.3,-0.97,163,1.69
406	,6015.TW,宏遠證,10.1,-0.98,962,1.99
407	,6020.TW,大展證,18.8,0,14,1.5
408	,6104.TW,創惟,120,-1.23,1636,1.67
409	,6113.TW,亞矽,17.9,-1.65,610,2.92
410	,6114.TW,久威,24.25,-0.41,120,1.62
411	,6115.TW,鎰勝,46,0,1251,1.51
412	,6116.TW,彩晶,12.9,-2.27,15438,3.72
